#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
AUS,Australia,21806,Refugees by country of origin (thousands),0.014,2017
AUS,Australia,23806,Population with at least some secondary education (% ages 25 and older),89.9771,2017
AUS,Australia,23906,"Population with at least some secondary education, female (% ages 25 and older)",90.0339,2017
AUS,Australia,24006,"Population with at least some secondary education, male (% ages 25 and older)",89.91948,2017
AUS,Australia,24106,"Mean years of schooling, female (years)",12.9316,2017
AUS,Australia,24206,"Mean years of schooling, male (years)",12.7773,2017
AUS,Australia,31706,Share of seats in parliament (% held by women),32.74336283,2017
AUS,Australia,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",12.902,2017
AUS,Australia,43006,Vulnerable employment (% of total employment),10.8,2017
AUS,Australia,44206,Total population (millions),24.450561,2017
AUS,Australia,45106,Urban population (%),85.9,2017
AUS,Australia,48706,"Labour force participation rate (% ages 15 and older), female",59.2,2017
AUS,Australia,48806,"Labour force participation rate (% ages 15 and older), male",70.5,2017
AUS,Australia,49006,Sex ratio at birth (male to female births),1.06,2017
AUS,Australia,52606,"Remittances, inflows (% of GDP)",0.151632,2017
AUS,Australia,53506,"Foreign direct investment, net inflows (% of GDP)",3.68381,2017
AUS,Australia,63106,Population ages 15–64 (millions),16.011,2017
AUS,Australia,64306,"Infants lacking immunization, measles (% of one-year-olds)",5,2017
AUS,Australia,64406,"Infants lacking immunization, DPT (% of one-year-olds)",2,2017
AUS,Australia,65606,Gross fixed capital formation (% of GDP),24.00121045,2017
AUS,Australia,68606,Gender Inequality Index (GII),0.109090919,2017
AUS,Australia,69206,Life expectancy at birth (years),83.068,2017
AUS,Australia,69706,Expected years of schooling (years),22.92125,2017
AUS,Australia,71406,Inequality-adjusted education index,0.904151953,2017
AUS,Australia,71506,Inequality-adjusted life expectancy index,0.935346954,2017
AUS,Australia,71606,Inequality-adjusted income index,0.755451656,2017
AUS,Australia,73506,Overall loss in HDI due to inequality (%),8.24172213,2017
AUS,Australia,101606,Inequality in education (%),2.622438893,2017
AUS,Australia,101706,Inequality in income (%),17.7,2017
AUS,Australia,101806,Inequality in life expectancy (%),3.6,2017
AUS,Australia,103006,Mean years of schooling (years),12.85504,2017
AUS,Australia,103206,Life expectancy index,0.970276923,2017
AUS,Australia,103606,Income index,0.917924248,2017
AUS,Australia,103706,Education index,0.928501333,2017
AUS,Australia,110906,"Unemployment, youth (% ages 15–24)",12.6,2017
AUS,Australia,111306,Private capital flows (% of GDP),-3.608407,2017
AUS,Australia,120606,"Life expectancy at birth, female (years)",84.977,2017
AUS,Australia,121106,"Life expectancy at birth, male (years)",81.178,2017
AUS,Australia,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),29.034,2017
AUS,Australia,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),23.675,2017
AUS,Australia,123306,"Expected years of schooling, female (years)",23.3266,2017
AUS,Australia,123406,"Expected years of schooling, male (years)",22.5204,2017
AUS,Australia,123506,"Estimated gross national income per capita, female (2011 PPP $)",35323.23528,2017
AUS,Australia,123606,"Estimated gross national income per capita, male (2011 PPP $)",51857.31918,2017
AUS,Australia,127606,Domestic credit provided by financial sector (% of GDP),177.1397757,2017
AUS,Australia,132706,Population ages 65 and older (millions),3.790712,2017
AUS,Australia,132806,Population under age 5 (millions),1.57412,2017
AUS,Australia,133206,Exports and imports (% of GDP),41.893,2017
AUS,Australia,135006,Coefficient of human inequality,7.974146298,2017
