#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
AUT,Austria,21806,Refugees by country of origin (thousands),0.009,2017
AUT,Austria,23806,Population with at least some secondary education (% ages 25 and older),100,2017
AUT,Austria,23906,"Population with at least some secondary education, female (% ages 25 and older)",100,2017
AUT,Austria,24006,"Population with at least some secondary education, male (% ages 25 and older)",99.9967,2017
AUT,Austria,24106,"Mean years of schooling, female (years)",11.7679,2017
AUT,Austria,24206,"Mean years of schooling, male (years)",12.5584,2017
AUT,Austria,31706,Share of seats in parliament (% held by women),33.60655738,2017
AUT,Austria,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",6.894,2017
AUT,Austria,43006,Vulnerable employment (% of total employment),8.1,2017
AUT,Austria,44206,Total population (millions),8.735453,2017
AUT,Austria,45106,Urban population (%),58.1,2017
AUT,Austria,48706,"Labour force participation rate (% ages 15 and older), female",55,2017
AUT,Austria,48806,"Labour force participation rate (% ages 15 and older), male",66,2017
AUT,Austria,49006,Sex ratio at birth (male to female births),1.06,2017
AUT,Austria,52606,"Remittances, inflows (% of GDP)",0.720841,2017
AUT,Austria,53506,"Foreign direct investment, net inflows (% of GDP)",3.30456,2017
AUT,Austria,63106,Population ages 15–64 (millions),5.827,2017
AUT,Austria,64306,"Infants lacking immunization, measles (% of one-year-olds)",4,2017
AUT,Austria,64406,"Infants lacking immunization, DPT (% of one-year-olds)",6,2017
AUT,Austria,65606,Gross fixed capital formation (% of GDP),23.51080344,2017
AUT,Austria,68606,Gender Inequality Index (GII),0.071365884,2017
AUT,Austria,69206,Life expectancy at birth (years),81.77,2017
AUT,Austria,69706,Expected years of schooling (years),16.0812,2017
AUT,Austria,71406,Inequality-adjusted education index,0.829764068,2017
AUT,Austria,71506,Inequality-adjusted life expectancy index,0.921798462,2017
AUT,Austria,71606,Inequality-adjusted income index,0.760405477,2017
AUT,Austria,73506,Overall loss in HDI due to inequality (%),8.044746826,2017
AUT,Austria,101606,Inequality in education (%),2.57064,2017
AUT,Austria,101706,Inequality in income (%),17.72497,2017
AUT,Austria,101806,Inequality in life expectancy (%),3,2017
AUT,Austria,103006,Mean years of schooling (years),12.1487132,2017
AUT,Austria,103206,Life expectancy index,0.950307692,2017
AUT,Austria,103606,Income index,0.924223883,2017
AUT,Austria,103706,Education index,0.851657107,2017
AUT,Austria,110906,"Unemployment, youth (% ages 15–24)",10.4,2017
AUT,Austria,111306,Private capital flows (% of GDP),5.558438,2017
AUT,Austria,120606,"Life expectancy at birth, female (years)",84.11,2017
AUT,Austria,121106,"Life expectancy at birth, male (years)",79.361,2017
AUT,Austria,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),21.125,2017
AUT,Austria,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),28.785,2017
AUT,Austria,123306,"Expected years of schooling, female (years)",16.3834,2017
AUT,Austria,123406,"Expected years of schooling, male (years)",15.7938,2017
AUT,Austria,123506,"Estimated gross national income per capita, female (2011 PPP $)",35626.34204,2017
AUT,Austria,123606,"Estimated gross national income per capita, male (2011 PPP $)",55590.71457,2017
AUT,Austria,127606,Domestic credit provided by financial sector (% of GDP),126.7327141,2017
AUT,Austria,132706,Population ages 65 and older (millions),1.677341,2017
AUT,Austria,132806,Population under age 5 (millions),0.416381,2017
AUT,Austria,133206,Exports and imports (% of GDP),104.708,2017
AUT,Austria,135006,Coefficient of human inequality,7.765203333,2017
AUT,Austria,136706,GDP per capita (2011 PPP $),45436.68582,2017
AUT,Austria,136906,"Human Development Index (HDI), female",0.893305008,2017
AUT,Austria,137006,"Human Development Index (HDI), male",0.920129739,2017
AUT,Austria,137506,Human Development Index (HDI),0.907755179,2017
AUT,Austria,137906,Gender Development Index (GDI),0.970846795,2017
AUT,Austria,138806,Inequality-adjusted HDI (IHDI),0.834728573,2017
AUT,Austria,140606,"Unemployment, total (% of labour force)",5.5,2017
AUT,Austria,141706,Gross national income (GNI) per capita (2011 PPP $),45415.10118,2017
AUT,Austria,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",400.261398,2017
AUT,Austria,146206,HDI rank,20,2017
AUT,Austria,148206,Labour force participation rate (% ages 15 and older),60.3,2017
AUT,Austria,148306,Employment to population ratio (% ages 15 and older),57,2017
AUT,Austria,150606,Employment in agriculture (% of total employment),4.3,2017
AUT,Austria,150706,Employment in services (% of total employment),70.1,2017
AUT,Austria,169706,Total unemployment rate (female to male ratio),0.86440678,2017
AUT,Austria,169806,Youth unemployment rate (female to male ratio),0.936936937,2017
AUT,Austria,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",47.2,2017
AUT,Austria,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),98.37577057,2017
AUT,Austria,178306,Gross capital formation (% of GDP),25.08628405,2017
AUT,Austria,179406,Skilled labour force (% of labour force),86.1,2017
AUT,Austria,181606,Red List Index (value),0.8962,2017
AUT,Austria,23806,Population with at least some secondary education (% ages 25 and older),98.92322,2016
AUT,Austria,23906,"Population with at least some secondary education, female (% ages 25 and older)",98.66513,2016
AUT,Austria,24006,"Population with at least some secondary education, male (% ages 25 and older)",99.9967,2016
AUT,Austria,24106,"Mean years of schooling, female (years)",11.7679,2016
AUT,Austria,24206,"Mean years of schooling, male (years)",12.5584,2016
AUT,Austria,31706,Share of seats in parliament (% held by women),30.32786885,2016
AUT,Austria,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",6.894,2016
AUT,Austria,43006,Vulnerable employment (% of total employment),8.2,2016
AUT,Austria,43606,"Internet users, total (% of population)",84.32333129,2016
AUT,Austria,44206,Total population (millions),8.712137,2016
AUT,Austria,45106,Urban population (%),57.9,2016
AUT,Austria,46006,Mobile phone subscriptions (per 100 people),163.794,2016
AUT,Austria,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",10.30374,2016
AUT,Austria,48706,"Labour force participation rate (% ages 15 and older), female",55,2016
AUT,Austria,48806,"Labour force participation rate (% ages 15 and older), male",66.2,2016
AUT,Austria,49006,Sex ratio at birth (male to female births),1.06,2016
AUT,Austria,52606,"Remittances, inflows (% of GDP)",0.744414,2016
AUT,Austria,53506,"Foreign direct investment, net inflows (% of GDP)",-7.66336,2016
AUT,Austria,57206,"Mortality rate, infant (per 1,000 live births)",2.9,2016
AUT,Austria,57506,"Mortality rate, under-five (per 1,000 live births)",3.5,2016
AUT,Austria,61006,"Homicide rate (per 100,000 people)",0.6552,2016
AUT,Austria,63106,Population ages 15–64 (millions),5.82635,2016
AUT,Austria,63206,"Gross enrolment ratio, primary (% of primary school-age population)",102.26436,2016
AUT,Austria,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",100.96302,2016
AUT,Austria,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",83.45528,2016
AUT,Austria,64306,"Infants lacking immunization, measles (% of one-year-olds)",5,2016
AUT,Austria,64406,"Infants lacking immunization, DPT (% of one-year-olds)",5,2016
AUT,Austria,65606,Gross fixed capital formation (% of GDP),23.07778398,2016
AUT,Austria,68606,Gender Inequality Index (GII),0.077078853,2016
AUT,Austria,69206,Life expectancy at birth (years),81.594,2016
AUT,Austria,69706,Expected years of schooling (years),16.0812,2016
AUT,Austria,71406,Inequality-adjusted education index,0.829449533,2016
AUT,Austria,71506,Inequality-adjusted life expectancy index,0.918719047,2016
AUT,Austria,71606,Inequality-adjusted income index,0.769004441,2016
AUT,Austria,73506,Overall loss in HDI due to inequality (%),7.617241974,2016
AUT,Austria,101606,Inequality in education (%),2.60756,2016
AUT,Austria,101706,Inequality in income (%),16.49935,2016
AUT,Austria,101806,Inequality in life expectancy (%),3.0478,2016
AUT,Austria,103006,Mean years of schooling (years),12.14871,2016
AUT,Austria,103206,Life expectancy index,0.9476,2016
AUT,Austria,103606,Income index,0.920956233,2016
AUT,Austria,103706,Education index,0.851657,2016
AUT,Austria,110906,"Unemployment, youth (% ages 15–24)",11.3,2016
AUT,Austria,111106,International inbound tourists (thousands),28121,2016
AUT,Austria,111306,Private capital flows (% of GDP),7.08199,2016
AUT,Austria,120606,"Life expectancy at birth, female (years)",83.971,2016
AUT,Austria,121106,"Life expectancy at birth, male (years)",79.138,2016
AUT,Austria,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),21.078,2016
AUT,Austria,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),28.452,2016
AUT,Austria,123306,"Expected years of schooling, female (years)",16.3246,2016
AUT,Austria,123406,"Expected years of schooling, male (years)",15.7723,2016
AUT,Austria,123506,"Estimated gross national income per capita, female (2011 PPP $)",34796.99752,2016
AUT,Austria,123606,"Estimated gross national income per capita, male (2011 PPP $)",54485.34267,2016
AUT,Austria,127606,Domestic credit provided by financial sector (% of GDP),129.8896124,2016
AUT,Austria,132706,Population ages 65 and older (millions),1.657698,2016
AUT,Austria,132806,Population under age 5 (millions),0.411629,2016
AUT,Austria,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",104.22354,2016
AUT,Austria,133206,Exports and imports (% of GDP),101.167,2016
AUT,Austria,135006,Coefficient of human inequality,7.384903333,2016
AUT,Austria,136706,GDP per capita (2011 PPP $),44464.35027,2016
AUT,Austria,136906,"Human Development Index (HDI), female",0.89086518,2016
AUT,Austria,137006,"Human Development Index (HDI), male",0.917835073,2016
AUT,Austria,137506,Human Development Index (HDI),0.905822119,2016
AUT,Austria,137906,Gender Development Index (GDI),0.970615752,2016
AUT,Austria,138806,Inequality-adjusted HDI (IHDI),0.836823456,2016
AUT,Austria,140606,"Unemployment, total (% of labour force)",6,2016
AUT,Austria,141706,Gross national income (GNI) per capita (2011 PPP $),44443.22753,2016
AUT,Austria,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",388.4702661,2016
AUT,Austria,146206,HDI rank,20,2016
AUT,Austria,147206,International student mobility (% of total tertiary enrolment),12.2894,2016
AUT,Austria,147906,Youth not in school or employment (% ages 15-24),7.7,2016
AUT,Austria,148206,Labour force participation rate (% ages 15 and older),60.4,2016
AUT,Austria,148306,Employment to population ratio (% ages 15 and older),56.8,2016
