#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
BLR,Belarus,21806,Refugees by country of origin (thousands),3.657,2017
BLR,Belarus,23806,Population with at least some secondary education (% ages 25 and older),91.90175,2017
BLR,Belarus,23906,"Population with at least some secondary education, female (% ages 25 and older)",87.00197,2017
BLR,Belarus,24006,"Population with at least some secondary education, male (% ages 25 and older)",92.21481,2017
BLR,Belarus,24106,"Mean years of schooling, female (years)",12.1933,2017
BLR,Belarus,24206,"Mean years of schooling, male (years)",12.3517,2017
BLR,Belarus,31706,Share of seats in parliament (% held by women),33.13253012,2017
BLR,Belarus,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",17.16,2017
BLR,Belarus,43006,Vulnerable employment (% of total employment),2.7,2017
BLR,Belarus,44206,Total population (millions),9.468338,2017
BLR,Belarus,45106,Urban population (%),78.1,2017
BLR,Belarus,48706,"Labour force participation rate (% ages 15 and older), female",58.4,2017
BLR,Belarus,48806,"Labour force participation rate (% ages 15 and older), male",70.7,2017
BLR,Belarus,49006,Sex ratio at birth (male to female births),1.06,2017
BLR,Belarus,52606,"Remittances, inflows (% of GDP)",2.20472,2017
BLR,Belarus,53506,"Foreign direct investment, net inflows (% of GDP)",2.34046,2017
BLR,Belarus,63106,Population ages 15–64 (millions),6.482,2017
BLR,Belarus,64306,"Infants lacking immunization, measles (% of one-year-olds)",3,2017
BLR,Belarus,64406,"Infants lacking immunization, DPT (% of one-year-olds)",3,2017
BLR,Belarus,65606,Gross fixed capital formation (% of GDP),25.01116931,2017
BLR,Belarus,68606,Gender Inequality Index (GII),0.130277444,2017
BLR,Belarus,69206,Life expectancy at birth (years),73.07,2017
BLR,Belarus,69706,Expected years of schooling (years),15.45131,2017
BLR,Belarus,71406,Inequality-adjusted education index,0.807176474,2017
BLR,Belarus,71506,Inequality-adjusted life expectancy index,0.776454923,2017
BLR,Belarus,71606,Inequality-adjusted income index,0.68623825,2017
BLR,Belarus,73506,Overall loss in HDI due to inequality (%),6.525150732,2017
BLR,Belarus,101606,Inequality in education (%),3.67781,2017
BLR,Belarus,101706,Inequality in income (%),10.83848169,2017
BLR,Belarus,101806,Inequality in life expectancy (%),4.9,2017
BLR,Belarus,103006,Mean years of schooling (years),12.2638,2017
BLR,Belarus,103206,Life expectancy index,0.816461538,2017
BLR,Belarus,103606,Income index,0.769657429,2017
BLR,Belarus,103706,Education index,0.837996389,2017
