#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
BRA,Brazil,21806,Refugees by country of origin (thousands),0.855,2017
BRA,Brazil,23806,Population with at least some secondary education (% ages 25 and older),59.96,2017
BRA,Brazil,23906,"Population with at least some secondary education, female (% ages 25 and older)",61.02710319,2017
BRA,Brazil,24006,"Population with at least some secondary education, male (% ages 25 and older)",57.68868228,2017
BRA,Brazil,24106,"Mean years of schooling, female (years)",7.9772,2017
BRA,Brazil,24206,"Mean years of schooling, male (years)",7.6946,2017
BRA,Brazil,31706,Share of seats in parliament (% held by women),11.27946128,2017
BRA,Brazil,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",61.597,2017
BRA,Brazil,43006,Vulnerable employment (% of total employment),27.9,2017
BRA,Brazil,44206,Total population (millions),209.288278,2017
BRA,Brazil,45106,Urban population (%),86.3,2017
BRA,Brazil,48706,"Labour force participation rate (% ages 15 and older), female",53.2,2017
BRA,Brazil,48806,"Labour force participation rate (% ages 15 and older), male",74.7,2017
BRA,Brazil,49006,Sex ratio at birth (male to female births),1.05,2017
BRA,Brazil,52606,"Remittances, inflows (% of GDP)",0.131295,2017
BRA,Brazil,53506,"Foreign direct investment, net inflows (% of GDP)",3.42165,2017
BRA,Brazil,63106,Population ages 15–64 (millions),145.875,2017
BRA,Brazil,64306,"Infants lacking immunization, measles (% of one-year-olds)",3,2017
BRA,Brazil,64406,"Infants lacking immunization, DPT (% of one-year-olds)",1,2017
BRA,Brazil,65606,Gross fixed capital formation (% of GDP),15.63452091,2017
BRA,Brazil,68606,Gender Inequality Index (GII),0.406749409,2017
BRA,Brazil,69206,Life expectancy at birth (years),75.723,2017
BRA,Brazil,69706,Expected years of schooling (years),15.39793,2017
BRA,Brazil,71406,Inequality-adjusted education index,0.535316747,2017
BRA,Brazil,71506,Inequality-adjusted life expectancy index,0.764691015,2017
BRA,Brazil,71606,Inequality-adjusted income index,0.470869134,2017
BRA,Brazil,73506,Overall loss in HDI due to inequality (%),23.91771837,2017
BRA,Brazil,101606,Inequality in education (%),22.00948,2017
BRA,Brazil,101706,Inequality in income (%),36.69413983,2017
BRA,Brazil,101806,Inequality in life expectancy (%),10.8,2017
BRA,Brazil,103006,Mean years of schooling (years),7.76,2017
BRA,Brazil,103206,Life expectancy index,0.857276923,2017
BRA,Brazil,103606,Income index,0.743800231,2017
BRA,Brazil,103706,Education index,0.686386944,2017
BRA,Brazil,110906,"Unemployment, youth (% ages 15–24)",30.5,2017
BRA,Brazil,111306,Private capital flows (% of GDP),-2.462586,2017
BRA,Brazil,120606,"Life expectancy at birth, female (years)",79.336,2017
BRA,Brazil,121106,"Life expectancy at birth, male (years)",72.112,2017
BRA,Brazil,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),31.201,2017
BRA,Brazil,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),12.27,2017
BRA,Brazil,123306,"Expected years of schooling, female (years)",15.8554,2017
BRA,Brazil,123406,"Expected years of schooling, male (years)",14.9406,2017
BRA,Brazil,123506,"Estimated gross national income per capita, female (2011 PPP $)",10072.52666,2017
BRA,Brazil,123606,"Estimated gross national income per capita, male (2011 PPP $)",17566.26931,2017
BRA,Brazil,127606,Domestic credit provided by financial sector (% of GDP),111.2607377,2017
BRA,Brazil,132706,Population ages 65 and older (millions),17.899128,2017
BRA,Brazil,132806,Population under age 5 (millions),14.828077,2017
BRA,Brazil,133206,Exports and imports (% of GDP),24.1198,2017
BRA,Brazil,135006,Coefficient of human inequality,23.16787328,2017
BRA,Brazil,136706,GDP per capita (2011 PPP $),14103.45153,2017
BRA,Brazil,136906,"Human Development Index (HDI), female",0.754967282,2017
BRA,Brazil,137006,"Human Development Index (HDI), male",0.760869275,2017
BRA,Brazil,137506,Human Development Index (HDI),0.75924537,2017
BRA,Brazil,137906,Gender Development Index (GDI),0.992243091,2017
BRA,Brazil,138806,Inequality-adjusted HDI (IHDI),0.577651201,2017
BRA,Brazil,140606,"Unemployment, total (% of labour force)",12.9,2017
BRA,Brazil,141706,Gross national income (GNI) per capita (2011 PPP $),13755.33693,2017
BRA,Brazil,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",2951.687085,2017
BRA,Brazil,146206,HDI rank,79,2017
BRA,Brazil,147906,Youth not in school or employment (% ages 15-24),24.82,2017
BRA,Brazil,148206,Labour force participation rate (% ages 15 and older),63.7,2017
BRA,Brazil,148306,Employment to population ratio (% ages 15 and older),55.5,2017
BRA,Brazil,150606,Employment in agriculture (% of total employment),10.3,2017
BRA,Brazil,150706,Employment in services (% of total employment),68.8,2017
BRA,Brazil,153706,Working poor at PPP$3.10 a day (% of total employment),6.4,2017
BRA,Brazil,169706,Total unemployment rate (female to male ratio),1.348214286,2017
BRA,Brazil,169806,Youth unemployment rate (female to male ratio),1.138059701,2017
BRA,Brazil,175006,Female share of employment in senior and middle management (%),38.8,2017
BRA,Brazil,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",44.39,2017
BRA,Brazil,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),67.51464844,2017
BRA,Brazil,178306,Gross capital formation (% of GDP),15.5028198,2017
BRA,Brazil,179406,Skilled labour force (% of labour force),62,2017
BRA,Brazil,181606,Red List Index (value),0.90143,2017
BRA,Brazil,23806,Population with at least some secondary education (% ages 25 and older),59.2,2016
BRA,Brazil,23906,"Population with at least some secondary education, female (% ages 25 and older)",60.29346513,2016
BRA,Brazil,24006,"Population with at least some secondary education, male (% ages 25 and older)",56.8957107,2016
BRA,Brazil,24106,"Mean years of schooling, female (years)",7.878,2016
BRA,Brazil,24206,"Mean years of schooling, male (years)",7.5211,2016
BRA,Brazil,31706,Share of seats in parliament (% held by women),10.77441077,2016
BRA,Brazil,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",61.597,2016
BRA,Brazil,43006,Vulnerable employment (% of total employment),27.5,2016
BRA,Brazil,43606,"Internet users, total (% of population)",60.87254007,2016
BRA,Brazil,44206,Total population (millions),207.652865,2016
BRA,Brazil,45106,Urban population (%),86,2016
BRA,Brazil,46006,Mobile phone subscriptions (per 100 people),117.536,2016
BRA,Brazil,48706,"Labour force participation rate (% ages 15 and older), female",53.3,2016
BRA,Brazil,48806,"Labour force participation rate (% ages 15 and older), male",75,2016
BRA,Brazil,49006,Sex ratio at birth (male to female births),1.05,2016
BRA,Brazil,52606,"Remittances, inflows (% of GDP)",0.15272,2016
BRA,Brazil,53506,"Foreign direct investment, net inflows (% of GDP)",4.3617,2016
BRA,Brazil,57206,"Mortality rate, infant (per 1,000 live births)",13.5,2016
BRA,Brazil,57506,"Mortality rate, under-five (per 1,000 live births)",15.1,2016
BRA,Brazil,57806,"Mortality rate, female adult (per 1,000 people)",93.708,2016
BRA,Brazil,57906,"Mortality rate, male adult (per 1,000 people)",191.109,2016
BRA,Brazil,58006,"HIV prevalence, adult (% ages 15-49)",0.6,2016
BRA,Brazil,61006,"Homicide rate (per 100,000 people)",29.528,2016
BRA,Brazil,63106,Population ages 15–64 (millions),144.561,2016
BRA,Brazil,64306,"Infants lacking immunization, measles (% of one-year-olds)",5,2016
BRA,Brazil,64406,"Infants lacking immunization, DPT (% of one-year-olds)",5,2016
BRA,Brazil,65606,Gross fixed capital formation (% of GDP),16.12300628,2016
BRA,Brazil,68606,Gender Inequality Index (GII),0.409530969,2016
BRA,Brazil,69206,Life expectancy at birth (years),75.509,2016
BRA,Brazil,69706,Expected years of schooling (years),15.39793,2016
BRA,Brazil,71406,Inequality-adjusted education index,0.535316747,2016
BRA,Brazil,71506,Inequality-adjusted life expectancy index,0.761637281,2016
BRA,Brazil,71606,Inequality-adjusted income index,0.46074332,2016
BRA,Brazil,73506,Overall loss in HDI due to inequality (%),24.46135633,2016
BRA,Brazil,99106,Net official development assistance received (% of GNI),0.038363,2016
BRA,Brazil,101606,Inequality in education (%),22.00948,2016
BRA,Brazil,101706,Inequality in income (%),38.031985,2016
BRA,Brazil,101806,Inequality in life expectancy (%),10.8137,2016
BRA,Brazil,103006,Mean years of schooling (years),7.76,2016
BRA,Brazil,103206,Life expectancy index,0.853984615,2016
BRA,Brazil,103606,Income index,0.743517958,2016
BRA,Brazil,103706,Education index,0.686386944,2016
BRA,Brazil,110906,"Unemployment, youth (% ages 15–24)",27.3,2016
BRA,Brazil,111106,International inbound tourists (thousands),6578,2016
BRA,Brazil,111306,Private capital flows (% of GDP),-2.576148,2016
BRA,Brazil,120606,"Life expectancy at birth, female (years)",79.139,2016
BRA,Brazil,121106,"Life expectancy at birth, male (years)",71.883,2016
BRA,Brazil,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),31.797,2016
BRA,Brazil,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),11.847,2016
BRA,Brazil,123306,"Expected years of schooling, female (years)",15.8554,2016
BRA,Brazil,123406,"Expected years of schooling, male (years)",14.9406,2016
BRA,Brazil,123506,"Estimated gross national income per capita, female (2011 PPP $)",10051.60079,2016
BRA,Brazil,123606,"Estimated gross national income per capita, male (2011 PPP $)",17533.33627,2016
BRA,Brazil,127606,Domestic credit provided by financial sector (% of GDP),111.3271175,2016
BRA,Brazil,132706,Population ages 65 and older (millions),17.12582,2016
BRA,Brazil,132806,Population under age 5 (millions),14.9186,2016
BRA,Brazil,133206,Exports and imports (% of GDP),24.5743,2016
BRA,Brazil,135006,Coefficient of human inequality,23.61838833,2016
BRA,Brazil,136706,GDP per capita (2011 PPP $),14077.12141,2016
BRA,Brazil,136906,"Human Development Index (HDI), female",0.752802236,2016
BRA,Brazil,137006,"Human Development Index (HDI), male",0.757525021,2016
BRA,Brazil,137506,Human Development Index (HDI),0.758176247,2016
BRA,Brazil,137906,Gender Development Index (GDI),0.993765507,2016
BRA,Brazil,138806,Inequality-adjusted HDI (IHDI),0.572716054,2016
BRA,Brazil,140606,"Unemployment, total (% of labour force)",11.6,2016
BRA,Brazil,141706,Gross national income (GNI) per capita (2011 PPP $),13729.65672,2016
BRA,Brazil,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",2923.154591,2016
BRA,Brazil,146206,HDI rank,79,2016
BRA,Brazil,147906,Youth not in school or employment (% ages 15-24),23.24,2016
BRA,Brazil,148206,Labour force participation rate (% ages 15 and older),63.8,2016
BRA,Brazil,148306,Employment to population ratio (% ages 15 and older),56.4,2016
BRA,Brazil,150606,Employment in agriculture (% of total employment),10.2,2016
BRA,Brazil,150706,Employment in services (% of total employment),69,2016
BRA,Brazil,153706,Working poor at PPP$3.10 a day (% of total employment),6.1,2016
BRA,Brazil,164406,Adjusted net savings (% of GNI),5.605030333,2016
BRA,Brazil,169706,Total unemployment rate (female to male ratio),1.323529412,2016
BRA,Brazil,169806,Youth unemployment rate (female to male ratio),1.142259414,2016
BRA,Brazil,170006,Concentration index (exports) (value),0.126461454,2016
BRA,Brazil,174206,"Total debt service (% of exports of goods, services and primary income)",51.2455349,2016
BRA,Brazil,174506,"Mortality rate attributed to household and ambient air pollution (per 100,000 population)",29.9,2016
BRA,Brazil,174606,"Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)",1,2016
BRA,Brazil,175006,Female share of employment in senior and middle management (%),38.2,2016
BRA,Brazil,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",44.51,2016
BRA,Brazil,178306,Gross capital formation (% of GDP),15.38723985,2016
BRA,Brazil,179406,Skilled labour force (% of labour force),60.4,2016
BRA,Brazil,181706,Rural population with access to electricity (%),100,2016
BRA,Brazil,182106,"Malaria incidence (per 1,000 people at risk)",6.694,2016
BRA,Brazil,182206,"Tuberculosis incidence (per 100,000 people)",42,2016
BRA,Brazil,23806,Population with at least some secondary education (% ages 25 and older),57.484,2015
BRA,Brazil,23906,"Population with at least some secondary education, female (% ages 25 and older)",59.55982706,2015
BRA,Brazil,24006,"Population with at least some secondary education, male (% ages 25 and older)",56.10273912,2015
BRA,Brazil,24106,"Mean years of schooling, female (years)",7.7789,2015
BRA,Brazil,24206,"Mean years of schooling, male (years)",7.3475,2015
BRA,Brazil,31706,Share of seats in parliament (% held by women),10.77441077,2015
BRA,Brazil,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",64.298,2015
BRA,Brazil,38406,Multidimensional poverty index (MPI),0.016346,2015
BRA,Brazil,38506,"Population in multidimensional poverty, intensity of deprivation (%)",42.5465,2015
BRA,Brazil,38606,"Population in multidimensional poverty, headcount (%)",3.84193,2015
BRA,Brazil,43006,Vulnerable employment (% of total employment),27,2015
BRA,Brazil,43606,"Internet users, total (% of population)",58.32795173,2015
BRA,Brazil,44206,Total population (millions),205.962108,2015
BRA,Brazil,45106,Urban population (%),85.8,2015
BRA,Brazil,46006,Mobile phone subscriptions (per 100 people),125.176,2015
BRA,Brazil,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",21.5158,2015
BRA,Brazil,47906,Median age (years),31.276,2015
BRA,Brazil,48706,"Labour force participation rate (% ages 15 and older), female",53.4,2015
BRA,Brazil,48806,"Labour force participation rate (% ages 15 and older), male",75.4,2015
BRA,Brazil,49006,Sex ratio at birth (male to female births),1.05,2015
BRA,Brazil,52606,"Remittances, inflows (% of GDP)",0.160742,2015
BRA,Brazil,53506,"Foreign direct investment, net inflows (% of GDP)",4.1459,2015
BRA,Brazil,57206,"Mortality rate, infant (per 1,000 live births)",14,2015
BRA,Brazil,57506,"Mortality rate, under-five (per 1,000 live births)",15.7,2015
BRA,Brazil,57806,"Mortality rate, female adult (per 1,000 people)",95.103,2015
BRA,Brazil,57906,"Mortality rate, male adult (per 1,000 people)",193.622,2015
BRA,Brazil,58006,"HIV prevalence, adult (% ages 15-49)",0.6,2015
BRA,Brazil,61006,"Homicide rate (per 100,000 people)",28.3834,2015
BRA,Brazil,63106,Population ages 15–64 (millions),143.204,2015
BRA,Brazil,63206,"Gross enrolment ratio, primary (% of primary school-age population)",115.34079,2015
BRA,Brazil,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",99.65097,2015
BRA,Brazil,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",50.60492,2015
BRA,Brazil,64306,"Infants lacking immunization, measles (% of one-year-olds)",4,2015
BRA,Brazil,64406,"Infants lacking immunization, DPT (% of one-year-olds)",3,2015
