#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
BGR,Bulgaria,21806,Refugees by country of origin (thousands),0.722,2017
BGR,Bulgaria,23806,Population with at least some secondary education (% ages 25 and older),94.815,2017
BGR,Bulgaria,23906,"Population with at least some secondary education, female (% ages 25 and older)",93.67594,2017
BGR,Bulgaria,24006,"Population with at least some secondary education, male (% ages 25 and older)",96.06474,2017
BGR,Bulgaria,24106,"Mean years of schooling, female (years)",11.8731,2017
BGR,Bulgaria,24206,"Mean years of schooling, male (years)",11.7508,2017
BGR,Bulgaria,31706,Share of seats in parliament (% held by women),23.75,2017
BGR,Bulgaria,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",39.5,2017
BGR,Bulgaria,43006,Vulnerable employment (% of total employment),8.2,2017
BGR,Bulgaria,44206,Total population (millions),7.084571,2017
BGR,Bulgaria,45106,Urban population (%),74.7,2017
BGR,Bulgaria,48706,"Labour force participation rate (% ages 15 and older), female",47.8,2017
BGR,Bulgaria,48806,"Labour force participation rate (% ages 15 and older), male",59.6,2017
BGR,Bulgaria,49006,Sex ratio at birth (male to female births),1.06,2017
BGR,Bulgaria,52606,"Remittances, inflows (% of GDP)",3.88038,2017
BGR,Bulgaria,53506,"Foreign direct investment, net inflows (% of GDP)",2.9143,2017
BGR,Bulgaria,63106,Population ages 15–64 (millions),4.602,2017
BGR,Bulgaria,64306,"Infants lacking immunization, measles (% of one-year-olds)",6,2017
BGR,Bulgaria,64406,"Infants lacking immunization, DPT (% of one-year-olds)",4,2017
BGR,Bulgaria,65606,Gross fixed capital formation (% of GDP),19.20996521,2017
BGR,Bulgaria,68606,Gender Inequality Index (GII),0.217373367,2017
BGR,Bulgaria,69206,Life expectancy at birth (years),74.874,2017
BGR,Bulgaria,69706,Expected years of schooling (years),14.81046,2017
BGR,Bulgaria,71406,Inequality-adjusted education index,0.752757933,2017
BGR,Bulgaria,71506,Inequality-adjusted life expectancy index,0.787652954,2017
BGR,Bulgaria,71606,Inequality-adjusted income index,0.603714321,2017
BGR,Bulgaria,73506,Overall loss in HDI due to inequality (%),12.66666905,2017
BGR,Bulgaria,101606,Inequality in education (%),6.51633,2017
BGR,Bulgaria,101706,Inequality in income (%),23.63002,2017
BGR,Bulgaria,101806,Inequality in life expectancy (%),6.7,2017
BGR,Bulgaria,103006,Mean years of schooling (years),11.81483,2017
BGR,Bulgaria,103206,Life expectancy index,0.844215385,2017
BGR,Bulgaria,103606,Income index,0.790512608,2017
BGR,Bulgaria,103706,Education index,0.805229333,2017
BGR,Bulgaria,110906,"Unemployment, youth (% ages 15–24)",14.4,2017
BGR,Bulgaria,111306,Private capital flows (% of GDP),3.96845,2017
