#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
CAN,Canada,21806,Refugees by country of origin (thousands),0.082,2017
CAN,Canada,23806,Population with at least some secondary education (% ages 25 and older),100,2017
CAN,Canada,23906,"Population with at least some secondary education, female (% ages 25 and older)",100,2017
CAN,Canada,24006,"Population with at least some secondary education, male (% ages 25 and older)",100,2017
CAN,Canada,24106,"Mean years of schooling, female (years)",13.33,2017
CAN,Canada,24206,"Mean years of schooling, male (years)",12.894,2017
CAN,Canada,31706,Share of seats in parliament (% held by women),30.11494253,2017
CAN,Canada,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",9.402,2017
CAN,Canada,43006,Vulnerable employment (% of total employment),11,2017
CAN,Canada,44206,Total population (millions),36.624199,2017
CAN,Canada,45106,Urban population (%),81.4,2017
CAN,Canada,48706,"Labour force participation rate (% ages 15 and older), female",60.7,2017
CAN,Canada,48806,"Labour force participation rate (% ages 15 and older), male",69.8,2017
CAN,Canada,49006,Sex ratio at birth (male to female births),1.06,2017
CAN,Canada,52606,"Remittances, inflows (% of GDP)",0.080906,2017
CAN,Canada,53506,"Foreign direct investment, net inflows (% of GDP)",1.66515,2017
CAN,Canada,63106,Population ages 15–64 (millions),24.535,2017
CAN,Canada,64306,"Infants lacking immunization, measles (% of one-year-olds)",11,2017
CAN,Canada,64406,"Infants lacking immunization, DPT (% of one-year-olds)",4,2017
CAN,Canada,65606,Gross fixed capital formation (% of GDP),22.99066667,2017
CAN,Canada,68606,Gender Inequality Index (GII),0.092144455,2017
CAN,Canada,69206,Life expectancy at birth (years),82.541,2017
CAN,Canada,69706,Expected years of schooling (years),16.43739864,2017
CAN,Canada,71406,Inequality-adjusted education index,0.886981842,2017
CAN,Canada,71506,Inequality-adjusted life expectancy index,0.920795954,2017
CAN,Canada,71606,Inequality-adjusted income index,0.757896484,2017
CAN,Canada,73506,Overall loss in HDI due to inequality (%),7.960550229,2017
CAN,Canada,101606,Inequality in education (%),1.372389731,2017
CAN,Canada,101706,Inequality in income (%),17.394,2017
CAN,Canada,101806,Inequality in life expectancy (%),4.3,2017
CAN,Canada,103006,Mean years of schooling (years),13.28189,2017
CAN,Canada,103206,Life expectancy index,0.962169231,2017
CAN,Canada,103606,Income index,0.917483578,2017
CAN,Canada,103706,Education index,0.899324073,2017
CAN,Canada,110906,"Unemployment, youth (% ages 15–24)",12.3,2017
CAN,Canada,111306,Private capital flows (% of GDP),-1.652949,2017
CAN,Canada,120606,"Life expectancy at birth, female (years)",84.382,2017
CAN,Canada,121106,"Life expectancy at birth, male (years)",80.65,2017
CAN,Canada,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),23.921,2017
CAN,Canada,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),25.353,2017
CAN,Canada,123306,"Expected years of schooling, female (years)",16.8726,2017
CAN,Canada,123406,"Expected years of schooling, male (years)",16.0238,2017
CAN,Canada,123506,"Estimated gross national income per capita, female (2011 PPP $)",34927.52947,2017
CAN,Canada,123606,"Estimated gross national income per capita, male (2011 PPP $)",52069.83347,2017
CAN,Canada,132706,Population ages 65 and older (millions),6.220382,2017
CAN,Canada,132806,Population under age 5 (millions),1.936089,2017
CAN,Canada,133206,Exports and imports (% of GDP),64.0627,2017
CAN,Canada,135006,Coefficient of human inequality,7.688796577,2017
CAN,Canada,136706,GDP per capita (2011 PPP $),44017.59091,2017
CAN,Canada,136906,"Human Development Index (HDI), female",0.916120367,2017
CAN,Canada,137006,"Human Development Index (HDI), male",0.929535226,2017
CAN,Canada,137506,Human Development Index (HDI),0.925952399,2017
CAN,Canada,137906,Gender Development Index (GDI),0.985568208,2017
CAN,Canada,138806,Inequality-adjusted HDI (IHDI),0.852241493,2017
CAN,Canada,140606,"Unemployment, total (% of labour force)",6.4,2017
CAN,Canada,141706,Gross national income (GNI) per capita (2011 PPP $),43433.16672,2017
CAN,Canada,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",1615.80138,2017
CAN,Canada,146206,HDI rank,12,2017
CAN,Canada,148206,Labour force participation rate (% ages 15 and older),65.2,2017
CAN,Canada,148306,Employment to population ratio (% ages 15 and older),61,2017
CAN,Canada,150606,Employment in agriculture (% of total employment),2,2017
CAN,Canada,150706,Employment in services (% of total employment),78.4,2017
CAN,Canada,169706,Total unemployment rate (female to male ratio),0.802816901,2017
CAN,Canada,169806,Youth unemployment rate (female to male ratio),0.891304348,2017
CAN,Canada,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",47.95,2017
CAN,Canada,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),99.85279846,2017
CAN,Canada,178306,Gross capital formation (% of GDP),23.69884776,2017
CAN,Canada,179406,Skilled labour force (% of labour force),90.8,2017
CAN,Canada,181606,Red List Index (value),0.97126,2017
CAN,Canada,23806,Population with at least some secondary education (% ages 25 and older),100,2016
CAN,Canada,23906,"Population with at least some secondary education, female (% ages 25 and older)",100,2016
CAN,Canada,24006,"Population with at least some secondary education, male (% ages 25 and older)",100,2016
CAN,Canada,24106,"Mean years of schooling, female (years)",13.33,2016
CAN,Canada,24206,"Mean years of schooling, male (years)",12.894,2016
CAN,Canada,31706,Share of seats in parliament (% held by women),29.77272727,2016
CAN,Canada,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",9.402,2016
CAN,Canada,43006,Vulnerable employment (% of total employment),10.7,2016
CAN,Canada,43606,"Internet users, total (% of population)",89.84,2016
CAN,Canada,44206,Total population (millions),36.289822,2016
CAN,Canada,45106,Urban population (%),81.3,2016
CAN,Canada,46006,Mobile phone subscriptions (per 100 people),84.74,2016
CAN,Canada,48706,"Labour force participation rate (% ages 15 and older), female",60.8,2016
CAN,Canada,48806,"Labour force participation rate (% ages 15 and older), male",70.1,2016
CAN,Canada,49006,Sex ratio at birth (male to female births),1.06,2016
CAN,Canada,52606,"Remittances, inflows (% of GDP)",0.083967,2016
CAN,Canada,53506,"Foreign direct investment, net inflows (% of GDP)",2.25373,2016
CAN,Canada,57206,"Mortality rate, infant (per 1,000 live births)",4.3,2016
CAN,Canada,57506,"Mortality rate, under-five (per 1,000 live births)",4.9,2016
CAN,Canada,61006,"Homicide rate (per 100,000 people)",1.6841,2016
CAN,Canada,63106,Population ages 15–64 (millions),24.4798,2016
CAN,Canada,63206,"Gross enrolment ratio, primary (% of primary school-age population)",101.43399,2016
CAN,Canada,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",113.04009,2016
CAN,Canada,64306,"Infants lacking immunization, measles (% of one-year-olds)",10,2016
CAN,Canada,64406,"Infants lacking immunization, DPT (% of one-year-olds)",4,2016
CAN,Canada,65606,Gross fixed capital formation (% of GDP),23.20892201,2016
CAN,Canada,68606,Gender Inequality Index (GII),0.092878262,2016
CAN,Canada,69206,Life expectancy at birth (years),82.374,2016
CAN,Canada,69706,Expected years of schooling (years),16.43739864,2016
CAN,Canada,71406,Inequality-adjusted education index,0.874777706,2016
CAN,Canada,71506,Inequality-adjusted life expectancy index,0.918405332,2016
CAN,Canada,71606,Inequality-adjusted income index,0.755667444,2016
CAN,Canada,73506,Overall loss in HDI due to inequality (%),8.189249304,2016
CAN,Canada,101606,Inequality in education (%),2.113034545,2016
CAN,Canada,101706,Inequality in income (%),17.394,2016
CAN,Canada,101806,Inequality in life expectancy (%),4.2929,2016
CAN,Canada,103006,Mean years of schooling (years),13.112,2016
CAN,Canada,103206,Life expectancy index,0.9596,2016
CAN,Canada,103606,Income index,0.914785178,2016
CAN,Canada,103706,Education index,0.893661073,2016
CAN,Canada,110906,"Unemployment, youth (% ages 15–24)",13.1,2016
CAN,Canada,111106,International inbound tourists (thousands),19824,2016
CAN,Canada,111306,Private capital flows (% of GDP),-5.360809,2016
CAN,Canada,120606,"Life expectancy at birth, female (years)",84.253,2016
CAN,Canada,121106,"Life expectancy at birth, male (years)",80.441,2016
CAN,Canada,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),23.676,2016
CAN,Canada,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),24.568,2016
CAN,Canada,123306,"Expected years of schooling, female (years)",16.8726,2016
CAN,Canada,123406,"Expected years of schooling, male (years)",16.0238,2016
CAN,Canada,123506,"Estimated gross national income per capita, female (2011 PPP $)",34270.28118,2016
CAN,Canada,123606,"Estimated gross national income per capita, male (2011 PPP $)",51190.45191,2016
CAN,Canada,132706,Population ages 65 and older (millions),6.014218,2016
CAN,Canada,132806,Population under age 5 (millions),1.92855,2016
CAN,Canada,133206,Exports and imports (% of GDP),64.3521,2016
CAN,Canada,135006,Coefficient of human inequality,7.933311515,2016
CAN,Canada,136706,GDP per capita (2011 PPP $),43238.2596,2016
CAN,Canada,136906,"Human Development Index (HDI), female",0.914492304,2016
CAN,Canada,137006,"Human Development Index (HDI), male",0.927665097,2016
CAN,Canada,137506,Human Development Index (HDI),0.92227563,2016
CAN,Canada,137906,Gender Development Index (GDI),0.985800055,2016
CAN,Canada,138806,Inequality-adjusted HDI (IHDI),0.84674818,2016
CAN,Canada,140606,"Unemployment, total (% of labour force)",7,2016
CAN,Canada,141706,Gross national income (GNI) per capita (2011 PPP $),42664.18265,2016
CAN,Canada,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",1568.018362,2016
CAN,Canada,146206,HDI rank,12,2016
CAN,Canada,147906,Youth not in school or employment (% ages 15-24),10.22,2016
CAN,Canada,148206,Labour force participation rate (% ages 15 and older),65.4,2016
CAN,Canada,148306,Employment to population ratio (% ages 15 and older),60.8,2016
CAN,Canada,150606,Employment in agriculture (% of total employment),2,2016
CAN,Canada,150706,Employment in services (% of total employment),78.5,2016
CAN,Canada,164406,Adjusted net savings (% of GNI),5.2867589,2016
CAN,Canada,169706,Total unemployment rate (female to male ratio),0.805194805,2016
CAN,Canada,169806,Youth unemployment rate (female to male ratio),0.885135135,2016
CAN,Canada,170006,Concentration index (exports) (value),0.137648199,2016
CAN,Canada,174506,"Mortality rate attributed to household and ambient air pollution (per 100,000 population)",7,2016
CAN,Canada,174606,"Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)",0.4,2016
CAN,Canada,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",47.93,2016
CAN,Canada,178306,Gross capital formation (% of GDP),23.18499675,2016
CAN,Canada,179406,Skilled labour force (% of labour force),90.4,2016
CAN,Canada,181706,Rural population with access to electricity (%),100,2016
CAN,Canada,182206,"Tuberculosis incidence (per 100,000 people)",5.2,2016
CAN,Canada,23806,Population with at least some secondary education (% ages 25 and older),100,2015
CAN,Canada,23906,"Population with at least some secondary education, female (% ages 25 and older)",100,2015
CAN,Canada,24006,"Population with at least some secondary education, male (% ages 25 and older)",100,2015
CAN,Canada,24106,"Mean years of schooling, female (years)",13.31,2015
CAN,Canada,24206,"Mean years of schooling, male (years)",12.89,2015
CAN,Canada,31706,Share of seats in parliament (% held by women),28.26603325,2015
CAN,Canada,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",10.368,2015
CAN,Canada,43006,Vulnerable employment (% of total employment),10.6,2015
CAN,Canada,43606,"Internet users, total (% of population)",88.47,2015
CAN,Canada,44206,Total population (millions),35.949709,2015
CAN,Canada,45106,Urban population (%),81.3,2015
CAN,Canada,46006,Mobile phone subscriptions (per 100 people),82.7962,2015
CAN,Canada,47906,Median age (years),40.54,2015
CAN,Canada,48706,"Labour force participation rate (% ages 15 and older), female",60.8,2015
CAN,Canada,48806,"Labour force participation rate (% ages 15 and older), male",70.5,2015
CAN,Canada,49006,Sex ratio at birth (male to female births),1.06,2015
CAN,Canada,52606,"Remittances, inflows (% of GDP)",0.081683,2015
CAN,Canada,53506,"Foreign direct investment, net inflows (% of GDP)",3.95238,2015
CAN,Canada,57206,"Mortality rate, infant (per 1,000 live births)",4.5,2015
CAN,Canada,57506,"Mortality rate, under-five (per 1,000 live births)",5.1,2015
CAN,Canada,61006,"Homicide rate (per 100,000 people)",1.6801,2015
CAN,Canada,63106,Population ages 15–64 (millions),24.4006,2015
CAN,Canada,63206,"Gross enrolment ratio, primary (% of primary school-age population)",102.80303,2015
CAN,Canada,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",110.88722,2015
CAN,Canada,64306,"Infants lacking immunization, measles (% of one-year-olds)",10,2015
CAN,Canada,64406,"Infants lacking immunization, DPT (% of one-year-olds)",4,2015
CAN,Canada,65606,Gross fixed capital formation (% of GDP),23.86011206,2015
CAN,Canada,68606,Gender Inequality Index (GII),0.101819768,2015
CAN,Canada,69206,Life expectancy at birth (years),82.206,2015
CAN,Canada,69706,Expected years of schooling (years),16.325,2015
CAN,Canada,71406,Inequality-adjusted education index,0.855815133,2015
CAN,Canada,71506,Inequality-adjusted life expectancy index,0.911689222,2015
CAN,Canada,71606,Inequality-adjusted income index,0.755221073,2015
CAN,Canada,73506,Overall loss in HDI due to inequality (%),8.878562945,2015
CAN,Canada,89006,"Maternal mortality ratio (deaths per 100,000 live births)",7,2015
CAN,Canada,100806,Forest area (% of total land area),38.16667052,2015
CAN,Canada,101606,Inequality in education (%),3.856,2015
CAN,Canada,101706,Inequality in income (%),17.394,2015
CAN,Canada,101806,Inequality in life expectancy (%),4.7362,2015
CAN,Canada,103006,Mean years of schooling (years),13.1,2015
CAN,Canada,103206,Life expectancy index,0.957015385,2015
CAN,Canada,103606,Income index,0.914244817,2015
CAN,Canada,103706,Education index,0.890138889,2015
CAN,Canada,110806,"Net migration rate (per 1,000 people)",6.536,2015
CAN,Canada,110906,"Unemployment, youth (% ages 15–24)",13.2,2015
CAN,Canada,111106,International inbound tourists (thousands),17971,2015
CAN,Canada,111306,Private capital flows (% of GDP),-1.536669,2015
CAN,Canada,112506,"Suicide rate, male (per 100,000 people)",15.3,2015
CAN,Canada,112606,"Suicide rate, female (per 100,000 people)",5.6,2015
CAN,Canada,120606,"Life expectancy at birth, female (years)",84.123,2015
CAN,Canada,121106,"Life expectancy at birth, male (years)",80.23,2015
CAN,Canada,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),23.54,2015
CAN,Canada,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),23.791,2015
CAN,Canada,123306,"Expected years of schooling, female (years)",16.7572,2015
CAN,Canada,123406,"Expected years of schooling, male (years)",15.9143,2015
CAN,Canada,123506,"Estimated gross national income per capita, female (2011 PPP $)",33873.58367,2015
CAN,Canada,123606,"Estimated gross national income per capita, male (2011 PPP $)",51288.21416,2015
CAN,Canada,132706,Population ages 65 and older (millions),5.805051,2015
CAN,Canada,132806,Population under age 5 (millions),1.94366,2015
CAN,Canada,133206,Exports and imports (% of GDP),65.5277,2015
CAN,Canada,135006,Coefficient of human inequality,8.662066667,2015
CAN,Canada,136706,GDP per capita (2011 PPP $),43149.47584,2015
CAN,Canada,136906,"Human Development Index (HDI), female",0.911949208,2015
