#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
CUB,Cuba,21806,Refugees by country of origin (thousands),5.338,2017
CUB,Cuba,23806,Population with at least some secondary education (% ages 25 and older),86.9,2017
CUB,Cuba,23906,"Population with at least some secondary education, female (% ages 25 and older)",86.74,2017
CUB,Cuba,24006,"Population with at least some secondary education, male (% ages 25 and older)",88.93730023,2017
CUB,Cuba,24106,"Mean years of schooling, female (years)",11.5985,2017
CUB,Cuba,24206,"Mean years of schooling, male (years)",12.0609,2017
CUB,Cuba,31706,Share of seats in parliament (% held by women),48.85620915,2017
CUB,Cuba,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",43.647,2017
CUB,Cuba,43006,Vulnerable employment (% of total employment),10.3,2017
CUB,Cuba,44206,Total population (millions),11.484636,2017
CUB,Cuba,45106,Urban population (%),77,2017
CUB,Cuba,48706,"Labour force participation rate (% ages 15 and older), female",41.5,2017
CUB,Cuba,48806,"Labour force participation rate (% ages 15 and older), male",67.3,2017
CUB,Cuba,49006,Sex ratio at birth (male to female births),1.06,2017
CUB,Cuba,63106,Population ages 15–64 (millions),7.951,2017
CUB,Cuba,64306,"Infants lacking immunization, measles (% of one-year-olds)",1,2017
CUB,Cuba,64406,"Infants lacking immunization, DPT (% of one-year-olds)",1,2017
CUB,Cuba,68606,Gender Inequality Index (GII),0.301128452,2017
CUB,Cuba,69206,Life expectancy at birth (years),79.921,2017
CUB,Cuba,69706,Expected years of schooling (years),13.99565,2017
CUB,Cuba,71406,Inequality-adjusted education index,0.69512663,2017
CUB,Cuba,71506,Inequality-adjusted life expectancy index,0.873002877,2017
CUB,Cuba,101606,Inequality in education (%),10.93381,2017
CUB,Cuba,101806,Inequality in life expectancy (%),5.3,2017
CUB,Cuba,103006,Mean years of schooling (years),11.75078,2017
CUB,Cuba,103206,Life expectancy index,0.921861538,2017
CUB,Cuba,103606,Income index,0.652671962,2017
CUB,Cuba,103706,Education index,0.780460722,2017
CUB,Cuba,110906,"Unemployment, youth (% ages 15–24)",5.5,2017
CUB,Cuba,120606,"Life expectancy at birth, female (years)",81.934,2017
CUB,Cuba,121106,"Life expectancy at birth, male (years)",77.953,2017
CUB,Cuba,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),23.161,2017
CUB,Cuba,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),21.289,2017
CUB,Cuba,123306,"Expected years of schooling, female (years)",14.3178,2017
CUB,Cuba,123406,"Expected years of schooling, male (years)",13.6976,2017
CUB,Cuba,123506,"Estimated gross national income per capita, female (2011 PPP $)",5001.230467,2017
CUB,Cuba,123606,"Estimated gross national income per capita, male (2011 PPP $)",10045.41959,2017
CUB,Cuba,132706,Population ages 65 and older (millions),1.692572,2017
CUB,Cuba,132806,Population under age 5 (millions),0.632595,2017
CUB,Cuba,136906,"Human Development Index (HDI), female",0.751154719,2017
CUB,Cuba,137006,"Human Development Index (HDI), male",0.797265783,2017
CUB,Cuba,137506,Human Development Index (HDI),0.777267606,2017
CUB,Cuba,137906,Gender Development Index (GDI),0.942163498,2017
CUB,Cuba,140606,"Unemployment, total (% of labour force)",2.6,2017
CUB,Cuba,141706,Gross national income (GNI) per capita (2011 PPP $),7524.4,2017
CUB,Cuba,146206,HDI rank,73,2017
CUB,Cuba,148206,Labour force participation rate (% ages 15 and older),54.3,2017
CUB,Cuba,148306,Employment to population ratio (% ages 15 and older),53,2017
CUB,Cuba,150606,Employment in agriculture (% of total employment),18.6,2017
CUB,Cuba,150706,Employment in services (% of total employment),64.9,2017
CUB,Cuba,153706,Working poor at PPP$3.10 a day (% of total employment),2.7,2017
CUB,Cuba,169706,Total unemployment rate (female to male ratio),1.304347826,2017
CUB,Cuba,169806,Youth unemployment rate (female to male ratio),1,2017
CUB,Cuba,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",43.21,2017
CUB,Cuba,181606,Red List Index (value),0.65098,2017
CUB,Cuba,23806,Population with at least some secondary education (% ages 25 and older),84.826,2016
CUB,Cuba,23906,"Population with at least some secondary education, female (% ages 25 and older)",86.2,2016
CUB,Cuba,24006,"Population with at least some secondary education, male (% ages 25 and older)",88.93730023,2016
CUB,Cuba,24106,"Mean years of schooling, female (years)",11.5985,2016
CUB,Cuba,24206,"Mean years of schooling, male (years)",12.0609,2016
