#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
CZE,Czechia,21806,Refugees by country of origin (thousands),1.277,2017
CZE,Czechia,23806,Population with at least some secondary education (% ages 25 and older),99.78388,2017
CZE,Czechia,23906,"Population with at least some secondary education, female (% ages 25 and older)",99.81315,2017
CZE,Czechia,24006,"Population with at least some secondary education, male (% ages 25 and older)",99.76883,2017
CZE,Czechia,24106,"Mean years of schooling, female (years)",12.6292,2017
CZE,Czechia,24206,"Mean years of schooling, male (years)",13.0729,2017
CZE,Czechia,31706,Share of seats in parliament (% held by women),21.07142857,2017
CZE,Czechia,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",9.995,2017
CZE,Czechia,43006,Vulnerable employment (% of total employment),14.2,2017
CZE,Czechia,44206,Total population (millions),10.618303,2017
CZE,Czechia,45106,Urban population (%),73.7,2017
CZE,Czechia,48706,"Labour force participation rate (% ages 15 and older), female",52,2017
CZE,Czechia,48806,"Labour force participation rate (% ages 15 and older), male",68.3,2017
CZE,Czechia,49006,Sex ratio at birth (male to female births),1.06,2017
CZE,Czechia,52606,"Remittances, inflows (% of GDP)",1.66385,2017
CZE,Czechia,53506,"Foreign direct investment, net inflows (% of GDP)",4.26935,2017
CZE,Czechia,63106,Population ages 15–64 (millions),6.966,2017
CZE,Czechia,64306,"Infants lacking immunization, measles (% of one-year-olds)",3,2017
CZE,Czechia,64406,"Infants lacking immunization, DPT (% of one-year-olds)",2,2017
CZE,Czechia,65606,Gross fixed capital formation (% of GDP),25.2254271,2017
CZE,Czechia,68606,Gender Inequality Index (GII),0.124060334,2017
CZE,Czechia,69206,Life expectancy at birth (years),78.877,2017
CZE,Czechia,69706,Expected years of schooling (years),16.85478,2017
CZE,Czechia,71406,Inequality-adjusted education index,0.878577675,2017
CZE,Czechia,71506,Inequality-adjusted life expectancy index,0.8759086,2017
CZE,Czechia,71606,Inequality-adjusted income index,0.770842213,2017
CZE,Czechia,73506,Overall loss in HDI due to inequality (%),5.332030882,2017
CZE,Czechia,101606,Inequality in education (%),1.60035,2017
CZE,Czechia,101706,Inequality in income (%),10.83608,2017
CZE,Czechia,101806,Inequality in life expectancy (%),3.3,2017
CZE,Czechia,103006,Mean years of schooling (years),12.74035,2017
CZE,Czechia,103206,Life expectancy index,0.9058,2017
CZE,Czechia,103606,Income index,0.86452257,2017
CZE,Czechia,103706,Education index,0.892866667,2017
CZE,Czechia,110906,"Unemployment, youth (% ages 15–24)",8.3,2017
CZE,Czechia,111306,Private capital flows (% of GDP),-7.238544,2017
CZE,Czechia,120606,"Life expectancy at birth, female (years)",81.741,2017
CZE,Czechia,121106,"Life expectancy at birth, male (years)",75.972,2017
CZE,Czechia,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),23.436,2017
CZE,Czechia,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),29.005,2017
CZE,Czechia,123306,"Expected years of schooling, female (years)",17.6353,2017
CZE,Czechia,123406,"Expected years of schooling, male (years)",16.1122,2017
CZE,Czechia,123506,"Estimated gross national income per capita, female (2011 PPP $)",23223.5037,2017
CZE,Czechia,123606,"Estimated gross national income per capita, male (2011 PPP $)",38206.39583,2017
CZE,Czechia,127606,Domestic credit provided by financial sector (% of GDP),62.07833552,2017
CZE,Czechia,132706,Population ages 65 and older (millions),2.020334,2017
CZE,Czechia,132806,Population under age 5 (millions),0.529114,2017
CZE,Czechia,133206,Exports and imports (% of GDP),151.696,2017
CZE,Czechia,135006,Coefficient of human inequality,5.245476667,2017
CZE,Czechia,136706,GDP per capita (2011 PPP $),32605.90633,2017
CZE,Czechia,136906,"Human Development Index (HDI), female",0.880715431,2017
CZE,Czechia,137006,"Human Development Index (HDI), male",0.893639357,2017
CZE,Czechia,137506,Human Development Index (HDI),0.887561429,2017
CZE,Czechia,137906,Gender Development Index (GDI),0.985537872,2017
CZE,Czechia,138806,Inequality-adjusted HDI (IHDI),0.840236379,2017
CZE,Czechia,140606,"Unemployment, total (% of labour force)",3.1,2017
CZE,Czechia,141706,Gross national income (GNI) per capita (2011 PPP $),30588.30081,2017
CZE,Czechia,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",345.3396856,2017
CZE,Czechia,146206,HDI rank,27,2017
CZE,Czechia,148206,Labour force participation rate (% ages 15 and older),59.9,2017
CZE,Czechia,148306,Employment to population ratio (% ages 15 and older),58.1,2017
CZE,Czechia,150606,Employment in agriculture (% of total employment),2.9,2017
CZE,Czechia,150706,Employment in services (% of total employment),59.3,2017
CZE,Czechia,169706,Total unemployment rate (female to male ratio),1.384615385,2017
CZE,Czechia,169806,Youth unemployment rate (female to male ratio),1.064102564,2017
CZE,Czechia,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",44.71,2017
CZE,Czechia,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),78.58478546,2017
CZE,Czechia,178306,Gross capital formation (% of GDP),26.33769011,2017
CZE,Czechia,179406,Skilled labour force (% of labour force),95.2,2017
CZE,Czechia,181606,Red List Index (value),0.97055,2017
CZE,Czechia,23806,Population with at least some secondary education (% ages 25 and older),99.78388,2016
CZE,Czechia,23906,"Population with at least some secondary education, female (% ages 25 and older)",99.81315,2016
CZE,Czechia,24006,"Population with at least some secondary education, male (% ages 25 and older)",99.76883,2016
CZE,Czechia,24106,"Mean years of schooling, female (years)",12.535,2016
CZE,Czechia,24206,"Mean years of schooling, male (years)",12.959,2016
CZE,Czechia,31706,Share of seats in parliament (% held by women),19.64285714,2016
CZE,Czechia,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",9.995,2016
CZE,Czechia,43006,Vulnerable employment (% of total employment),14,2016
CZE,Czechia,43606,"Internet users, total (% of population)",76.48120138,2016
CZE,Czechia,44206,Total population (millions),10.610947,2016
CZE,Czechia,45106,Urban population (%),73.6,2016
CZE,Czechia,46006,Mobile phone subscriptions (per 100 people),117.662,2016
CZE,Czechia,48706,"Labour force participation rate (% ages 15 and older), female",52.1,2016
