#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
DNK,Denmark,21806,Refugees by country of origin (thousands),0.002,2017
DNK,Denmark,23806,Population with at least some secondary education (% ages 25 and older),90.69111,2017
DNK,Denmark,23906,"Population with at least some secondary education, female (% ages 25 and older)",90.12972,2017
DNK,Denmark,24006,"Population with at least some secondary education, male (% ages 25 and older)",91.25282,2017
DNK,Denmark,24106,"Mean years of schooling, female (years)",12.7166,2017
DNK,Denmark,24206,"Mean years of schooling, male (years)",12.4283,2017
DNK,Denmark,31706,Share of seats in parliament (% held by women),37.4301676,2017
DNK,Denmark,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",4.123,2017
DNK,Denmark,43006,Vulnerable employment (% of total employment),5.8,2017
DNK,Denmark,44206,Total population (millions),5.733551,2017
DNK,Denmark,45106,Urban population (%),87.8,2017
DNK,Denmark,48706,"Labour force participation rate (% ages 15 and older), female",59.2,2017
DNK,Denmark,48806,"Labour force participation rate (% ages 15 and older), male",67.2,2017
DNK,Denmark,49006,Sex ratio at birth (male to female births),1.06,2017
DNK,Denmark,52606,"Remittances, inflows (% of GDP)",0.416029,2017
DNK,Denmark,53506,"Foreign direct investment, net inflows (% of GDP)",-0.697618,2017
DNK,Denmark,63106,Population ages 15–64 (millions),3.66,2017
DNK,Denmark,64306,"Infants lacking immunization, measles (% of one-year-olds)",3,2017
DNK,Denmark,64406,"Infants lacking immunization, DPT (% of one-year-olds)",1,2017
DNK,Denmark,65606,Gross fixed capital formation (% of GDP),20.37872449,2017
DNK,Denmark,68606,Gender Inequality Index (GII),0.039864738,2017
DNK,Denmark,69206,Life expectancy at birth (years),80.878,2017
DNK,Denmark,69706,Expected years of schooling (years),19.06606,2017
DNK,Denmark,71406,Inequality-adjusted education index,0.880118827,2017
DNK,Denmark,71506,Inequality-adjusted life expectancy index,0.904740738,2017
DNK,Denmark,71606,Inequality-adjusted income index,0.798080101,2017
DNK,Denmark,73506,Overall loss in HDI due to inequality (%),7.501785682,2017
DNK,Denmark,101606,Inequality in education (%),4.29257,2017
DNK,Denmark,101706,Inequality in income (%),14.39931,2017
DNK,Denmark,101806,Inequality in life expectancy (%),3.4,2017
DNK,Denmark,103006,Mean years of schooling (years),12.58779,2017
DNK,Denmark,103206,Life expectancy index,0.936584615,2017
DNK,Denmark,103606,Income index,0.932329051,2017
DNK,Denmark,103706,Education index,0.919593,2017
DNK,Denmark,110906,"Unemployment, youth (% ages 15–24)",11.4,2017
DNK,Denmark,111306,Private capital flows (% of GDP),4.289475,2017
DNK,Denmark,120606,"Life expectancy at birth, female (years)",82.768,2017
DNK,Denmark,121106,"Life expectancy at birth, male (years)",78.963,2017
DNK,Denmark,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),25.824,2017
DNK,Denmark,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),30.824,2017
DNK,Denmark,123306,"Expected years of schooling, female (years)",19.7795,2017
DNK,Denmark,123406,"Expected years of schooling, male (years)",18.375,2017
DNK,Denmark,123506,"Estimated gross national income per capita, female (2011 PPP $)",40293.09514,2017
DNK,Denmark,123606,"Estimated gross national income per capita, male (2011 PPP $)",55624.35017,2017
DNK,Denmark,127606,Domestic credit provided by financial sector (% of GDP),200.6618821,2017
DNK,Denmark,132706,Population ages 65 and older (millions),1.128206,2017
DNK,Denmark,132806,Population under age 5 (millions),0.285454,2017
DNK,Denmark,133206,Exports and imports (% of GDP),103.362,2017
DNK,Denmark,135006,Coefficient of human inequality,7.36396,2017
DNK,Denmark,136706,GDP per capita (2011 PPP $),46682.51472,2017
DNK,Denmark,136906,"Human Development Index (HDI), female",0.919031502,2017
DNK,Denmark,137006,"Human Development Index (HDI), male",0.938076807,2017
DNK,Denmark,137506,Human Development Index (HDI),0.929474111,2017
DNK,Denmark,137906,Gender Development Index (GDI),0.979697499,2017
DNK,Denmark,138806,Inequality-adjusted HDI (IHDI),0.859746955,2017
DNK,Denmark,140606,"Unemployment, total (% of labour force)",5.9,2017
