#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
FIN,Finland,21806,Refugees by country of origin (thousands),0.005,2017
FIN,Finland,23806,Population with at least some secondary education (% ages 25 and older),100,2017
FIN,Finland,23906,"Population with at least some secondary education, female (% ages 25 and older)",100,2017
FIN,Finland,24006,"Population with at least some secondary education, male (% ages 25 and older)",100,2017
FIN,Finland,24106,"Mean years of schooling, female (years)",12.6062,2017
FIN,Finland,24206,"Mean years of schooling, male (years)",12.2627,2017
FIN,Finland,31706,Share of seats in parliament (% held by women),42,2017
FIN,Finland,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",6.769,2017
FIN,Finland,43006,Vulnerable employment (% of total employment),10.1,2017
FIN,Finland,44206,Total population (millions),5.523231,2017
FIN,Finland,45106,Urban population (%),85.3,2017
FIN,Finland,48706,"Labour force participation rate (% ages 15 and older), female",54.8,2017
FIN,Finland,48806,"Labour force participation rate (% ages 15 and older), male",61.9,2017
FIN,Finland,49006,Sex ratio at birth (male to female births),1.05,2017
FIN,Finland,52606,"Remittances, inflows (% of GDP)",0.349607,2017
FIN,Finland,53506,"Foreign direct investment, net inflows (% of GDP)",4.30798,2017
FIN,Finland,63106,Population ages 15–64 (millions),3.445,2017
FIN,Finland,64306,"Infants lacking immunization, measles (% of one-year-olds)",6,2017
FIN,Finland,64406,"Infants lacking immunization, DPT (% of one-year-olds)",2,2017
FIN,Finland,65606,Gross fixed capital formation (% of GDP),22.59419654,2017
FIN,Finland,68606,Gender Inequality Index (GII),0.057870968,2017
FIN,Finland,69206,Life expectancy at birth (years),81.496,2017
FIN,Finland,69706,Expected years of schooling (years),17.6396565,2017
FIN,Finland,71406,Inequality-adjusted education index,0.887116916,2017
FIN,Finland,71506,Inequality-adjusted life expectancy index,0.919601723,2017
FIN,Finland,71606,Inequality-adjusted income index,0.802027148,2017
FIN,Finland,73506,Overall loss in HDI due to inequality (%),5.601299406,2017
FIN,Finland,101606,Inequality in education (%),1.93747,2017
FIN,Finland,101706,Inequality in income (%),11.74716,2017
