#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
FRA,France,21806,Refugees by country of origin (thousands),0.056,2017
FRA,France,23806,Population with at least some secondary education (% ages 25 and older),83.20343,2017
FRA,France,23906,"Population with at least some secondary education, female (% ages 25 and older)",80.55189,2017
FRA,France,24006,"Population with at least some secondary education, male (% ages 25 and older)",85.64227,2017
FRA,France,24106,"Mean years of schooling, female (years)",11.2943,2017
FRA,France,24206,"Mean years of schooling, male (years)",11.7516,2017
FRA,France,31706,Share of seats in parliament (% held by women),35.35135135,2017
FRA,France,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",8.643,2017
FRA,France,43006,Vulnerable employment (% of total employment),7.6,2017
FRA,France,44206,Total population (millions),64.979548,2017
FRA,France,45106,Urban population (%),80.2,2017
FRA,France,48706,"Labour force participation rate (% ages 15 and older), female",50.6,2017
FRA,France,48806,"Labour force participation rate (% ages 15 and older), male",60.1,2017
FRA,France,49006,Sex ratio at birth (male to female births),1.05,2017
FRA,France,52606,"Remittances, inflows (% of GDP)",0.965188,2017
FRA,France,53506,"Foreign direct investment, net inflows (% of GDP)",1.97281,2017
FRA,France,63106,Population ages 15–64 (millions),40.416,2017
FRA,France,64306,"Infants lacking immunization, measles (% of one-year-olds)",10,2017
FRA,France,64406,"Infants lacking immunization, DPT (% of one-year-olds)",1,2017
FRA,France,65606,Gross fixed capital formation (% of GDP),22.51253979,2017
FRA,France,68606,Gender Inequality Index (GII),0.082857387,2017
FRA,France,69206,Life expectancy at birth (years),82.716,2017
FRA,France,69706,Expected years of schooling (years),16.41595,2017
FRA,France,71406,Inequality-adjusted education index,0.767506588,2017
FRA,France,71506,Inequality-adjusted life expectancy index,0.930126523,2017
FRA,France,71606,Inequality-adjusted income index,0.73862741,2017
FRA,France,73506,Overall loss in HDI due to inequality (%),10.31489935,2017
FRA,France,101606,Inequality in education (%),8.59672,2017
FRA,France,101706,Inequality in income (%),18.13051,2017
FRA,France,101806,Inequality in life expectancy (%),3.6,2017
FRA,France,103006,Mean years of schooling (years),11.51082,2017
FRA,France,103206,Life expectancy index,0.964861538,2017
FRA,France,103606,Income index,0.902201064,2017
FRA,France,103706,Education index,0.839692611,2017
FRA,France,110906,"Unemployment, youth (% ages 15–24)",23.6,2017
FRA,France,111306,Private capital flows (% of GDP),0.3579289,2017
FRA,France,120606,"Life expectancy at birth, female (years)",85.61,2017
FRA,France,121106,"Life expectancy at birth, male (years)",79.801,2017
FRA,France,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),29.074,2017
FRA,France,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),31.702,2017
FRA,France,123306,"Expected years of schooling, female (years)",16.8108,2017
