#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
DEU,Germany,21806,Refugees by country of origin (thousands),0.075,2017
DEU,Germany,23806,Population with at least some secondary education (% ages 25 and older),96.52632,2017
DEU,Germany,23906,"Population with at least some secondary education, female (% ages 25 and older)",96.23937,2017
DEU,Germany,24006,"Population with at least some secondary education, male (% ages 25 and older)",96.83103,2017
DEU,Germany,24106,"Mean years of schooling, female (years)",13.6317,2017
DEU,Germany,24206,"Mean years of schooling, male (years)",14.4688,2017
DEU,Germany,31706,Share of seats in parliament (% held by women),31.49100257,2017
DEU,Germany,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",6.535,2017
DEU,Germany,43006,Vulnerable employment (% of total employment),6,2017
DEU,Germany,44206,Total population (millions),82.114224,2017
DEU,Germany,45106,Urban population (%),77.3,2017
DEU,Germany,48706,"Labour force participation rate (% ages 15 and older), female",55,2017
DEU,Germany,48806,"Labour force participation rate (% ages 15 and older), male",66.2,2017
DEU,Germany,49006,Sex ratio at birth (male to female births),1.06,2017
DEU,Germany,52606,"Remittances, inflows (% of GDP)",0.456212,2017
DEU,Germany,53506,"Foreign direct investment, net inflows (% of GDP)",2.12059,2017
DEU,Germany,63106,Population ages 15–64 (millions),53.762,2017
DEU,Germany,64306,"Infants lacking immunization, measles (% of one-year-olds)",3,2017
DEU,Germany,64406,"Infants lacking immunization, DPT (% of one-year-olds)",1,2017
DEU,Germany,65606,Gross fixed capital formation (% of GDP),20.31847641,2017
DEU,Germany,68606,Gender Inequality Index (GII),0.072057483,2017
DEU,Germany,69206,Life expectancy at birth (years),81.178,2017
DEU,Germany,69706,Expected years of schooling (years),16.95598,2017
DEU,Germany,71406,Inequality-adjusted education index,0.914795837,2017
DEU,Germany,71506,Inequality-adjusted life expectancy index,0.912964,2017
DEU,Germany,71606,Inequality-adjusted income index,0.763004954,2017
DEU,Germany,73506,Overall loss in HDI due to inequality (%),8.06679475,2017
DEU,Germany,101606,Inequality in education (%),2.7227,2017
DEU,Germany,101706,Inequality in income (%),17.65562,2017
DEU,Germany,101806,Inequality in life expectancy (%),3,2017
DEU,Germany,103006,Mean years of schooling (years),14.08202,2017
DEU,Germany,103206,Life expectancy index,0.9412,2017
DEU,Germany,103606,Income index,0.926602343,2017
DEU,Germany,103706,Education index,0.940400111,2017
DEU,Germany,110906,"Unemployment, youth (% ages 15–24)",6.4,2017
DEU,Germany,111306,Private capital flows (% of GDP),7.483567,2017
DEU,Germany,120606,"Life expectancy at birth, female (years)",83.498,2017
DEU,Germany,121106,"Life expectancy at birth, male (years)",78.854,2017
DEU,Germany,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),19.97,2017
DEU,Germany,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),32.767,2017
DEU,Germany,123306,"Expected years of schooling, female (years)",16.8776,2017
DEU,Germany,123406,"Expected years of schooling, male (years)",17.0334,2017
DEU,Germany,123506,"Estimated gross national income per capita, female (2011 PPP $)",37688.88099,2017
DEU,Germany,123606,"Estimated gross national income per capita, male (2011 PPP $)",54842.79671,2017
DEU,Germany,127606,Domestic credit provided by financial sector (% of GDP),127.2696156,2017
