#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
GBR,United Kingdom,21806,Refugees by country of origin (thousands),0.08,2017
GBR,United Kingdom,23806,Population with at least some secondary education (% ages 25 and older),82.90361,2017
GBR,United Kingdom,23906,"Population with at least some secondary education, female (% ages 25 and older)",82.38919118,2017
GBR,United Kingdom,24006,"Population with at least some secondary education, male (% ages 25 and older)",85.22327178,2017
GBR,United Kingdom,24106,"Mean years of schooling, female (years)",12.7943,2017
GBR,United Kingdom,24206,"Mean years of schooling, male (years)",13.5075,2017
GBR,United Kingdom,31706,Share of seats in parliament (% held by women),28.52233677,2017
GBR,United Kingdom,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",12.498,2017
GBR,United Kingdom,43006,Vulnerable employment (% of total employment),13.1,2017
GBR,United Kingdom,44206,Total population (millions),66.181585,2017
GBR,United Kingdom,45106,Urban population (%),83.1,2017
GBR,United Kingdom,48706,"Labour force participation rate (% ages 15 and older), female",56.8,2017
GBR,United Kingdom,48806,"Labour force participation rate (% ages 15 and older), male",68.1,2017
GBR,United Kingdom,49006,Sex ratio at birth (male to female births),1.05,2017
GBR,United Kingdom,52606,"Remittances, inflows (% of GDP)",0.167466,2017
GBR,United Kingdom,53506,"Foreign direct investment, net inflows (% of GDP)",1.77782,2017
GBR,United Kingdom,63106,Population ages 15–64 (millions),42.205,2017
GBR,United Kingdom,64306,"Infants lacking immunization, measles (% of one-year-olds)",8,2017
GBR,United Kingdom,64406,"Infants lacking immunization, DPT (% of one-year-olds)",2,2017
GBR,United Kingdom,65606,Gross fixed capital formation (% of GDP),16.8626125,2017
GBR,United Kingdom,68606,Gender Inequality Index (GII),0.116226178,2017
GBR,United Kingdom,69206,Life expectancy at birth (years),81.717,2017
GBR,United Kingdom,69706,Expected years of schooling (years),17.4429,2017
GBR,United Kingdom,71406,Inequality-adjusted education index,0.879923392,2017
GBR,United Kingdom,71506,Inequality-adjusted life expectancy index,0.911512615,2017
GBR,United Kingdom,71606,Inequality-adjusted income index,0.725530873,2017
GBR,United Kingdom,73506,Overall loss in HDI due to inequality (%),9.405308072,2017
GBR,United Kingdom,101606,Inequality in education (%),3.74374,2017
GBR,United Kingdom,101706,Inequality in income (%),19.53481,2017
GBR,United Kingdom,101806,Inequality in life expectancy (%),4,2017
GBR,United Kingdom,103006,Mean years of schooling (years),12.88865,2017
GBR,United Kingdom,103206,Life expectancy index,0.949492308,2017
GBR,United Kingdom,103606,Income index,0.90167049,2017
GBR,United Kingdom,103706,Education index,0.914146667,2017
GBR,United Kingdom,110906,"Unemployment, youth (% ages 15–24)",11.7,2017
GBR,United Kingdom,111306,Private capital flows (% of GDP),-0.2964841,2017
GBR,United Kingdom,120606,"Life expectancy at birth, female (years)",83.438,2017
GBR,United Kingdom,121106,"Life expectancy at birth, male (years)",79.942,2017
GBR,United Kingdom,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),27.773,2017
GBR,United Kingdom,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),29.037,2017
GBR,United Kingdom,123306,"Expected years of schooling, female (years)",17.9076,2017
GBR,United Kingdom,123406,"Expected years of schooling, male (years)",16.9822,2017
