#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
HUN,Hungary,21806,Refugees by country of origin (thousands),3.336,2017
HUN,Hungary,23806,Population with at least some secondary education (% ages 25 and older),96.76661,2017
HUN,Hungary,23906,"Population with at least some secondary education, female (% ages 25 and older)",95.72996,2017
HUN,Hungary,24006,"Population with at least some secondary education, male (% ages 25 and older)",97.96878,2017
HUN,Hungary,24106,"Mean years of schooling, female (years)",11.6811,2017
HUN,Hungary,24206,"Mean years of schooling, male (years)",12.1303,2017
HUN,Hungary,31706,Share of seats in parliament (% held by women),10.05025126,2017
HUN,Hungary,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",19.678,2017
HUN,Hungary,43006,Vulnerable employment (% of total employment),5.9,2017
HUN,Hungary,44206,Total population (millions),9.721559,2017
HUN,Hungary,45106,Urban population (%),71.1,2017
HUN,Hungary,48706,"Labour force participation rate (% ages 15 and older), female",47.9,2017
HUN,Hungary,48806,"Labour force participation rate (% ages 15 and older), male",64.2,2017
HUN,Hungary,49006,Sex ratio at birth (male to female births),1.06,2017
HUN,Hungary,52606,"Remittances, inflows (% of GDP)",3.33318,2017
HUN,Hungary,53506,"Foreign direct investment, net inflows (% of GDP)",-10.6619,2017
HUN,Hungary,63106,Population ages 15–64 (millions),6.524,2017
HUN,Hungary,64306,"Infants lacking immunization, measles (% of one-year-olds)",1,2017
HUN,Hungary,64406,"Infants lacking immunization, DPT (% of one-year-olds)",1,2017
HUN,Hungary,65606,Gross fixed capital formation (% of GDP),21.5192431,2017
HUN,Hungary,68606,Gender Inequality Index (GII),0.258590754,2017
HUN,Hungary,69206,Life expectancy at birth (years),76.063,2017
HUN,Hungary,69706,Expected years of schooling (years),15.08309,2017
HUN,Hungary,71406,Inequality-adjusted education index,0.789036592,2017
HUN,Hungary,71506,Inequality-adjusted life expectancy index,0.821969831,2017
HUN,Hungary,71606,Inequality-adjusted income index,0.709649548,2017
HUN,Hungary,73506,Overall loss in HDI due to inequality (%),7.848553166,2017
HUN,Hungary,101606,Inequality in education (%),3.21994,2017
HUN,Hungary,101706,Inequality in income (%),15.15472,2017
HUN,Hungary,101806,Inequality in life expectancy (%),4.7,2017
HUN,Hungary,103006,Mean years of schooling (years),11.88941,2017
HUN,Hungary,103206,Life expectancy index,0.862507692,2017
HUN,Hungary,103606,Income index,0.836404274,2017
HUN,Hungary,103706,Education index,0.815288389,2017
HUN,Hungary,110906,"Unemployment, youth (% ages 15–24)",11.3,2017
HUN,Hungary,111306,Private capital flows (% of GDP),1.236175,2017
HUN,Hungary,120606,"Life expectancy at birth, female (years)",79.441,2017
HUN,Hungary,121106,"Life expectancy at birth, male (years)",72.483,2017
HUN,Hungary,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),21.335,2017
HUN,Hungary,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),27.683,2017
HUN,Hungary,123306,"Expected years of schooling, female (years)",15.3947,2017
HUN,Hungary,123406,"Expected years of schooling, male (years)",14.7808,2017
HUN,Hungary,123506,"Estimated gross national income per capita, female (2011 PPP $)",19930.58952,2017
HUN,Hungary,123606,"Estimated gross national income per capita, male (2011 PPP $)",31413.47929,2017
HUN,Hungary,127606,Domestic credit provided by financial sector (% of GDP),58.43428238,2017
HUN,Hungary,132706,Population ages 65 and older (millions),1.805995,2017
HUN,Hungary,132806,Population under age 5 (millions),0.432621,2017
HUN,Hungary,133206,Exports and imports (% of GDP),172.36,2017
HUN,Hungary,135006,Coefficient of human inequality,7.691553333,2017
HUN,Hungary,136706,GDP per capita (2011 PPP $),26777.56079,2017
HUN,Hungary,136906,"Human Development Index (HDI), female",0.830312164,2017
HUN,Hungary,137006,"Human Development Index (HDI), male",0.842831493,2017
HUN,Hungary,137506,Human Development Index (HDI),0.837844634,2017
HUN,Hungary,137906,Gender Development Index (GDI),0.985146106,2017
HUN,Hungary,138806,Inequality-adjusted HDI (IHDI),0.772085952,2017
HUN,Hungary,140606,"Unemployment, total (% of labour force)",4.3,2017
HUN,Hungary,141706,Gross national income (GNI) per capita (2011 PPP $),25392.97167,2017
HUN,Hungary,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",261.9147229,2017
HUN,Hungary,146206,HDI rank,45,2017
HUN,Hungary,148206,Labour force participation rate (% ages 15 and older),55.6,2017
HUN,Hungary,148306,Employment to population ratio (% ages 15 and older),53.2,2017
HUN,Hungary,150606,Employment in agriculture (% of total employment),5,2017
HUN,Hungary,150706,Employment in services (% of total employment),64.8,2017
HUN,Hungary,169706,Total unemployment rate (female to male ratio),1,2017
HUN,Hungary,169806,Youth unemployment rate (female to male ratio),1,2017
HUN,Hungary,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",46.8,2017
HUN,Hungary,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),72.15751648,2017
HUN,Hungary,178306,Gross capital formation (% of GDP),22.54366504,2017
HUN,Hungary,179406,Skilled labour force (% of labour force),87.2,2017
HUN,Hungary,181606,Red List Index (value),0.92871,2017
HUN,Hungary,23806,Population with at least some secondary education (% ages 25 and older),96.76661,2016
HUN,Hungary,23906,"Population with at least some secondary education, female (% ages 25 and older)",95.72996,2016
HUN,Hungary,24006,"Population with at least some secondary education, male (% ages 25 and older)",97.96878,2016
HUN,Hungary,24106,"Mean years of schooling, female (years)",11.6811,2016
HUN,Hungary,24206,"Mean years of schooling, male (years)",12.1303,2016
HUN,Hungary,31706,Share of seats in parliament (% held by women),10.1010101,2016
HUN,Hungary,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",19.678,2016
HUN,Hungary,43006,Vulnerable employment (% of total employment),5.8,2016
HUN,Hungary,43606,"Internet users, total (% of population)",79.25940132,2016
HUN,Hungary,44206,Total population (millions),9.753281,2016
HUN,Hungary,45106,Urban population (%),70.8,2016
HUN,Hungary,46006,Mobile phone subscriptions (per 100 people),120.779,2016
HUN,Hungary,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",10.76744,2016
HUN,Hungary,48706,"Labour force participation rate (% ages 15 and older), female",48,2016
HUN,Hungary,48806,"Labour force participation rate (% ages 15 and older), male",64.6,2016
HUN,Hungary,49006,Sex ratio at birth (male to female births),1.06,2016
HUN,Hungary,52606,"Remittances, inflows (% of GDP)",3.70361,2016
HUN,Hungary,53506,"Foreign direct investment, net inflows (% of GDP)",55.4899,2016
HUN,Hungary,57206,"Mortality rate, infant (per 1,000 live births)",4.4,2016
HUN,Hungary,57506,"Mortality rate, under-five (per 1,000 live births)",5.2,2016
