#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
ITA,Italy,21806,Refugees by country of origin (thousands),0.053,2017
ITA,Italy,23806,Population with at least some secondary education (% ages 25 and older),79.5546301,2017
ITA,Italy,23906,"Population with at least some secondary education, female (% ages 25 and older)",75.62564208,2017
ITA,Italy,24006,"Population with at least some secondary education, male (% ages 25 and older)",82.96918,2017
ITA,Italy,24106,"Mean years of schooling, female (years)",9.9622,2017
ITA,Italy,24206,"Mean years of schooling, male (years)",10.3778,2017
ITA,Italy,31706,Share of seats in parliament (% held by women),30.10526316,2017
ITA,Italy,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",6.1,2017
ITA,Italy,43006,Vulnerable employment (% of total employment),17.7,2017
ITA,Italy,44206,Total population (millions),59.3599,2017
ITA,Italy,45106,Urban population (%),70.1,2017
ITA,Italy,48706,"Labour force participation rate (% ages 15 and older), female",39.5,2017
ITA,Italy,48806,"Labour force participation rate (% ages 15 and older), male",58.3,2017
ITA,Italy,49006,Sex ratio at birth (male to female births),1.06,2017
ITA,Italy,52606,"Remittances, inflows (% of GDP)",0.50699,2017
ITA,Italy,53506,"Foreign direct investment, net inflows (% of GDP)",1.02533,2017
ITA,Italy,63106,Population ages 15–64 (millions),37.671,2017
ITA,Italy,64306,"Infants lacking immunization, measles (% of one-year-olds)",8,2017
ITA,Italy,64406,"Infants lacking immunization, DPT (% of one-year-olds)",2,2017
ITA,Italy,65606,Gross fixed capital formation (% of GDP),17.5082838,2017
ITA,Italy,68606,Gender Inequality Index (GII),0.086729797,2017
ITA,Italy,69206,Life expectancy at birth (years),83.169,2017
ITA,Italy,69706,Expected years of schooling (years),16.27219,2017
ITA,Italy,71406,Inequality-adjusted education index,0.708000472,2017
ITA,Italy,71506,Inequality-adjusted life expectancy index,0.943647677,2017
ITA,Italy,71606,Inequality-adjusted income index,0.687135489,2017
ITA,Italy,73506,Overall loss in HDI due to inequality (%),12.31478067,2017
ITA,Italy,101606,Inequality in education (%),10.45736,2017
ITA,Italy,101706,Inequality in income (%),22.45924,2017
ITA,Italy,101806,Inequality in life expectancy (%),2.9,2017
ITA,Italy,103006,Mean years of schooling (years),10.1604,2017
ITA,Italy,103206,Life expectancy index,0.971830769,2017
ITA,Italy,103606,Income index,0.886160374,2017
ITA,Italy,103706,Education index,0.790685278,2017
ITA,Italy,110906,"Unemployment, youth (% ages 15–24)",36.9,2017
ITA,Italy,111306,Private capital flows (% of GDP),5.018706,2017
ITA,Italy,120606,"Life expectancy at birth, female (years)",85.293,2017
ITA,Italy,121106,"Life expectancy at birth, male (years)",80.932,2017
ITA,Italy,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),21.3,2017
ITA,Italy,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),36.276,2017
ITA,Italy,123306,"Expected years of schooling, female (years)",16.615,2017
ITA,Italy,123406,"Expected years of schooling, male (years)",15.9445,2017
ITA,Italy,123506,"Estimated gross national income per capita, female (2011 PPP $)",25767.09606,2017
ITA,Italy,123606,"Estimated gross national income per capita, male (2011 PPP $)",45326.1714,2017
ITA,Italy,127606,Domestic credit provided by financial sector (% of GDP),166.1639782,2017
ITA,Italy,132706,Population ages 65 and older (millions),13.665387,2017
ITA,Italy,132806,Population under age 5 (millions),2.447617,2017
ITA,Italy,133206,Exports and imports (% of GDP),59.5146,2017
ITA,Italy,135006,Coefficient of human inequality,11.93886667,2017
ITA,Italy,136706,GDP per capita (2011 PPP $),35220.08379,2017
ITA,Italy,136906,"Human Development Index (HDI), female",0.863085886,2017
ITA,Italy,137006,"Human Development Index (HDI), male",0.892631207,2017
ITA,Italy,137506,Human Development Index (HDI),0.879769445,2017
ITA,Italy,137906,Gender Development Index (GDI),0.966900865,2017
ITA,Italy,138806,Inequality-adjusted HDI (IHDI),0.771427768,2017
ITA,Italy,140606,"Unemployment, total (% of labour force)",11.3,2017
ITA,Italy,141706,Gross national income (GNI) per capita (2011 PPP $),35299.24086,2017
ITA,Italy,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",2132.625945,2017
ITA,Italy,146206,HDI rank,28,2017
ITA,Italy,148206,Labour force participation rate (% ages 15 and older),48.6,2017
ITA,Italy,148306,Employment to population ratio (% ages 15 and older),43.1,2017
ITA,Italy,150606,Employment in agriculture (% of total employment),3.9,2017
ITA,Italy,150706,Employment in services (% of total employment),69.8,2017
ITA,Italy,169706,Total unemployment rate (female to male ratio),1.19047619,2017
ITA,Italy,169806,Youth unemployment rate (female to male ratio),1.042372881,2017
ITA,Italy,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",42.1,2017
ITA,Italy,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),91.62443542,2017
ITA,Italy,178306,Gross capital formation (% of GDP),17.24967758,2017
ITA,Italy,179406,Skilled labour force (% of labour force),67.5,2017
ITA,Italy,181606,Red List Index (value),0.91668,2017
ITA,Italy,23806,Population with at least some secondary education (% ages 25 and older),79.00645005,2016
ITA,Italy,23906,"Population with at least some secondary education, female (% ages 25 and older)",74.98488604,2016
ITA,Italy,24006,"Population with at least some secondary education, male (% ages 25 and older)",82.96918,2016
ITA,Italy,24106,"Mean years of schooling, female (years)",9.9622,2016
ITA,Italy,24206,"Mean years of schooling, male (years)",10.3778,2016
ITA,Italy,31706,Share of seats in parliament (% held by women),30.07360673,2016
ITA,Italy,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",6.1,2016
ITA,Italy,43006,Vulnerable employment (% of total employment),17.5,2016
ITA,Italy,43606,"Internet users, total (% of population)",61.32425277,2016
ITA,Italy,44206,Total population (millions),59.429938,2016
ITA,Italy,45106,Urban population (%),69.9,2016
ITA,Italy,46006,Mobile phone subscriptions (per 100 people),152.999,2016
ITA,Italy,48706,"Labour force participation rate (% ages 15 and older), female",39.6,2016
ITA,Italy,48806,"Labour force participation rate (% ages 15 and older), male",58.7,2016
ITA,Italy,49006,Sex ratio at birth (male to female births),1.06,2016
ITA,Italy,52606,"Remittances, inflows (% of GDP)",0.511688,2016
ITA,Italy,53506,"Foreign direct investment, net inflows (% of GDP)",1.05604,2016
ITA,Italy,57206,"Mortality rate, infant (per 1,000 live births)",2.8,2016
ITA,Italy,57506,"Mortality rate, under-five (per 1,000 live births)",3.3,2016
ITA,Italy,58006,"HIV prevalence, adult (% ages 15-49)",0.3,2016
ITA,Italy,61006,"Homicide rate (per 100,000 people)",0.6731,2016
ITA,Italy,63106,Population ages 15–64 (millions),37.8465,2016
ITA,Italy,64306,"Infants lacking immunization, measles (% of one-year-olds)",11,2016
ITA,Italy,64406,"Infants lacking immunization, DPT (% of one-year-olds)",2,2016
ITA,Italy,65606,Gross fixed capital formation (% of GDP),17.1378224,2016
ITA,Italy,68606,Gender Inequality Index (GII),0.08743778,2016
ITA,Italy,69206,Life expectancy at birth (years),82.99,2016
ITA,Italy,69706,Expected years of schooling (years),16.27219,2016
ITA,Italy,71406,Inequality-adjusted education index,0.699756471,2016
ITA,Italy,71506,Inequality-adjusted life expectancy index,0.940789568,2016
ITA,Italy,71606,Inequality-adjusted income index,0.685241866,2016
ITA,Italy,73506,Overall loss in HDI due to inequality (%),12.66214496,2016
ITA,Italy,101606,Inequality in education (%),11.5,2016
ITA,Italy,101706,Inequality in income (%),22.45924,2016
ITA,Italy,101806,Inequality in life expectancy (%),2.919,2016
ITA,Italy,103006,Mean years of schooling (years),10.1604,2016
ITA,Italy,103206,Life expectancy index,0.969076923,2016
ITA,Italy,103606,Income index,0.883718274,2016
ITA,Italy,103706,Education index,0.790685278,2016
ITA,Italy,110906,"Unemployment, youth (% ages 15–24)",37.9,2016
ITA,Italy,111106,International inbound tourists (thousands),52372,2016
ITA,Italy,111306,Private capital flows (% of GDP),9.316566,2016
ITA,Italy,120606,"Life expectancy at birth, female (years)",85.151,2016
ITA,Italy,121106,"Life expectancy at birth, male (years)",80.707,2016
ITA,Italy,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),21.369,2016
ITA,Italy,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),35.66,2016
ITA,Italy,123306,"Expected years of schooling, female (years)",16.615,2016
ITA,Italy,123406,"Expected years of schooling, male (years)",15.9445,2016
ITA,Italy,123506,"Estimated gross national income per capita, female (2011 PPP $)",25305.01417,2016
ITA,Italy,123606,"Estimated gross national income per capita, male (2011 PPP $)",44663.79152,2016
ITA,Italy,127606,Domestic credit provided by financial sector (% of GDP),170.6438765,2016
ITA,Italy,132706,Population ages 65 and older (millions),13.49613,2016
ITA,Italy,132806,Population under age 5 (millions),2.48163,2016
ITA,Italy,133206,Exports and imports (% of GDP),56.351,2016
ITA,Italy,135006,Coefficient of human inequality,12.29274667,2016
ITA,Italy,136706,GDP per capita (2011 PPP $),34655.26276,2016
ITA,Italy,136906,"Human Development Index (HDI), female",0.861496743,2016
ITA,Italy,137006,"Human Development Index (HDI), male",0.890858665,2016
ITA,Italy,137506,Human Development Index (HDI),0.878129526,2016
ITA,Italy,137906,Gender Development Index (GDI),0.967040875,2016
ITA,Italy,138806,Inequality-adjusted HDI (IHDI),0.766939492,2016
ITA,Italy,140606,"Unemployment, total (% of labour force)",11.7,2016
ITA,Italy,141706,Gross national income (GNI) per capita (2011 PPP $),34733.1504,2016
ITA,Italy,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",2101.061874,2016
ITA,Italy,146206,HDI rank,28,2016
ITA,Italy,147906,Youth not in school or employment (% ages 15-24),19.8,2016
ITA,Italy,148206,Labour force participation rate (% ages 15 and older),48.9,2016
ITA,Italy,148306,Employment to population ratio (% ages 15 and older),43.1,2016
ITA,Italy,150606,Employment in agriculture (% of total employment),3.9,2016
ITA,Italy,150706,Employment in services (% of total employment),70,2016
ITA,Italy,164406,Adjusted net savings (% of GNI),5.115763213,2016
ITA,Italy,169706,Total unemployment rate (female to male ratio),1.174311927,2016
ITA,Italy,169806,Youth unemployment rate (female to male ratio),1.035519126,2016
ITA,Italy,170006,Concentration index (exports) (value),0.051959679,2016
ITA,Italy,174506,"Mortality rate attributed to household and ambient air pollution (per 100,000 population)",15,2016
ITA,Italy,174606,"Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)",0.1,2016
ITA,Italy,175006,Female share of employment in senior and middle management (%),22,2016
ITA,Italy,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",42.04,2016
ITA,Italy,178306,Gross capital formation (% of GDP),17.09497753,2016
ITA,Italy,179406,Skilled labour force (% of labour force),67,2016
ITA,Italy,181706,Rural population with access to electricity (%),100,2016
ITA,Italy,182206,"Tuberculosis incidence (per 100,000 people)",6.1,2016
ITA,Italy,23806,Population with at least some secondary education (% ages 25 and older),78.45827,2015
ITA,Italy,23906,"Population with at least some secondary education, female (% ages 25 and older)",74.34413,2015
ITA,Italy,24006,"Population with at least some secondary education, male (% ages 25 and older)",82.96918,2015
ITA,Italy,24106,"Mean years of schooling, female (years)",9.9622,2015
ITA,Italy,24206,"Mean years of schooling, male (years)",10.3778,2015
ITA,Italy,31706,Share of seats in parliament (% held by women),30.07360673,2015
ITA,Italy,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",6.2405,2015
ITA,Italy,43006,Vulnerable employment (% of total employment),17.8,2015
ITA,Italy,43606,"Internet users, total (% of population)",58.14173496,2015
ITA,Italy,44206,Total population (millions),59.504212,2015
ITA,Italy,45106,Urban population (%),69.6,2015
ITA,Italy,46006,Mobile phone subscriptions (per 100 people),147.37,2015
ITA,Italy,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",12.02716,2015
ITA,Italy,47906,Median age (years),45.908,2015
ITA,Italy,48706,"Labour force participation rate (% ages 15 and older), female",39,2015
ITA,Italy,48806,"Labour force participation rate (% ages 15 and older), male",58.4,2015
ITA,Italy,49006,Sex ratio at birth (male to female births),1.06,2015
