#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
JPN,Japan,21806,Refugees by country of origin (thousands),0.05,2017
JPN,Japan,23806,Population with at least some secondary education (% ages 25 and older),93.32,2017
JPN,Japan,23906,"Population with at least some secondary education, female (% ages 25 and older)",94.84,2017
JPN,Japan,24006,"Population with at least some secondary education, male (% ages 25 and older)",91.88,2017
JPN,Japan,24106,"Mean years of schooling, female (years)",12.87,2017
JPN,Japan,24206,"Mean years of schooling, male (years)",12.53,2017
JPN,Japan,31706,Share of seats in parliament (% held by women),13.71994342,2017
JPN,Japan,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",4.078,2017
JPN,Japan,43006,Vulnerable employment (% of total employment),8.8,2017
JPN,Japan,44206,Total population (millions),127.48445,2017
JPN,Japan,45106,Urban population (%),91.5,2017
JPN,Japan,48706,"Labour force participation rate (% ages 15 and older), female",50.5,2017
JPN,Japan,48806,"Labour force participation rate (% ages 15 and older), male",70.6,2017
JPN,Japan,49006,Sex ratio at birth (male to female births),1.06,2017
JPN,Japan,52606,"Remittances, inflows (% of GDP)",0.091123,2017
JPN,Japan,53506,"Foreign direct investment, net inflows (% of GDP)",0.386638,2017
JPN,Japan,63106,Population ages 15–64 (millions),76.573,2017
JPN,Japan,64306,"Infants lacking immunization, measles (% of one-year-olds)",4,2017
JPN,Japan,64406,"Infants lacking immunization, DPT (% of one-year-olds)",1,2017
JPN,Japan,68606,Gender Inequality Index (GII),0.103449906,2017
JPN,Japan,69206,Life expectancy at birth (years),83.908,2017
JPN,Japan,69706,Expected years of schooling (years),15.23277,2017
JPN,Japan,71406,Inequality-adjusted education index,0.834845745,2017
JPN,Japan,71506,Inequality-adjusted life expectancy index,0.9546872,2017
JPN,Japan,71606,Inequality-adjusted income index,0.844415226,2017
JPN,Japan,73506,Overall loss in HDI due to inequality (%),3.608772905,2017
JPN,Japan,101606,Inequality in education (%),1.56658952,2017
JPN,Japan,101706,Inequality in income (%),6.297589223,2017
JPN,Japan,101806,Inequality in life expectancy (%),2.9,2017
JPN,Japan,103006,Mean years of schooling (years),12.75,2017
JPN,Japan,103206,Life expectancy index,0.9832,2017
JPN,Japan,103606,Income index,0.901167023,2017
JPN,Japan,103706,Education index,0.8481325,2017
JPN,Japan,110906,"Unemployment, youth (% ages 15–24)",4.6,2017
JPN,Japan,111306,Private capital flows (% of GDP),2.004913,2017
JPN,Japan,120606,"Life expectancy at birth, female (years)",87.092,2017
JPN,Japan,121106,"Life expectancy at birth, male (years)",80.659,2017
JPN,Japan,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),21.455,2017
JPN,Japan,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),45.032,2017
JPN,Japan,123306,"Expected years of schooling, female (years)",15.1677,2017
JPN,Japan,123406,"Expected years of schooling, male (years)",15.2946,2017
JPN,Japan,123506,"Estimated gross national income per capita, female (2011 PPP $)",27208.62279,2017
JPN,Japan,123606,"Estimated gross national income per capita, male (2011 PPP $)",51325.90484,2017
JPN,Japan,132706,Population ages 65 and older (millions),34.48273,2017
JPN,Japan,132806,Population under age 5 (millions),5.293177,2017
JPN,Japan,135006,Coefficient of human inequality,3.588059581,2017
JPN,Japan,136706,GDP per capita (2011 PPP $),39002.22332,2017
JPN,Japan,136906,"Human Development Index (HDI), female",0.894437396,2017
JPN,Japan,137006,"Human Development Index (HDI), male",0.917259403,2017
JPN,Japan,137506,Human Development Index (HDI),0.909152957,2017
JPN,Japan,137906,Gender Development Index (GDI),0.975119353,2017
JPN,Japan,138806,Inequality-adjusted HDI (IHDI),0.876343691,2017
JPN,Japan,140606,"Unemployment, total (% of labour force)",2.8,2017
JPN,Japan,141706,Gross national income (GNI) per capita (2011 PPP $),38986.15453,2017
JPN,Japan,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",4944.927969,2017
JPN,Japan,146206,HDI rank,19,2017
JPN,Japan,148206,Labour force participation rate (% ages 15 and older),60.2,2017
JPN,Japan,148306,Employment to population ratio (% ages 15 and older),58.5,2017
JPN,Japan,150606,Employment in agriculture (% of total employment),3.5,2017
JPN,Japan,150706,Employment in services (% of total employment),70.9,2017
JPN,Japan,169706,Total unemployment rate (female to male ratio),0.866666667,2017
JPN,Japan,169806,Youth unemployment rate (female to male ratio),0.901960784,2017
JPN,Japan,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",43.54,2017
JPN,Japan,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),98.06467438,2017
JPN,Japan,181606,Red List Index (value),0.78511,2017
JPN,Japan,23806,Population with at least some secondary education (% ages 25 and older),93,2016
JPN,Japan,23906,"Population with at least some secondary education, female (% ages 25 and older)",94.5,2016
JPN,Japan,24006,"Population with at least some secondary education, male (% ages 25 and older)",91.6,2016
JPN,Japan,24106,"Mean years of schooling, female (years)",12.87,2016
JPN,Japan,24206,"Mean years of schooling, male (years)",12.53,2016
JPN,Japan,31706,Share of seats in parliament (% held by women),13.24965132,2016
JPN,Japan,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",4.078,2016
JPN,Japan,43006,Vulnerable employment (% of total employment),8.6,2016
JPN,Japan,43606,"Internet users, total (% of population)",93.18272128,2016
JPN,Japan,44206,Total population (millions),127.748513,2016
JPN,Japan,45106,Urban population (%),91.5,2016
JPN,Japan,46006,Mobile phone subscriptions (per 100 people),130.61,2016
JPN,Japan,48706,"Labour force participation rate (% ages 15 and older), female",50.6,2016
JPN,Japan,48806,"Labour force participation rate (% ages 15 and older), male",70.9,2016
JPN,Japan,49006,Sex ratio at birth (male to female births),1.06,2016
JPN,Japan,52606,"Remittances, inflows (% of GDP)",0.077394,2016
JPN,Japan,53506,"Foreign direct investment, net inflows (% of GDP)",0.794528,2016
JPN,Japan,57206,"Mortality rate, infant (per 1,000 live births)",2,2016
JPN,Japan,57506,"Mortality rate, under-five (per 1,000 live births)",2.7,2016
JPN,Japan,61006,"Homicide rate (per 100,000 people)",0.2835,2016
JPN,Japan,63106,Population ages 15–64 (millions),77.2875,2016
JPN,Japan,64306,"Infants lacking immunization, measles (% of one-year-olds)",4,2016
JPN,Japan,64406,"Infants lacking immunization, DPT (% of one-year-olds)",1,2016
JPN,Japan,65606,Gross fixed capital formation (% of GDP),23.54719825,2016
JPN,Japan,68606,Gender Inequality Index (GII),0.105873891,2016
JPN,Japan,69206,Life expectancy at birth (years),83.764,2016
JPN,Japan,69706,Expected years of schooling (years),15.23277,2016
JPN,Japan,71406,Inequality-adjusted education index,0.678755558,2016
JPN,Japan,71506,Inequality-adjusted life expectancy index,0.952182907,2016
JPN,Japan,71606,Inequality-adjusted income index,0.777435128,2016
JPN,Japan,73506,Overall loss in HDI due to inequality (%),12.34170609,2016
JPN,Japan,101606,Inequality in education (%),19.813,2016
JPN,Japan,101706,Inequality in income (%),13.46,2016
JPN,Japan,101806,Inequality in life expectancy (%),2.936,2016
JPN,Japan,103006,Mean years of schooling (years),12.7,2016
