#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
KAZ,Kazakhstan,21806,Refugees by country of origin (thousands),2.412,2017
KAZ,Kazakhstan,23806,Population with at least some secondary education (% ages 25 and older),98.78,2017
KAZ,Kazakhstan,23906,"Population with at least some secondary education, female (% ages 25 and older)",98.54,2017
KAZ,Kazakhstan,24006,"Population with at least some secondary education, male (% ages 25 and older)",99.1,2017
KAZ,Kazakhstan,24106,"Mean years of schooling, female (years)",11.82,2017
KAZ,Kazakhstan,24206,"Mean years of schooling, male (years)",11.65,2017
KAZ,Kazakhstan,31706,Share of seats in parliament (% held by women),22.07792208,2017
KAZ,Kazakhstan,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",27.498,2017
KAZ,Kazakhstan,43006,Vulnerable employment (% of total employment),25.6,2017
KAZ,Kazakhstan,44206,Total population (millions),18.204499,2017
KAZ,Kazakhstan,45106,Urban population (%),57.3,2017
KAZ,Kazakhstan,45806,Primary school teachers trained to teach (%),100,2017
KAZ,Kazakhstan,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",20.75555,2017
KAZ,Kazakhstan,48706,"Labour force participation rate (% ages 15 and older), female",65.4,2017
KAZ,Kazakhstan,48806,"Labour force participation rate (% ages 15 and older), male",77.3,2017
KAZ,Kazakhstan,49006,Sex ratio at birth (male to female births),1.06,2017
KAZ,Kazakhstan,52606,"Remittances, inflows (% of GDP)",0.222701,2017
KAZ,Kazakhstan,53506,"Foreign direct investment, net inflows (% of GDP)",2.84952,2017
KAZ,Kazakhstan,63106,Population ages 15–64 (millions),11.848,2017
KAZ,Kazakhstan,63206,"Gross enrolment ratio, primary (% of primary school-age population)",107.91241,2017
KAZ,Kazakhstan,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",113.07314,2017
KAZ,Kazakhstan,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",49.56916,2017
KAZ,Kazakhstan,64306,"Infants lacking immunization, measles (% of one-year-olds)",1,2017
KAZ,Kazakhstan,64406,"Infants lacking immunization, DPT (% of one-year-olds)",1,2017
