#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
NLD,Netherlands,21806,Refugees by country of origin (thousands),0.045,2017
NLD,Netherlands,23806,Population with at least some secondary education (% ages 25 and older),88.33686,2017
NLD,Netherlands,23906,"Population with at least some secondary education, female (% ages 25 and older)",86.37798,2017
NLD,Netherlands,24006,"Population with at least some secondary education, male (% ages 25 and older)",90.37665,2017
NLD,Netherlands,24106,"Mean years of schooling, female (years)",11.9054,2017
NLD,Netherlands,24206,"Mean years of schooling, male (years)",12.4861,2017
NLD,Netherlands,31706,Share of seats in parliament (% held by women),35.55555556,2017
NLD,Netherlands,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",3.993,2017
NLD,Netherlands,43006,Vulnerable employment (% of total employment),12.7,2017
NLD,Netherlands,44206,Total population (millions),17.035938,2017
NLD,Netherlands,45106,Urban population (%),91.1,2017
NLD,Netherlands,48706,"Labour force participation rate (% ages 15 and older), female",58,2017
NLD,Netherlands,48806,"Labour force participation rate (% ages 15 and older), male",69.2,2017
NLD,Netherlands,49006,Sex ratio at birth (male to female births),1.05,2017
NLD,Netherlands,52606,"Remittances, inflows (% of GDP)",0.175958,2017
NLD,Netherlands,53506,"Foreign direct investment, net inflows (% of GDP)",38.1193,2017
NLD,Netherlands,63106,Population ages 15–64 (millions),11.041,2017
NLD,Netherlands,64306,"Infants lacking immunization, measles (% of one-year-olds)",7,2017
NLD,Netherlands,64406,"Infants lacking immunization, DPT (% of one-year-olds)",2,2017
NLD,Netherlands,65606,Gross fixed capital formation (% of GDP),20.30312289,2017
NLD,Netherlands,68606,Gender Inequality Index (GII),0.043647527,2017
NLD,Netherlands,69206,Life expectancy at birth (years),82.005,2017
NLD,Netherlands,69706,Expected years of schooling (years),18.04483,2017
NLD,Netherlands,71406,Inequality-adjusted education index,0.858248315,2017
NLD,Netherlands,71506,Inequality-adjusted life expectancy index,0.925305385,2017
NLD,Netherlands,71606,Inequality-adjusted income index,0.792224677,2017
NLD,Netherlands,73506,Overall loss in HDI due to inequality (%),7.926550666,2017
NLD,Netherlands,101606,Inequality in education (%),5.30548,2017
NLD,Netherlands,101706,Inequality in income (%),15.02197,2017
NLD,Netherlands,101806,Inequality in life expectancy (%),3,2017
NLD,Netherlands,103006,Mean years of schooling (years),12.19001,2017
NLD,Netherlands,103206,Life expectancy index,0.953923077,2017
NLD,Netherlands,103606,Income index,0.932269996,2017
