#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
NZL,New Zealand,21806,Refugees by country of origin (thousands),0.038,2017
NZL,New Zealand,23806,Population with at least some secondary education (% ages 25 and older),98.91427,2017
NZL,New Zealand,23906,"Population with at least some secondary education, female (% ages 25 and older)",98.97771,2017
NZL,New Zealand,24006,"Population with at least some secondary education, male (% ages 25 and older)",98.8453,2017
NZL,New Zealand,24106,"Mean years of schooling, female (years)",12.6521,2017
NZL,New Zealand,24206,"Mean years of schooling, male (years)",12.46,2017
NZL,New Zealand,31706,Share of seats in parliament (% held by women),38.33333333,2017
NZL,New Zealand,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",20.022,2017
NZL,New Zealand,43006,Vulnerable employment (% of total employment),12.2,2017
NZL,New Zealand,44206,Total population (millions),4.705818,2017
NZL,New Zealand,45106,Urban population (%),86.5,2017
NZL,New Zealand,48706,"Labour force participation rate (% ages 15 and older), female",63.9,2017
NZL,New Zealand,48806,"Labour force participation rate (% ages 15 and older), male",74.9,2017
NZL,New Zealand,49006,Sex ratio at birth (male to female births),1.06,2017
NZL,New Zealand,52606,"Remittances, inflows (% of GDP)",0.225736,2017
NZL,New Zealand,53506,"Foreign direct investment, net inflows (% of GDP)",1.62576,2017
NZL,New Zealand,63106,Population ages 15–64 (millions),3.055,2017
NZL,New Zealand,64306,"Infants lacking immunization, measles (% of one-year-olds)",7,2017
NZL,New Zealand,64406,"Infants lacking immunization, DPT (% of one-year-olds)",5,2017
NZL,New Zealand,68606,Gender Inequality Index (GII),0.13574837,2017
NZL,New Zealand,69206,Life expectancy at birth (years),82.038,2017
NZL,New Zealand,69706,Expected years of schooling (years),18.86506,2017
NZL,New Zealand,71406,Inequality-adjusted education index,0.900824858,2017
NZL,New Zealand,71506,Inequality-adjusted life expectancy index,0.913390246,2017
NZL,New Zealand,71606,Inequality-adjusted income index,0.735547032,2017
NZL,New Zealand,73506,Overall loss in HDI due to inequality (%),7.725644095,2017
NZL,New Zealand,101606,Inequality in education (%),1.738916677,2017
NZL,New Zealand,101706,Inequality in income (%),16.44939836,2017
NZL,New Zealand,101806,Inequality in life expectancy (%),4.3,2017
NZL,New Zealand,103006,Mean years of schooling (years),12.503,2017
NZL,New Zealand,103206,Life expectancy index,0.954430769,2017
NZL,New Zealand,103606,Income index,0.880361144,2017
NZL,New Zealand,103706,Education index,0.916766667,2017
NZL,New Zealand,110906,"Unemployment, youth (% ages 15–24)",12.8,2017
NZL,New Zealand,111306,Private capital flows (% of GDP),0.0115917,2017
NZL,New Zealand,120606,"Life expectancy at birth, female (years)",83.678,2017
NZL,New Zealand,121106,"Life expectancy at birth, male (years)",80.369,2017
NZL,New Zealand,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),30.45,2017
NZL,New Zealand,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),23.604,2017
NZL,New Zealand,123306,"Expected years of schooling, female (years)",19.7312,2017
NZL,New Zealand,123406,"Expected years of schooling, male (years)",17.9815,2017
NZL,New Zealand,123506,"Estimated gross national income per capita, female (2011 PPP $)",25872.49104,2017
NZL,New Zealand,123606,"Estimated gross national income per capita, male (2011 PPP $)",42339.126,2017
NZL,New Zealand,132706,Population ages 65 and older (millions),0.721012,2017
NZL,New Zealand,132806,Population under age 5 (millions),0.303991,2017
NZL,New Zealand,135006,Coefficient of human inequality,7.496105012,2017
NZL,New Zealand,136706,GDP per capita (2011 PPP $),36085.84278,2017
NZL,New Zealand,136906,"Human Development Index (HDI), female",0.899614878,2017
NZL,New Zealand,137006,"Human Development Index (HDI), male",0.931557414,2017
NZL,New Zealand,137506,Human Development Index (HDI),0.916687629,2017
NZL,New Zealand,137906,Gender Development Index (GDI),0.96571061,2017
NZL,New Zealand,138806,Inequality-adjusted HDI (IHDI),0.845867606,2017
NZL,New Zealand,140606,"Unemployment, total (% of labour force)",4.9,2017
NZL,New Zealand,141706,Gross national income (GNI) per capita (2011 PPP $),33969.73999,2017
NZL,New Zealand,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",172.9919217,2017
NZL,New Zealand,146206,HDI rank,16,2017
NZL,New Zealand,147906,Youth not in school or employment (% ages 15-24),11.75,2017
NZL,New Zealand,148206,Labour force participation rate (% ages 15 and older),69.2,2017
NZL,New Zealand,148306,Employment to population ratio (% ages 15 and older),65.8,2017
NZL,New Zealand,150606,Employment in agriculture (% of total employment),6.6,2017
NZL,New Zealand,150706,Employment in services (% of total employment),73.1,2017
NZL,New Zealand,169706,Total unemployment rate (female to male ratio),1.177777778,2017
NZL,New Zealand,169806,Youth unemployment rate (female to male ratio),1.015873016,2017
NZL,New Zealand,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",48.26,2017
NZL,New Zealand,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),99.34078217,2017
NZL,New Zealand,181606,Red List Index (value),0.63438,2017
NZL,New Zealand,23806,Population with at least some secondary education (% ages 25 and older),98.91427,2016
NZL,New Zealand,23906,"Population with at least some secondary education, female (% ages 25 and older)",98.97771,2016
NZL,New Zealand,24006,"Population with at least some secondary education, male (% ages 25 and older)",98.8453,2016
