#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
NOR,Norway,21806,Refugees by country of origin (thousands),0.011,2017
NOR,Norway,23806,Population with at least some secondary education (% ages 25 and older),95.70887,2017
NOR,Norway,23906,"Population with at least some secondary education, female (% ages 25 and older)",96.29866,2017
NOR,Norway,24006,"Population with at least some secondary education, male (% ages 25 and older)",95.11297,2017
NOR,Norway,24106,"Mean years of schooling, female (years)",12.609,2017
NOR,Norway,24206,"Mean years of schooling, male (years)",12.5236,2017
NOR,Norway,31706,Share of seats in parliament (% held by women),41.42011834,2017
NOR,Norway,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",5.592,2017
NOR,Norway,43006,Vulnerable employment (% of total employment),5.2,2017
NOR,Norway,44206,Total population (millions),5.305383,2017
NOR,Norway,45106,Urban population (%),81.9,2017
NOR,Norway,48706,"Labour force participation rate (% ages 15 and older), female",60.8,2017
NOR,Norway,48806,"Labour force participation rate (% ages 15 and older), male",67.6,2017
NOR,Norway,49006,Sex ratio at birth (male to female births),1.06,2017
NOR,Norway,52606,"Remittances, inflows (% of GDP)",0.154696,2017
NOR,Norway,53506,"Foreign direct investment, net inflows (% of GDP)",-1.23585,2017
NOR,Norway,63106,Population ages 15–64 (millions),3.47,2017
NOR,Norway,64306,"Infants lacking immunization, measles (% of one-year-olds)",4,2017
NOR,Norway,64406,"Infants lacking immunization, DPT (% of one-year-olds)",1,2017
NOR,Norway,65606,Gross fixed capital formation (% of GDP),24.07380407,2017
NOR,Norway,68606,Gender Inequality Index (GII),0.048138788,2017
NOR,Norway,69206,Life expectancy at birth (years),82.328,2017
NOR,Norway,69706,Expected years of schooling (years),17.85206,2017
NOR,Norway,71406,Inequality-adjusted education index,0.859283113,2017
NOR,Norway,71506,Inequality-adjusted life expectancy index,0.933002215,2017
NOR,Norway,71606,Inequality-adjusted income index,0.838787995,2017
NOR,Norway,73506,Overall loss in HDI due to inequality (%),8.022409462,2017
NOR,Norway,101606,Inequality in education (%),6.06716,2017
NOR,Norway,101706,Inequality in income (%),14.8635,2017
NOR,Norway,101806,Inequality in life expectancy (%),2.7,2017
NOR,Norway,103006,Mean years of schooling (years),12.56682,2017
NOR,Norway,103206,Life expectancy index,0.958892308,2017
NOR,Norway,103606,Income index,0.985227247,2017
NOR,Norway,103706,Education index,0.914784556,2017
NOR,Norway,110906,"Unemployment, youth (% ages 15–24)",10,2017
NOR,Norway,111306,Private capital flows (% of GDP),6.534099,2017
NOR,Norway,120606,"Life expectancy at birth, female (years)",84.214,2017
NOR,Norway,121106,"Life expectancy at birth, male (years)",80.453,2017
NOR,Norway,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),27.175,2017
NOR,Norway,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),25.719,2017
NOR,Norway,123306,"Expected years of schooling, female (years)",18.5531,2017
NOR,Norway,123406,"Expected years of schooling, male (years)",17.1909,2017
NOR,Norway,123506,"Estimated gross national income per capita, female (2011 PPP $)",60153.04572,2017
NOR,Norway,123606,"Estimated gross national income per capita, male (2011 PPP $)",75730.60708,2017
NOR,Norway,132706,Population ages 65 and older (millions),0.892444,2017
NOR,Norway,132806,Population under age 5 (millions),0.30875,2017
NOR,Norway,133206,Exports and imports (% of GDP),68.5243,2017
NOR,Norway,135006,Coefficient of human inequality,7.876886667,2017
NOR,Norway,136706,GDP per capita (2011 PPP $),64800.05733,2017
NOR,Norway,136906,"Human Development Index (HDI), female",0.94528004,2017
NOR,Norway,137006,"Human Development Index (HDI), male",0.953465973,2017
NOR,Norway,137506,Human Development Index (HDI),0.95252202,2017
NOR,Norway,137906,Gender Development Index (GDI),0.991414552,2017
NOR,Norway,138806,Inequality-adjusted HDI (IHDI),0.876106803,2017
NOR,Norway,140606,"Unemployment, total (% of labour force)",4.2,2017
NOR,Norway,141706,Gross national income (GNI) per capita (2011 PPP $),68012.49292,2017
NOR,Norway,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",342.2883532,2017
NOR,Norway,146206,HDI rank,1,2017
NOR,Norway,148206,Labour force participation rate (% ages 15 and older),64.2,2017
NOR,Norway,148306,Employment to population ratio (% ages 15 and older),61.5,2017
NOR,Norway,150606,Employment in agriculture (% of total employment),2.1,2017
NOR,Norway,150706,Employment in services (% of total employment),78.5,2017
NOR,Norway,169706,Total unemployment rate (female to male ratio),0.729166667,2017
NOR,Norway,169806,Youth unemployment rate (female to male ratio),0.862068966,2017
