"United States"
"Life expectancy at birth (years)","78.9"
"Adult mortality rate, female (per 1,000 people)","82"
"Adult mortality rate, male (per 1,000 people)","138"
" Age-standardized mortality rates attributed to noncommunicable diseases, female ","353.5"
" Age-standardized mortality rates attributed to noncommunicable diseases, male ","492.3"
"Child malnutrition, stunting (moderate or severe) (% under age 5)","3.5"
"Current health expenditure (% of GDP)","17.1"
"Life expectancy at birth, female (years)","81.4"
"Life expectancy at birth, male (years)","76.3"
"Life expectancy index","0.905"
"HIV prevalence, adult (% ages 15-49)","n.a."
"Mortality rate, infant (per 1,000 live births)","5.7"
"Infants lacking immunization, DPT (% of one-year-olds)","3"
"Infants lacking immunization, measles (% of one-year-olds)","8"
"Malaria incidence (per 1,000 people at risk)","n.a."
"Tuberculosis incidence (per 100,000 people)","3.1"
"Mortality rate, under-five (per 1,000 live births)","6.6"
"Expected years of schooling (years)","16.3"
"Education index","0.899"
"Expected years of schooling, female (years)","16.9"
"Expected years of schooling, male (years)","15.7"
"Government expenditure on education (% of GDP)","5.0"
"Gross enrolment ratio, pre-primary (% of preschool-age children)","72"
"Gross enrolment ratio, primary (% of primary school-age population)","101"
"Gross enrolment ratio, secondary (% of secondary school-age population)","99"
"Gross enrolment ratio, tertiary (% of tertiary school-age population)","89"
"Literacy rate, adult (% ages 15 and older)","n.a."
"Mean years of schooling (years)","13.4"
"Mean years of schooling, female (years)","13.5"
"Mean years of schooling, male (years)","13.4"
" Percentage of primary schools with access to the internet ","100"
" Percentage of secondary schools with access to the internet ","100"
"Population with at least some secondary education (% ages 25 and older)","95.6"
"Population with at least some secondary education, female (% ages 25 and older)","95.7"
"Population with at least some secondary education, male (% ages 25 and older)","95.5"
"Primary school dropout rate (% of primary school cohort)","n.a."
"Primary school teachers trained to teach (%)","n.a."
"Programme for International Student Assessment (PISA) score in mathematics","470"
"Programme for International Student Assessment (PISA) score in reading","497"
"Programme for International Student Assessment (PISA) score in science","496"
"Pupil-teacher ratio, primary school (number of pupils per teacher)","14"
"Survival rate to the last grade of lower secondary general education (%)","n.a."
"Gross national income (GNI) per capita (2011 PPP $)","56,140"
"Domestic credit provided by financial sector (% of GDP)","235.6"
"Gross domestic product (GDP) per capita (2011 PPP $)","55,681"
"Gross domestic product (GDP), total (2011 PPP $ billions)","18,217.0"
"Gross fixed capital formation (% of GDP)","20.5"
"Income index","0.956"
" Labour share of GDP, comprising wages and social protection transfers (%) ","56.5"
"Inequality-adjusted HDI (IHDI)","0.797"
"Coefficient of human inequality","12.8"
"Income inequality, Gini coefficient","41.5"
"Income inequality, Palma ratio","2.0"
"Income inequality, quintile ratio","9.4"
"Income share held by poorest 40% ","15.2"
" Income share held by richest 1% ","20.2"
" Income share held by richest 10 % ","30.6"
"Inequality in education (%)","5.5"
"Inequality in income (%)","26.6"
"Inequality in life expectancy (%)","6.3"
"Inequality-adjusted education index","0.849"
"Inequality-adjusted income index","0.702"
"Inequality-adjusted life expectancy index","0.848"
"Overall loss in HDI due to inequality (%)","13.4"
"Gender Development Index (GDI)","0.991"
"Adolescent birth rate (births per 1,000 women ages 15-19)","19.9"
"Antenatal care coverage, at least one visit (%)","n.a."
"Child marriage, women married by age 18 (% of women ages 20–24 years who are married or in union)"
"n.a."
"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","75.9"
"Estimated gross national income per capita, female (2011 PPP $)","44,462"
"Estimated gross national income per capita, male (2011 PPP $)","68,064"
"Female share of employment in senior and middle management (%)","40.5"
"Female shares of graduates in science, technology, engineering and mathematics programmes at tertiary level (%)","10.4"
"Gender Inequality Index (GII)","0.182"
"Human Development Index (HDI), female","0.915"
"Human Development Index (HDI), male","0.923"
"Mandatory paid maternity leave (days)","n.a."
"Maternal mortality ratio (deaths per 100,000 live births)","14"
" Prevalence of female genital mutilation/cutting among girls and women (% of girls and young women ages 15–49) ","n.a."
"Proportion of births attended by skilled health personnel (%)","99.1"
"Share of employment in nonagriculture, female (% of total employment in nonagriculture)","46.4"
" Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%) ","34.0"
" Share of graduates from STEM programmes in tertiary education who are male (%) ","66.0"
"Share of seats in parliament (% held by women)","23.6"
"Total unemployment rate (female to male ratio)","0.93"
"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)","9.0"
"Violence against women ever experienced, intimate partner (% of female population ages 15 and older)","n.a."
"Violence against women ever experienced, nonintimate partner (% of female population ages 15 and older)","n.a."
"Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older)","92.7"
"Youth unemployment rate (female to male ratio)","0.74"
"Population in multidimensional poverty, headcount (%)","n.a."
" Contribution of deprivation in education to the Multidimensional Poverty Index ","n.a."
" Contribution of deprivation in health to the Multidimensional Poverty Index ","n.a."
" Contribution of deprivation in standard of living to the Multidimensional Poverty Index ","n.a."
"Multidimensional Poverty Index (MPI)","n.a."
"Population in multidimensional poverty, headcount (thousands) (for the year of survey)","n.a."
"Population in multidimensional poverty, headcount (thousands) (projection for 2017)","n.a."
"Population in multidimensional poverty, intensity of deprivation (%)","n.a."
"Population in severe multidimensional poverty (%)","n.a."
"Population living below income poverty line, PPP $1.90 a day (%)","1.2"
" Population living below income poverty line, national poverty line (%) ","n.a."
"Population vulnerable to multidimensional poverty (%)","n.a."
"Working poor at PPP$3.10 a day (% of total employment)","n.a."
"Employment to population ratio (% ages 15 and older)","59.6"
"Child labour (% ages 5-17)","n.a."
"Employment in agriculture (% of total employment)","1.4"
"Employment in services (% of total employment)","79.1"
"Labour force participation rate (% ages 15 and older)","62.0"
"Labour force participation rate (% ages 15 and older), female","56.1"
"Labour force participation rate (% ages 15 and older), male","68.2"
"Old-age pension recipients (% of statutory pension age population)","88.2"
"Unemployment, total (% of labour force)","3.9"
" Proportion of informal employment in nonagricultural employment (% of total employment in non-agriculture) ","n.a."
"Unemployment, youth (% ages 15–24)","8.2"
"Vulnerable employment (% of total employment)","3.8"
"Youth not in school or employment (% ages 15-24)","13.7"
"Homicide rate (per 100,000 people)","5.3"
"Birth registration (% under age 5)","100"
"Homeless people due to natural disaster (average annual per million people)","51"
"Prison population (per 100,000 people)","671"
"Refugees by country of origin (thousands)","0.3"
"Suicide rate, female (per 100,000 people)","6.4"
"Suicide rate, male (per 100,000 people)","21.1"
"Exports and imports (% of GDP)","27.1"
"Foreign direct investment, net inflows (% of GDP)","1.3"
"Net official development assistance received (% of GNI)","n.a."
"Private capital flows (% of GDP)","-2.1"
"Remittances, inflows (% of GDP)","0.03"
"Internet users, total (% of population)","87.3"
"International inbound tourists (thousands)","76,941"
"International student mobility (% of total tertiary enrolment)","4.7"
"Internet users, female (% of female population)","n.a."
"Mobile phone subscriptions (per 100 people)","123.7"
"Net migration rate (per 1,000 people)","2.9"
" Carbon dioxide emissions, per capita (tonnes) ","15.0"
" Carbon dioxide emissions (kg per 2010 US$ of GDP) ","0.29"
"Forest area (% of total land area)","33.9"
" Degraded land (% of total land area) ","n.a."
"Forest area, change (%)","2.7"
"Fossil fuel energy consumption (% of total energy consumption)","82.4"
"Fresh water withdrawals (% of total renewable water resources)","14.5"
"Mortality rate attributed to household and ambient air pollution (per 100,000 population)","13.0"
"Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)","0.2"
" Natural resource depletion (% of GNI) ","0.2"
"Red List Index (value)","0.836"
"Renewable energy consumption (% of total final energy consumption)","8.7"
"Total population (millions)","327.1"
"Median age (years)","38.3"
"Old-age (65 and older) dependency ratio (per 100 people ages 15-64)","24.1"
"Population ages 15–64 (millions)","214.2"
"Population ages 65 and older (millions)","51.7"
"Population under age 5 (millions)","19.5"
"Sex ratio at birth (male to female births)","1.05"
"Urban population (%)","82.3"
"Young age (0-14) dependency ratio (per 100 people ages 15-64)","28.6"
"Skilled labour force (% of labour force)","96.4"
"Adjusted net savings (% of GNI)","6.1"
" Average annual change in the share of bottom 40% (%) ","-0.4"
"Concentration index (exports) (value)","0.097"
"Gross capital formation (% of GDP)","20.6"
"Overall loss in HDI value due to inequality, average annual change (%)","2.2"
"Population using improved drinking-water sources (%)","99.0"
"Population using improved sanitation facilities (%)","100.0"
"Ratio of education and health expenditure to military expenditure","6.2"
"Research and development expenditure (% of GDP)","2.7"
"Rural population with access to electricity (%)","100.0"
"Total debt service (% of exports of goods, services and primary income)","n.a."
