#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
POL,Poland,21806,Refugees by country of origin (thousands),1.122,2017
POL,Poland,23806,Population with at least some secondary education (% ages 25 and older),86.17493687,2017
POL,Poland,23906,"Population with at least some secondary education, female (% ages 25 and older)",81.08059,2017
POL,Poland,24006,"Population with at least some secondary education, male (% ages 25 and older)",86.94408,2017
POL,Poland,24106,"Mean years of schooling, female (years)",12.3212,2017
POL,Poland,24206,"Mean years of schooling, male (years)",12.2637,2017
POL,Poland,31706,Share of seats in parliament (% held by women),25.53571429,2017
POL,Poland,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",12.706,2017
POL,Poland,43006,Vulnerable employment (% of total employment),17,2017
POL,Poland,44206,Total population (millions),38.170712,2017
POL,Poland,45106,Urban population (%),60.1,2017
POL,Poland,48706,"Labour force participation rate (% ages 15 and older), female",48.8,2017
POL,Poland,48806,"Labour force participation rate (% ages 15 and older), male",65.1,2017
POL,Poland,49006,Sex ratio at birth (male to female births),1.06,2017
POL,Poland,52606,"Remittances, inflows (% of GDP)",1.30922,2017
POL,Poland,53506,"Foreign direct investment, net inflows (% of GDP)",1.19502,2017
POL,Poland,63106,Population ages 15–64 (millions),26.116,2017
POL,Poland,64306,"Infants lacking immunization, measles (% of one-year-olds)",4,2017
POL,Poland,64406,"Infants lacking immunization, DPT (% of one-year-olds)",1,2017
POL,Poland,65606,Gross fixed capital formation (% of GDP),18.01830116,2017
POL,Poland,68606,Gender Inequality Index (GII),0.132132453,2017
POL,Poland,69206,Life expectancy at birth (years),77.77,2017
POL,Poland,69706,Expected years of schooling (years),16.4332,2017
POL,Poland,71406,Inequality-adjusted education index,0.825436217,2017
POL,Poland,71506,Inequality-adjusted life expectancy index,0.846997077,2017
POL,Poland,71606,Inequality-adjusted income index,0.696806772,2017
POL,Poland,73506,Overall loss in HDI due to inequality (%),9.042436959,2017
POL,Poland,101606,Inequality in education (%),4.71453,2017
POL,Poland,101706,Inequality in income (%),17.13009,2017
POL,Poland,101806,Inequality in life expectancy (%),4.7,2017
POL,Poland,103006,Mean years of schooling (years),12.29398,2017
POL,Poland,103206,Life expectancy index,0.888769231,2017
POL,Poland,103606,Income index,0.840844128,2017
POL,Poland,103706,Education index,0.866277111,2017
POL,Poland,110906,"Unemployment, youth (% ages 15–24)",14.7,2017
POL,Poland,111306,Private capital flows (% of GDP),-1.299881,2017
POL,Poland,120606,"Life expectancy at birth, female (years)",81.609,2017
POL,Poland,121106,"Life expectancy at birth, male (years)",73.856,2017
POL,Poland,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),21.657,2017
POL,Poland,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),24.5,2017
POL,Poland,123306,"Expected years of schooling, female (years)",17.2645,2017
POL,Poland,123406,"Expected years of schooling, male (years)",15.6379,2017
POL,Poland,123506,"Estimated gross national income per capita, female (2011 PPP $)",20366.6801,2017
POL,Poland,123606,"Estimated gross national income per capita, male (2011 PPP $)",32342.97255,2017
POL,Poland,127606,Domestic credit provided by financial sector (% of GDP),73.69996857,2017
POL,Poland,132706,Population ages 65 and older (millions),6.398456,2017
POL,Poland,132806,Population under age 5 (millions),1.774073,2017
POL,Poland,133206,Exports and imports (% of GDP),102.79,2017
POL,Poland,135006,Coefficient of human inequality,8.848206667,2017
POL,Poland,136706,GDP per capita (2011 PPP $),27216.44488,2017
POL,Poland,136906,"Human Development Index (HDI), female",0.866314535,2017
POL,Poland,137006,"Human Development Index (HDI), male",0.860949898,2017
POL,Poland,137506,Human Development Index (HDI),0.865075041,2017
POL,Poland,137906,Gender Development Index (GDI),1.006231068,2017
POL,Poland,138806,Inequality-adjusted HDI (IHDI),0.786851176,2017
POL,Poland,140606,"Unemployment, total (% of labour force)",5,2017
POL,Poland,141706,Gross national income (GNI) per capita (2011 PPP $),26150.40263,2017
POL,Poland,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",1033.567383,2017
POL,Poland,146206,HDI rank,33,2017
POL,Poland,148206,Labour force participation rate (% ages 15 and older),56.6,2017
POL,Poland,148306,Employment to population ratio (% ages 15 and older),53.8,2017
POL,Poland,150606,Employment in agriculture (% of total employment),10.6,2017
POL,Poland,150706,Employment in services (% of total employment),58.1,2017
POL,Poland,169706,Total unemployment rate (female to male ratio),1.020408163,2017
POL,Poland,169806,Youth unemployment rate (female to male ratio),1.020833333,2017
POL,Poland,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",45.63,2017
POL,Poland,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),87.96221924,2017
POL,Poland,178306,Gross capital formation (% of GDP),19.95344752,2017
POL,Poland,179406,Skilled labour force (% of labour force),94.5,2017
POL,Poland,181606,Red List Index (value),0.9696,2017
POL,Poland,23806,Population with at least some secondary education (% ages 25 and older),85.82,2016
POL,Poland,23906,"Population with at least some secondary education, female (% ages 25 and older)",81.08059,2016
POL,Poland,24006,"Population with at least some secondary education, male (% ages 25 and older)",86.94408,2016
POL,Poland,24106,"Mean years of schooling, female (years)",12.3212,2016
POL,Poland,24206,"Mean years of schooling, male (years)",12.2637,2016
POL,Poland,31706,Share of seats in parliament (% held by women),24.82142857,2016
POL,Poland,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",12.706,2016
POL,Poland,43006,Vulnerable employment (% of total employment),16.8,2016
POL,Poland,43606,"Internet users, total (% of population)",73.3007,2016
POL,Poland,44206,Total population (millions),38.22441,2016
POL,Poland,45106,Urban population (%),60.2,2016
POL,Poland,46006,Mobile phone subscriptions (per 100 people),138.66,2016
POL,Poland,48706,"Labour force participation rate (% ages 15 and older), female",49,2016
POL,Poland,48806,"Labour force participation rate (% ages 15 and older), male",65.4,2016
POL,Poland,49006,Sex ratio at birth (male to female births),1.06,2016
POL,Poland,52606,"Remittances, inflows (% of GDP)",1.42384,2016
POL,Poland,53506,"Foreign direct investment, net inflows (% of GDP)",3.55494,2016
POL,Poland,57206,"Mortality rate, infant (per 1,000 live births)",4,2016
POL,Poland,57506,"Mortality rate, under-five (per 1,000 live births)",4.7,2016
POL,Poland,61006,"Homicide rate (per 100,000 people)",0.6701,2016
POL,Poland,63106,Population ages 15–64 (millions),26.3781,2016
POL,Poland,63206,"Gross enrolment ratio, primary (% of primary school-age population)",110.10469,2016
POL,Poland,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",107.07582,2016
POL,Poland,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",66.556,2016
POL,Poland,64306,"Infants lacking immunization, measles (% of one-year-olds)",4,2016
POL,Poland,64406,"Infants lacking immunization, DPT (% of one-year-olds)",1,2016
POL,Poland,65606,Gross fixed capital formation (% of GDP),18.06694906,2016
POL,Poland,68606,Gender Inequality Index (GII),0.13387761,2016
POL,Poland,69206,Life expectancy at birth (years),77.614,2016
POL,Poland,69706,Expected years of schooling (years),16.4332,2016
POL,Poland,71406,Inequality-adjusted education index,0.815210244,2016
POL,Poland,71506,Inequality-adjusted life expectancy index,0.844374829,2016
POL,Poland,71606,Inequality-adjusted income index,0.686832988,2016
POL,Poland,73506,Overall loss in HDI due to inequality (%),9.459767794,2016
POL,Poland,101606,Inequality in education (%),5.4,2016
POL,Poland,101706,Inequality in income (%),17.64062,2016
POL,Poland,101806,Inequality in life expectancy (%),4.7378,2016
POL,Poland,103006,Mean years of schooling (years),12.158,2016
POL,Poland,103206,Life expectancy index,0.886369231,2016
POL,Poland,103606,Income index,0.833946282,2016
POL,Poland,103706,Education index,0.861744444,2016
POL,Poland,110906,"Unemployment, youth (% ages 15–24)",17.6,2016
POL,Poland,111106,International inbound tourists (thousands),17471,2016
POL,Poland,111306,Private capital flows (% of GDP),-2.012939,2016
POL,Poland,120606,"Life expectancy at birth, female (years)",81.483,2016
POL,Poland,121106,"Life expectancy at birth, male (years)",73.668,2016
POL,Poland,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),21.453,2016
POL,Poland,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),23.456,2016
POL,Poland,123306,"Expected years of schooling, female (years)",17.2645,2016
POL,Poland,123406,"Expected years of schooling, male (years)",15.6379,2016
POL,Poland,123506,"Estimated gross national income per capita, female (2011 PPP $)",19454.81237,2016
POL,Poland,123606,"Estimated gross national income per capita, male (2011 PPP $)",30900.99449,2016
POL,Poland,127606,Domestic credit provided by financial sector (% of GDP),75.68863635,2016
POL,Poland,132706,Population ages 65 and older (millions),6.187371,2016
POL,Poland,132806,Population under age 5 (millions),1.8186,2016
POL,Poland,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",69.57126,2016
POL,Poland,133206,Exports and imports (% of GDP),100.472,2016
POL,Poland,135006,Coefficient of human inequality,9.259473333,2016
POL,Poland,136706,GDP per capita (2011 PPP $),26035.8379,2016
POL,Poland,136906,"Human Development Index (HDI), female",0.863205133,2016
POL,Poland,137006,"Human Development Index (HDI), male",0.857723111,2016
POL,Poland,137506,Human Development Index (HDI),0.860419835,2016
POL,Poland,137906,Gender Development Index (GDI),1.006391365,2016
POL,Poland,138806,Inequality-adjusted HDI (IHDI),0.779026117,2016
POL,Poland,140606,"Unemployment, total (% of labour force)",6.2,2016
POL,Poland,141706,Gross national income (GNI) per capita (2011 PPP $),24983.11873,2016
POL,Poland,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",988.5830303,2016
POL,Poland,146206,HDI rank,34,2016
POL,Poland,147206,International student mobility (% of total tertiary enrolment),1.91219,2016
POL,Poland,147906,Youth not in school or employment (% ages 15-24),10.52,2016
POL,Poland,148206,Labour force participation rate (% ages 15 and older),56.9,2016
POL,Poland,148306,Employment to population ratio (% ages 15 and older),53.4,2016
POL,Poland,150606,Employment in agriculture (% of total employment),10.6,2016
POL,Poland,150706,Employment in services (% of total employment),58,2016
POL,Poland,164406,Adjusted net savings (% of GNI),10.51413827,2016
POL,Poland,169706,Total unemployment rate (female to male ratio),1.016393443,2016
POL,Poland,169806,Youth unemployment rate (female to male ratio),1.011494253,2016
