#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
ROU,Romania,21806,Refugees by country of origin (thousands),1.212,2017
ROU,Romania,23806,Population with at least some secondary education (% ages 25 and older),89.48691,2017
ROU,Romania,23906,"Population with at least some secondary education, female (% ages 25 and older)",86.52654,2017
ROU,Romania,24006,"Population with at least some secondary education, male (% ages 25 and older)",92.69902,2017
ROU,Romania,24106,"Mean years of schooling, female (years)",10.6381,2017
ROU,Romania,24206,"Mean years of schooling, male (years)",11.348,2017
ROU,Romania,31706,Share of seats in parliament (% held by women),18.70967742,2017
ROU,Romania,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",33.063,2017
ROU,Romania,43006,Vulnerable employment (% of total employment),25.7,2017
ROU,Romania,44206,Total population (millions),19.679306,2017
ROU,Romania,45106,Urban population (%),53.9,2017
ROU,Romania,48706,"Labour force participation rate (% ages 15 and older), female",44.1,2017
ROU,Romania,48806,"Labour force participation rate (% ages 15 and older), male",63.1,2017
ROU,Romania,49006,Sex ratio at birth (male to female births),1.06,2017
ROU,Romania,52606,"Remittances, inflows (% of GDP)",2.02976,2017
ROU,Romania,53506,"Foreign direct investment, net inflows (% of GDP)",2.33693,2017
ROU,Romania,63106,Population ages 15–64 (millions),13.163,2017
ROU,Romania,64306,"Infants lacking immunization, measles (% of one-year-olds)",14,2017
ROU,Romania,64406,"Infants lacking immunization, DPT (% of one-year-olds)",7,2017
ROU,Romania,65606,Gross fixed capital formation (% of GDP),22.56011887,2017
ROU,Romania,68606,Gender Inequality Index (GII),0.310502285,2017
ROU,Romania,69206,Life expectancy at birth (years),75.574,2017
ROU,Romania,69706,Expected years of schooling (years),14.26534,2017
ROU,Romania,71406,Inequality-adjusted education index,0.714032521,2017
ROU,Romania,71506,Inequality-adjusted life expectancy index,0.796845662,2017
ROU,Romania,71606,Inequality-adjusted income index,0.646769712,2017
ROU,Romania,73506,Overall loss in HDI due to inequality (%),11.6600598,2017
ROU,Romania,101606,Inequality in education (%),6.32012,2017
ROU,Romania,101706,Inequality in income (%),21.03965,2017
ROU,Romania,101806,Inequality in life expectancy (%),6.8,2017
ROU,Romania,103006,Mean years of schooling (years),10.97836,2017
ROU,Romania,103206,Life expectancy index,0.854984615,2017
ROU,Romania,103606,Income index,0.819106946,2017
ROU,Romania,103706,Education index,0.762204778,2017
ROU,Romania,110906,"Unemployment, youth (% ages 15–24)",18.4,2017
ROU,Romania,111306,Private capital flows (% of GDP),-3.946258,2017
ROU,Romania,120606,"Life expectancy at birth, female (years)",79.042,2017
ROU,Romania,121106,"Life expectancy at birth, male (years)",72.125,2017
ROU,Romania,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),22.821,2017
ROU,Romania,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),26.688,2017
ROU,Romania,123306,"Expected years of schooling, female (years)",14.6182,2017
ROU,Romania,123406,"Expected years of schooling, male (years)",13.9316,2017
ROU,Romania,123506,"Estimated gross national income per capita, female (2011 PPP $)",18216.74841,2017
ROU,Romania,123606,"Estimated gross national income per capita, male (2011 PPP $)",27357.87356,2017
ROU,Romania,127606,Domestic credit provided by financial sector (% of GDP),32.8860379,2017
ROU,Romania,132706,Population ages 65 and older (millions),3.51282,2017
ROU,Romania,132806,Population under age 5 (millions),0.931821,2017
ROU,Romania,133206,Exports and imports (% of GDP),85.0147,2017
ROU,Romania,135006,Coefficient of human inequality,11.38659,2017
ROU,Romania,136706,GDP per capita (2011 PPP $),23313.19934,2017
ROU,Romania,136906,"Human Development Index (HDI), female",0.804268227,2017
ROU,Romania,137006,"Human Development Index (HDI), male",0.816900624,2017
ROU,Romania,137506,Human Development Index (HDI),0.81119175,2017
ROU,Romania,137906,Gender Development Index (GDI),0.984536189,2017
ROU,Romania,138806,Inequality-adjusted HDI (IHDI),0.716606307,2017
ROU,Romania,140606,"Unemployment, total (% of labour force)",5.2,2017
ROU,Romania,141706,Gross national income (GNI) per capita (2011 PPP $),22645.53847,2017
ROU,Romania,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",456.6248882,2017
ROU,Romania,146206,HDI rank,52,2017
ROU,Romania,148206,Labour force participation rate (% ages 15 and older),53.2,2017
