#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
RUS,Russian Federation,21806,Refugees by country of origin (thousands),61.59,2017
RUS,Russian Federation,23806,Population with at least some secondary education (% ages 25 and older),95.57105469,2017
RUS,Russian Federation,23906,"Population with at least some secondary education, female (% ages 25 and older)",95.83950418,2017
RUS,Russian Federation,24006,"Population with at least some secondary education, male (% ages 25 and older)",95.29154004,2017
RUS,Russian Federation,24106,"Mean years of schooling, female (years)",11.9585,2017
RUS,Russian Federation,24206,"Mean years of schooling, male (years)",12.1111,2017
RUS,Russian Federation,31706,Share of seats in parliament (% held by women),16.12903226,2017
RUS,Russian Federation,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",21.553,2017
RUS,Russian Federation,43006,Vulnerable employment (% of total employment),6.3,2017
RUS,Russian Federation,44206,Total population (millions),143.989754,2017
RUS,Russian Federation,45106,Urban population (%),74.3,2017
RUS,Russian Federation,48706,"Labour force participation rate (% ages 15 and older), female",56.6,2017
RUS,Russian Federation,48806,"Labour force participation rate (% ages 15 and older), male",71.8,2017
RUS,Russian Federation,49006,Sex ratio at birth (male to female births),1.05,2017
RUS,Russian Federation,52606,"Remittances, inflows (% of GDP)",0.509609,2017
RUS,Russian Federation,53506,"Foreign direct investment, net inflows (% of GDP)",1.76773,2017
RUS,Russian Federation,63106,Population ages 15–64 (millions),98.224,2017
RUS,Russian Federation,64306,"Infants lacking immunization, measles (% of one-year-olds)",2,2017
RUS,Russian Federation,64406,"Infants lacking immunization, DPT (% of one-year-olds)",3,2017
RUS,Russian Federation,65606,Gross fixed capital formation (% of GDP),21.69405986,2017
RUS,Russian Federation,68606,Gender Inequality Index (GII),0.257458107,2017
RUS,Russian Federation,69206,Life expectancy at birth (years),71.222,2017
RUS,Russian Federation,69706,Expected years of schooling (years),15.53573,2017
RUS,Russian Federation,71406,Inequality-adjusted education index,0.813672652,2017
RUS,Russian Federation,71506,Inequality-adjusted life expectancy index,0.724988308,2017
RUS,Russian Federation,71606,Inequality-adjusted income index,0.682744691,2017
RUS,Russian Federation,73506,Overall loss in HDI due to inequality (%),9.528957067,2017
RUS,Russian Federation,101606,Inequality in education (%),2.228,2017
RUS,Russian Federation,101706,Inequality in income (%),17.676,2017
RUS,Russian Federation,101806,Inequality in life expectancy (%),8,2017
RUS,Russian Federation,103006,Mean years of schooling (years),12.01999,2017
RUS,Russian Federation,103206,Life expectancy index,0.788030769,2017
RUS,Russian Federation,103606,Income index,0.829338579,2017
RUS,Russian Federation,103706,Education index,0.832214389,2017
RUS,Russian Federation,110906,"Unemployment, youth (% ages 15–24)",16.3,2017
RUS,Russian Federation,111306,Private capital flows (% of GDP),0.169612,2017
RUS,Russian Federation,120606,"Life expectancy at birth, female (years)",76.751,2017
RUS,Russian Federation,121106,"Life expectancy at birth, male (years)",65.645,2017
RUS,Russian Federation,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),25.808,2017
RUS,Russian Federation,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),20.785,2017
RUS,Russian Federation,123306,"Expected years of schooling, female (years)",15.8606,2017
RUS,Russian Federation,123406,"Expected years of schooling, male (years)",15.2286,2017
RUS,Russian Federation,123506,"Estimated gross national income per capita, female (2011 PPP $)",19510.26495,2017
RUS,Russian Federation,123606,"Estimated gross national income per capita, male (2011 PPP $)",29671.48703,2017
RUS,Russian Federation,132706,Population ages 65 and older (millions),20.415512,2017
RUS,Russian Federation,132806,Population under age 5 (millions),9.527025,2017
RUS,Russian Federation,133206,Exports and imports (% of GDP),46.7281,2017
RUS,Russian Federation,135006,Coefficient of human inequality,9.301333333,2017
RUS,Russian Federation,136706,GDP per capita (2011 PPP $),24765.95363,2017
RUS,Russian Federation,136906,"Human Development Index (HDI), female",0.82324822,2017
RUS,Russian Federation,137006,"Human Development Index (HDI), male",0.807518381,2017
RUS,Russian Federation,137506,Human Development Index (HDI),0.816275487,2017
RUS,Russian Federation,137906,Gender Development Index (GDI),1.019479234,2017
RUS,Russian Federation,138806,Inequality-adjusted HDI (IHDI),0.738492946,2017
RUS,Russian Federation,140606,"Unemployment, total (% of labour force)",5.2,2017
RUS,Russian Federation,141706,Gross national income (GNI) per capita (2011 PPP $),24232.5558,2017
RUS,Russian Federation,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",3636.650711,2017
RUS,Russian Federation,146206,HDI rank,49,2017
RUS,Russian Federation,148206,Labour force participation rate (% ages 15 and older),63.5,2017
RUS,Russian Federation,148306,Employment to population ratio (% ages 15 and older),60.3,2017
RUS,Russian Federation,150606,Employment in agriculture (% of total employment),6.7,2017
RUS,Russian Federation,150706,Employment in services (% of total employment),66.4,2017
RUS,Russian Federation,153706,Working poor at PPP$3.10 a day (% of total employment),0.1,2017
RUS,Russian Federation,169706,Total unemployment rate (female to male ratio),0.907407407,2017
RUS,Russian Federation,169806,Youth unemployment rate (female to male ratio),0.993902439,2017
RUS,Russian Federation,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",49.66,2017
RUS,Russian Federation,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),76.13137054,2017
RUS,Russian Federation,178306,Gross capital formation (% of GDP),23.86231414,2017
RUS,Russian Federation,179406,Skilled labour force (% of labour force),96.1,2017
RUS,Russian Federation,181606,Red List Index (value),0.95555,2017
RUS,Russian Federation,23806,Population with at least some secondary education (% ages 25 and older),95.57105469,2016
RUS,Russian Federation,23906,"Population with at least some secondary education, female (% ages 25 and older)",95.83950418,2016
RUS,Russian Federation,24006,"Population with at least some secondary education, male (% ages 25 and older)",95.29154004,2016
RUS,Russian Federation,24106,"Mean years of schooling, female (years)",11.9585,2016
RUS,Russian Federation,24206,"Mean years of schooling, male (years)",12.1111,2016
RUS,Russian Federation,31706,Share of seats in parliament (% held by women),13.87096774,2016
RUS,Russian Federation,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",21.553,2016
RUS,Russian Federation,43006,Vulnerable employment (% of total employment),6.2,2016
RUS,Russian Federation,43606,"Internet users, total (% of population)",73.09143462,2016
RUS,Russian Federation,44206,Total population (millions),143.964513,2016
RUS,Russian Federation,45106,Urban population (%),74.2,2016
RUS,Russian Federation,46006,Mobile phone subscriptions (per 100 people),159.155,2016
RUS,Russian Federation,48706,"Labour force participation rate (% ages 15 and older), female",56.9,2016
RUS,Russian Federation,48806,"Labour force participation rate (% ages 15 and older), male",72.1,2016
RUS,Russian Federation,49006,Sex ratio at birth (male to female births),1.05,2016
RUS,Russian Federation,52606,"Remittances, inflows (% of GDP)",0.520629,2016
RUS,Russian Federation,53506,"Foreign direct investment, net inflows (% of GDP)",2.53275,2016
RUS,Russian Federation,57206,"Mortality rate, infant (per 1,000 live births)",6.6,2016
RUS,Russian Federation,57506,"Mortality rate, under-five (per 1,000 live births)",7.7,2016
RUS,Russian Federation,61006,"Homicide rate (per 100,000 people)",10.8162,2016
RUS,Russian Federation,63106,Population ages 15–64 (millions),99.2166,2016
RUS,Russian Federation,63206,"Gross enrolment ratio, primary (% of primary school-age population)",102.07633,2016
RUS,Russian Federation,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",104.8077,2016
RUS,Russian Federation,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",81.81556,2016
RUS,Russian Federation,64306,"Infants lacking immunization, measles (% of one-year-olds)",2,2016
RUS,Russian Federation,64406,"Infants lacking immunization, DPT (% of one-year-olds)",3,2016
RUS,Russian Federation,65606,Gross fixed capital formation (% of GDP),21.36158608,2016
RUS,Russian Federation,68606,Gender Inequality Index (GII),0.266999668,2016
RUS,Russian Federation,69206,Life expectancy at birth (years),71.089,2016
RUS,Russian Federation,69706,Expected years of schooling (years),15.53573,2016
RUS,Russian Federation,71406,Inequality-adjusted education index,0.813672652,2016
RUS,Russian Federation,71506,Inequality-adjusted life expectancy index,0.723115278,2016
RUS,Russian Federation,71606,Inequality-adjusted income index,0.68073069,2016
RUS,Russian Federation,73506,Overall loss in HDI due to inequality (%),9.528563716,2016
RUS,Russian Federation,101606,Inequality in education (%),2.228,2016
RUS,Russian Federation,101706,Inequality in income (%),17.676,2016
RUS,Russian Federation,101806,Inequality in life expectancy (%),7.9988,2016
RUS,Russian Federation,103006,Mean years of schooling (years),12.01999,2016
