#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
KOR,Korea (Republic of),21806,Refugees by country of origin (thousands),0.242,2017
KOR,Korea (Republic of),23806,Population with at least some secondary education (% ages 25 and older),95.56,2017
KOR,Korea (Republic of),23906,"Population with at least some secondary education, female (% ages 25 and older)",89.75212184,2017
KOR,Korea (Republic of),24006,"Population with at least some secondary education, male (% ages 25 and older)",95.5608701,2017
KOR,Korea (Republic of),24106,"Mean years of schooling, female (years)",11.4068,2017
KOR,Korea (Republic of),24206,"Mean years of schooling, male (years)",12.8529,2017
KOR,Korea (Republic of),31706,Share of seats in parliament (% held by women),17,2017
KOR,Korea (Republic of),36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",1.643,2017
KOR,Korea (Republic of),43006,Vulnerable employment (% of total employment),24.1,2017
KOR,Korea (Republic of),44206,Total population (millions),50.982212,2017
KOR,Korea (Republic of),45106,Urban population (%),81.5,2017
KOR,Korea (Republic of),48706,"Labour force participation rate (% ages 15 and older), female",52.2,2017
KOR,Korea (Republic of),48806,"Labour force participation rate (% ages 15 and older), male",73.2,2017
KOR,Korea (Republic of),49006,Sex ratio at birth (male to female births),1.07,2017
KOR,Korea (Republic of),52606,"Remittances, inflows (% of GDP)",0.406604,2017
KOR,Korea (Republic of),53506,"Foreign direct investment, net inflows (% of GDP)",1.11402,2017
KOR,Korea (Republic of),63106,Population ages 15–64 (millions),37.019,2017
KOR,Korea (Republic of),64306,"Infants lacking immunization, measles (% of one-year-olds)",2,2017
KOR,Korea (Republic of),64406,"Infants lacking immunization, DPT (% of one-year-olds)",2,2017
KOR,Korea (Republic of),65606,Gross fixed capital formation (% of GDP),31.12095277,2017
KOR,Korea (Republic of),68606,Gender Inequality Index (GII),0.063080914,2017
KOR,Korea (Republic of),69206,Life expectancy at birth (years),82.361,2017
KOR,Korea (Republic of),69706,Expected years of schooling (years),16.49749,2017
KOR,Korea (Republic of),71406,Inequality-adjusted education index,0.702494245,2017
KOR,Korea (Republic of),71506,Inequality-adjusted life expectancy index,0.9286992,2017
KOR,Korea (Republic of),71606,Inequality-adjusted income index,0.708984704,2017
KOR,Korea (Republic of),73506,Overall loss in HDI due to inequality (%),14.31431398,2017
KOR,Korea (Republic of),101606,Inequality in education (%),18.51750253,2017
KOR,Korea (Republic of),101706,Inequality in income (%),20.24,2017
KOR,Korea (Republic of),101806,Inequality in life expectancy (%),3.2,2017
KOR,Korea (Republic of),103006,Mean years of schooling (years),12.11633,2017
KOR,Korea (Republic of),103206,Life expectancy index,0.9594,2017
KOR,Korea (Republic of),103606,Income index,0.888897573,2017
KOR,Korea (Republic of),103706,Education index,0.862141278,2017
KOR,Korea (Republic of),110906,"Unemployment, youth (% ages 15–24)",10.7,2017
KOR,Korea (Republic of),111306,Private capital flows (% of GDP),4.734303,2017
KOR,Korea (Republic of),120606,"Life expectancy at birth, female (years)",85.304,2017
KOR,Korea (Republic of),121106,"Life expectancy at birth, male (years)",79.21,2017
KOR,Korea (Republic of),121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),18.555,2017
KOR,Korea (Republic of),122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),19.162,2017
KOR,Korea (Republic of),123306,"Expected years of schooling, female (years)",15.869,2017
KOR,Korea (Republic of),123406,"Expected years of schooling, male (years)",17.0515,2017
KOR,Korea (Republic of),123506,"Estimated gross national income per capita, female (2011 PPP $)",22572.10657,2017
KOR,Korea (Republic of),123606,"Estimated gross national income per capita, male (2011 PPP $)",49297.12327,2017
KOR,Korea (Republic of),127606,Domestic credit provided by financial sector (% of GDP),170.0564685,2017
KOR,Korea (Republic of),132706,Population ages 65 and older (millions),7.09373,2017
KOR,Korea (Republic of),132806,Population under age 5 (millions),2.229763,2017
KOR,Korea (Republic of),133206,Exports and imports (% of GDP),80.7792,2017
KOR,Korea (Republic of),135006,Coefficient of human inequality,13.98583418,2017
KOR,Korea (Republic of),136706,GDP per capita (2011 PPP $),35938.37422,2017
KOR,Korea (Republic of),136906,"Human Development Index (HDI), female",0.865973996,2017
KOR,Korea (Republic of),137006,"Human Development Index (HDI), male",0.929143983,2017
KOR,Korea (Republic of),137506,Human Development Index (HDI),0.902561126,2017
KOR,Korea (Republic of),137906,Gender Development Index (GDI),0.932012704,2017
KOR,Korea (Republic of),138806,Inequality-adjusted HDI (IHDI),0.773365693,2017
KOR,Korea (Republic of),140606,"Unemployment, total (% of labour force)",3.8,2017
KOR,Korea (Republic of),141706,Gross national income (GNI) per capita (2011 PPP $),35944.70949,2017
KOR,Korea (Republic of),143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",1849.611591,2017
KOR,Korea (Republic of),146206,HDI rank,22,2017
KOR,Korea (Republic of),148206,Labour force participation rate (% ages 15 and older),62.6,2017
KOR,Korea (Republic of),148306,Employment to population ratio (% ages 15 and older),60.3,2017
KOR,Korea (Republic of),150606,Employment in agriculture (% of total employment),4.9,2017
KOR,Korea (Republic of),150706,Employment in services (% of total employment),70.3,2017
KOR,Korea (Republic of),153706,Working poor at PPP$3.10 a day (% of total employment),0.2,2017
KOR,Korea (Republic of),169706,Total unemployment rate (female to male ratio),0.923076923,2017
KOR,Korea (Republic of),169806,Youth unemployment rate (female to male ratio),0.972727273,2017
KOR,Korea (Republic of),175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",41.99,2017
KOR,Korea (Republic of),175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),94.68531036,2017
KOR,Korea (Republic of),178306,Gross capital formation (% of GDP),31.07565107,2017
KOR,Korea (Republic of),179406,Skilled labour force (% of labour force),84.6,2017
KOR,Korea (Republic of),181606,Red List Index (value),0.78151,2017
KOR,Korea (Republic of),23806,Population with at least some secondary education (% ages 25 and older),95.2,2016
KOR,Korea (Republic of),23906,"Population with at least some secondary education, female (% ages 25 and older)",89.29796816,2016
KOR,Korea (Republic of),24006,"Population with at least some secondary education, male (% ages 25 and older)",95.5608701,2016
