#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
ESP,Spain,21806,Refugees by country of origin (thousands),0.043,2017
ESP,Spain,23806,Population with at least some secondary education (% ages 25 and older),74.81495,2017
ESP,Spain,23906,"Population with at least some secondary education, female (% ages 25 and older)",72.16676,2017
ESP,Spain,24006,"Population with at least some secondary education, male (% ages 25 and older)",77.63347,2017
ESP,Spain,24106,"Mean years of schooling, female (years)",9.6852,2017
ESP,Spain,24206,"Mean years of schooling, male (years)",9.9626,2017
ESP,Spain,31706,Share of seats in parliament (% held by women),38.63636364,2017
ESP,Spain,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",8.598,2017
ESP,Spain,43006,Vulnerable employment (% of total employment),11.9,2017
ESP,Spain,44206,Total population (millions),46.354321,2017
ESP,Spain,45106,Urban population (%),80.1,2017
ESP,Spain,48706,"Labour force participation rate (% ages 15 and older), female",52.2,2017
ESP,Spain,48806,"Labour force participation rate (% ages 15 and older), male",63.8,2017
ESP,Spain,49006,Sex ratio at birth (male to female births),1.06,2017
ESP,Spain,52606,"Remittances, inflows (% of GDP)",0.228766,2017
ESP,Spain,53506,"Foreign direct investment, net inflows (% of GDP)",0.328416,2017
ESP,Spain,63106,Population ages 15–64 (millions),30.536,2017
ESP,Spain,64306,"Infants lacking immunization, measles (% of one-year-olds)",4,2017
ESP,Spain,64406,"Infants lacking immunization, DPT (% of one-year-olds)",2,2017
ESP,Spain,65606,Gross fixed capital formation (% of GDP),20.55373468,2017
ESP,Spain,68606,Gender Inequality Index (GII),0.080086993,2017
ESP,Spain,69206,Life expectancy at birth (years),83.301,2017
ESP,Spain,69706,Expected years of schooling (years),17.87704,2017
ESP,Spain,71406,Inequality-adjusted education index,0.67093377,2017
ESP,Spain,71506,Inequality-adjusted life expectancy index,0.944645692,2017
ESP,Spain,71606,Inequality-adjusted income index,0.676369702,2017
ESP,Spain,73506,Overall loss in HDI due to inequality (%),15.37668701,2017
ESP,Spain,101606,Inequality in education (%),18.56616,2017
ESP,Spain,101706,Inequality in income (%),23.28268,2017
ESP,Spain,101806,Inequality in life expectancy (%),3,2017
ESP,Spain,103006,Mean years of schooling (years),9.81948,2017
ESP,Spain,103206,Life expectancy index,0.973861538,2017
ESP,Spain,103606,Income index,0.881638856,2017
ESP,Spain,103706,Education index,0.823900444,2017
ESP,Spain,110906,"Unemployment, youth (% ages 15–24)",39.4,2017
ESP,Spain,111306,Private capital flows (% of GDP),3.515796,2017
ESP,Spain,120606,"Life expectancy at birth, female (years)",85.982,2017
ESP,Spain,121106,"Life expectancy at birth, male (years)",80.535,2017
ESP,Spain,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),22.296,2017
ESP,Spain,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),29.504,2017
ESP,Spain,123306,"Expected years of schooling, female (years)",18.2316,2017
ESP,Spain,123406,"Expected years of schooling, male (years)",17.5332,2017
ESP,Spain,123506,"Estimated gross national income per capita, female (2011 PPP $)",26953.87156,2017
ESP,Spain,123606,"Estimated gross national income per capita, male (2011 PPP $)",41850.27068,2017
ESP,Spain,127606,Domestic credit provided by financial sector (% of GDP),178.5506444,2017
ESP,Spain,132706,Population ages 65 and older (millions),9.009609,2017
ESP,Spain,132806,Population under age 5 (millions),2.016949,2017
ESP,Spain,133206,Exports and imports (% of GDP),65.5189,2017
ESP,Spain,135006,Coefficient of human inequality,14.94961333,2017
ESP,Spain,136706,GDP per capita (2011 PPP $),34272.36038,2017
ESP,Spain,136906,"Human Development Index (HDI), female",0.879105377,2017
ESP,Spain,137006,"Human Development Index (HDI), male",0.898084453,2017
ESP,Spain,137506,Human Development Index (HDI),0.891020216,2017
ESP,Spain,137906,Gender Development Index (GDI),0.978867159,2017
ESP,Spain,138806,Inequality-adjusted HDI (IHDI),0.754010827,2017
ESP,Spain,140606,"Unemployment, total (% of labour force)",17.4,2017
ESP,Spain,141706,Gross national income (GNI) per capita (2011 PPP $),34258.29329,2017
ESP,Spain,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",1596.133327,2017
ESP,Spain,146206,HDI rank,26,2017
ESP,Spain,148206,Labour force participation rate (% ages 15 and older),57.8,2017
ESP,Spain,148306,Employment to population ratio (% ages 15 and older),47.8,2017
ESP,Spain,150606,Employment in agriculture (% of total employment),4.1,2017
ESP,Spain,150706,Employment in services (% of total employment),76.4,2017
ESP,Spain,169706,Total unemployment rate (female to male ratio),1.18125,2017
ESP,Spain,169806,Youth unemployment rate (female to male ratio),1.007672634,2017
ESP,Spain,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",46.46,2017
ESP,Spain,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),91.64125061,2017
ESP,Spain,178306,Gross capital formation (% of GDP),21.14505759,2017
ESP,Spain,179406,Skilled labour force (% of labour force),62.9,2017
ESP,Spain,181606,Red List Index (value),0.84506,2017
ESP,Spain,23806,Population with at least some secondary education (% ages 25 and older),74.81495,2016
ESP,Spain,23906,"Population with at least some secondary education, female (% ages 25 and older)",72.16676,2016
ESP,Spain,24006,"Population with at least some secondary education, male (% ages 25 and older)",77.63347,2016
ESP,Spain,24106,"Mean years of schooling, female (years)",9.6852,2016
ESP,Spain,24206,"Mean years of schooling, male (years)",9.9626,2016
ESP,Spain,31706,Share of seats in parliament (% held by women),38.63636364,2016
ESP,Spain,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",8.598,2016
ESP,Spain,43006,Vulnerable employment (% of total employment),12,2016
ESP,Spain,43606,"Internet users, total (% of population)",80.56133294,2016
ESP,Spain,44206,Total population (millions),46.347576,2016
ESP,Spain,45106,Urban population (%),79.8,2016
ESP,Spain,46006,Mobile phone subscriptions (per 100 people),111.163,2016
ESP,Spain,48706,"Labour force participation rate (% ages 15 and older), female",52.3,2016
ESP,Spain,48806,"Labour force participation rate (% ages 15 and older), male",64.2,2016
ESP,Spain,49006,Sex ratio at birth (male to female births),1.06,2016
ESP,Spain,52606,"Remittances, inflows (% of GDP)",0.212529,2016
ESP,Spain,53506,"Foreign direct investment, net inflows (% of GDP)",2.59579,2016
ESP,Spain,57206,"Mortality rate, infant (per 1,000 live births)",2.7,2016
ESP,Spain,57506,"Mortality rate, under-five (per 1,000 live births)",3.3,2016
ESP,Spain,58006,"HIV prevalence, adult (% ages 15-49)",0.4,2016
ESP,Spain,61006,"Homicide rate (per 100,000 people)",0.6335,2016
ESP,Spain,63106,Population ages 15–64 (millions),30.6149,2016
ESP,Spain,63206,"Gross enrolment ratio, primary (% of primary school-age population)",103.87117,2016
ESP,Spain,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",127.94988,2016
ESP,Spain,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",91.17637,2016
ESP,Spain,64306,"Infants lacking immunization, measles (% of one-year-olds)",3,2016
ESP,Spain,64406,"Infants lacking immunization, DPT (% of one-year-olds)",2,2016
ESP,Spain,65606,Gross fixed capital formation (% of GDP),19.99468942,2016
ESP,Spain,68606,Gender Inequality Index (GII),0.080321809,2016
ESP,Spain,69206,Life expectancy at birth (years),83.148,2016
ESP,Spain,69706,Expected years of schooling (years),17.87704,2016
ESP,Spain,71406,Inequality-adjusted education index,0.665771621,2016
ESP,Spain,71506,Inequality-adjusted life expectancy index,0.942706375,2016
ESP,Spain,71606,Inequality-adjusted income index,0.672842221,2016
ESP,Spain,73506,Overall loss in HDI due to inequality (%),15.5950032,2016
ESP,Spain,101406,"Literacy rate, adult (% ages 15 and older)",98.25051,2016
ESP,Spain,101606,Inequality in education (%),19.19271,2016
ESP,Spain,101706,Inequality in income (%),23.31265,2016
ESP,Spain,101806,Inequality in life expectancy (%),2.9646,2016
ESP,Spain,103006,Mean years of schooling (years),9.81948,2016
ESP,Spain,103206,Life expectancy index,0.971507692,2016
ESP,Spain,103606,Income index,0.877383585,2016
ESP,Spain,103706,Education index,0.823900444,2016
ESP,Spain,110906,"Unemployment, youth (% ages 15–24)",44.6,2016
ESP,Spain,111106,International inbound tourists (thousands),75315,2016
ESP,Spain,111306,Private capital flows (% of GDP),5.946227,2016
ESP,Spain,120606,"Life expectancy at birth, female (years)",85.844,2016
ESP,Spain,121106,"Life expectancy at birth, male (years)",80.365,2016
ESP,Spain,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),22.372,2016
ESP,Spain,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),29.017,2016
ESP,Spain,123306,"Expected years of schooling, female (years)",18.2316,2016
ESP,Spain,123406,"Expected years of schooling, male (years)",17.5332,2016
ESP,Spain,123506,"Estimated gross national income per capita, female (2011 PPP $)",26138.77299,2016
ESP,Spain,123606,"Estimated gross national income per capita, male (2011 PPP $)",40755.0471,2016
ESP,Spain,127606,Domestic credit provided by financial sector (% of GDP),187.4505821,2016
ESP,Spain,132706,Population ages 65 and older (millions),8.883452,2016
ESP,Spain,132806,Population under age 5 (millions),2.06477,2016
ESP,Spain,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",95.38127,2016
ESP,Spain,133206,Exports and imports (% of GDP),62.876,2016
ESP,Spain,135006,Coefficient of human inequality,15.15665333,2016
ESP,Spain,136706,GDP per capita (2011 PPP $),33320.37272,2016
ESP,Spain,136906,"Human Development Index (HDI), female",0.876858341,2016
ESP,Spain,137006,"Human Development Index (HDI), male",0.895960562,2016
ESP,Spain,137506,Human Development Index (HDI),0.888867093,2016
ESP,Spain,137906,Gender Development Index (GDI),0.978679619,2016
ESP,Spain,138806,Inequality-adjusted HDI (IHDI),0.750248242,2016
ESP,Spain,140606,"Unemployment, total (% of labour force)",19.6,2016
ESP,Spain,141706,Gross national income (GNI) per capita (2011 PPP $),33306.69638,2016
ESP,Spain,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",1548.866272,2016
ESP,Spain,146206,HDI rank,25,2016
ESP,Spain,147206,International student mobility (% of total tertiary enrolment),0.91741,2016
ESP,Spain,147906,Youth not in school or employment (% ages 15-24),14.61,2016
ESP,Spain,148206,Labour force participation rate (% ages 15 and older),58.1,2016
ESP,Spain,148306,Employment to population ratio (% ages 15 and older),46.7,2016
ESP,Spain,150606,Employment in agriculture (% of total employment),4.2,2016
ESP,Spain,150706,Employment in services (% of total employment),76.2,2016
ESP,Spain,164406,Adjusted net savings (% of GNI),7.905497787,2016
ESP,Spain,169706,Total unemployment rate (female to male ratio),1.182320442,2016
ESP,Spain,169806,Youth unemployment rate (female to male ratio),1.009049774,2016
ESP,Spain,170006,Concentration index (exports) (value),0.106636844,2016
ESP,Spain,174506,"Mortality rate attributed to household and ambient air pollution (per 100,000 population)",9.9,2016
ESP,Spain,174606,"Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)",0.2,2016
ESP,Spain,175006,Female share of employment in senior and middle management (%),30.3,2016
ESP,Spain,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",46.22,2016
ESP,Spain,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",70.9,2016
ESP,Spain,178306,Gross capital formation (% of GDP),20.4878402,2016
ESP,Spain,179406,Skilled labour force (% of labour force),62.1,2016
ESP,Spain,181706,Rural population with access to electricity (%),100,2016
ESP,Spain,182206,"Tuberculosis incidence (per 100,000 people)",10,2016
ESP,Spain,23806,Population with at least some secondary education (% ages 25 and older),73.71435,2015
ESP,Spain,23906,"Population with at least some secondary education, female (% ages 25 and older)",70.89261,2015
ESP,Spain,24006,"Population with at least some secondary education, male (% ages 25 and older)",76.71258,2015
ESP,Spain,24106,"Mean years of schooling, female (years)",9.5661,2015
ESP,Spain,24206,"Mean years of schooling, male (years)",9.9039,2015
ESP,Spain,31706,Share of seats in parliament (% held by women),37.98701299,2015
ESP,Spain,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",8.798,2015
ESP,Spain,43006,Vulnerable employment (% of total employment),12.4,2015
ESP,Spain,43606,"Internet users, total (% of population)",78.6896,2015
ESP,Spain,44206,Total population (millions),46.397664,2015
ESP,Spain,45106,Urban population (%),79.6,2015
ESP,Spain,46006,Mobile phone subscriptions (per 100 people),110.065,2015
ESP,Spain,46106,Primary school dropout rate (% of primary school cohort),0.7215,2015
ESP,Spain,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",13.18623,2015
ESP,Spain,47906,Median age (years),43.152,2015
ESP,Spain,48706,"Labour force participation rate (% ages 15 and older), female",52.3,2015
ESP,Spain,48806,"Labour force participation rate (% ages 15 and older), male",64.7,2015
ESP,Spain,49006,Sex ratio at birth (male to female births),1.06,2015
ESP,Spain,52306,Research and development expenditure (% of GDP),1.21961,2015
ESP,Spain,52606,"Remittances, inflows (% of GDP)",0.221275,2015
ESP,Spain,53506,"Foreign direct investment, net inflows (% of GDP)",2.86205,2015
ESP,Spain,57206,"Mortality rate, infant (per 1,000 live births)",2.8,2015
ESP,Spain,57506,"Mortality rate, under-five (per 1,000 live births)",3.4,2015
ESP,Spain,58006,"HIV prevalence, adult (% ages 15-49)",0.4,2015
ESP,Spain,61006,"Homicide rate (per 100,000 people)",0.6509,2015
ESP,Spain,63106,Population ages 15–64 (millions),30.722,2015
ESP,Spain,63206,"Gross enrolment ratio, primary (% of primary school-age population)",104.43106,2015
ESP,Spain,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",129.47992,2015
ESP,Spain,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",89.48473,2015
ESP,Spain,64306,"Infants lacking immunization, measles (% of one-year-olds)",4,2015
ESP,Spain,64406,"Infants lacking immunization, DPT (% of one-year-olds)",2,2015
ESP,Spain,65606,Gross fixed capital formation (% of GDP),19.83485155,2015
