#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
SWE,Sweden,21806,Refugees by country of origin (thousands),0.016,2017
SWE,Sweden,23806,Population with at least some secondary education (% ages 25 and older),88.523565,2017
SWE,Sweden,23906,"Population with at least some secondary education, female (% ages 25 and older)",88.35593,2017
SWE,Sweden,24006,"Population with at least some secondary education, male (% ages 25 and older)",88.6912,2017
SWE,Sweden,24106,"Mean years of schooling, female (years)",12.5427,2017
SWE,Sweden,24206,"Mean years of schooling, male (years)",12.3067,2017
SWE,Sweden,31706,Share of seats in parliament (% held by women),43.5530086,2017
SWE,Sweden,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",5.239,2017
SWE,Sweden,43006,Vulnerable employment (% of total employment),6.4,2017
SWE,Sweden,44206,Total population (millions),9.910701,2017
SWE,Sweden,45106,Urban population (%),87.1,2017
SWE,Sweden,48706,"Labour force participation rate (% ages 15 and older), female",60.8,2017
SWE,Sweden,48806,"Labour force participation rate (% ages 15 and older), male",67.4,2017
SWE,Sweden,49006,Sex ratio at birth (male to female births),1.06,2017
SWE,Sweden,52606,"Remittances, inflows (% of GDP)",0.551346,2017
SWE,Sweden,53506,"Foreign direct investment, net inflows (% of GDP)",5.35801,2017
SWE,Sweden,63106,Population ages 15–64 (millions),6.192,2017
SWE,Sweden,64306,"Infants lacking immunization, measles (% of one-year-olds)",3,2017
SWE,Sweden,64406,"Infants lacking immunization, DPT (% of one-year-olds)",1,2017
SWE,Sweden,65606,Gross fixed capital formation (% of GDP),24.92290146,2017
SWE,Sweden,68606,Gender Inequality Index (GII),0.043577719,2017
SWE,Sweden,69206,Life expectancy at birth (years),82.625,2017
SWE,Sweden,69706,Expected years of schooling (years),17.63459695,2017
SWE,Sweden,71406,Inequality-adjusted education index,0.870218536,2017
SWE,Sweden,71506,Inequality-adjusted life expectancy index,0.937448077,2017
SWE,Sweden,71606,Inequality-adjusted income index,0.789302957,2017
SWE,Sweden,73506,Overall loss in HDI due to inequality (%),7.427404868,2017
SWE,Sweden,101606,Inequality in education (%),3.74238,2017
SWE,Sweden,101706,Inequality in income (%),15.29689,2017
SWE,Sweden,101806,Inequality in life expectancy (%),2.7,2017
SWE,Sweden,103006,Mean years of schooling (years),12.42605,2017
SWE,Sweden,103206,Life expectancy index,0.963461538,2017
SWE,Sweden,103606,Income index,0.93184649,2017
SWE,Sweden,103706,Education index,0.904051582,2017
SWE,Sweden,110906,"Unemployment, youth (% ages 15–24)",18.3,2017
SWE,Sweden,111306,Private capital flows (% of GDP),0.3738487,2017
SWE,Sweden,120606,"Life expectancy at birth, female (years)",84.318,2017
SWE,Sweden,121106,"Life expectancy at birth, male (years)",80.919,2017
SWE,Sweden,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),28.065,2017
SWE,Sweden,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),31.986,2017
