#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
CHE,Switzerland,21806,Refugees by country of origin (thousands),0.007,2017
CHE,Switzerland,23806,Population with at least some secondary education (% ages 25 and older),96.75771,2017
CHE,Switzerland,23906,"Population with at least some secondary education, female (% ages 25 and older)",96.37136,2017
CHE,Switzerland,24006,"Population with at least some secondary education, male (% ages 25 and older)",97.16259,2017
CHE,Switzerland,24106,"Mean years of schooling, female (years)",13.9041,2017
CHE,Switzerland,24206,"Mean years of schooling, male (years)",12.9069,2017
CHE,Switzerland,31706,Share of seats in parliament (% held by women),29.26829268,2017
CHE,Switzerland,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",2.989,2017
CHE,Switzerland,43006,Vulnerable employment (% of total employment),9.5,2017
CHE,Switzerland,44206,Total population (millions),8.476005,2017
CHE,Switzerland,45106,Urban population (%),73.8,2017
CHE,Switzerland,48706,"Labour force participation rate (% ages 15 and older), female",62.9,2017
CHE,Switzerland,48806,"Labour force participation rate (% ages 15 and older), male",74.1,2017
CHE,Switzerland,49006,Sex ratio at birth (male to female births),1.05,2017
CHE,Switzerland,52606,"Remittances, inflows (% of GDP)",0.368112,2017
CHE,Switzerland,53506,"Foreign direct investment, net inflows (% of GDP)",5.57735,2017
CHE,Switzerland,63106,Population ages 15–64 (millions),5.653,2017
CHE,Switzerland,64306,"Infants lacking immunization, measles (% of one-year-olds)",5,2017
CHE,Switzerland,64406,"Infants lacking immunization, DPT (% of one-year-olds)",2,2017
CHE,Switzerland,65606,Gross fixed capital formation (% of GDP),24.50132007,2017
CHE,Switzerland,68606,Gender Inequality Index (GII),0.039319688,2017
CHE,Switzerland,69206,Life expectancy at birth (years),83.473,2017
CHE,Switzerland,69706,Expected years of schooling (years),16.20882,2017
CHE,Switzerland,71406,Inequality-adjusted education index,0.875838767,2017
CHE,Switzerland,71506,Inequality-adjusted life expectancy index,0.942329923,2017
CHE,Switzerland,71606,Inequality-adjusted income index,0.799333332,2017
CHE,Switzerland,73506,Overall loss in HDI due to inequality (%),7.782329629,2017
CHE,Switzerland,101606,Inequality in education (%),2.37852,2017
CHE,Switzerland,101706,Inequality in income (%),16.75278,2017
CHE,Switzerland,101806,Inequality in life expectancy (%),3.5,2017
CHE,Switzerland,103006,Mean years of schooling (years),13.408,2017
CHE,Switzerland,103206,Life expectancy index,0.976507692,2017
CHE,Switzerland,103606,Income index,0.960192222,2017
CHE,Switzerland,103706,Education index,0.897178333,2017
CHE,Switzerland,110906,"Unemployment, youth (% ages 15–24)",8.4,2017
CHE,Switzerland,111306,Private capital flows (% of GDP),-4.775998,2017
CHE,Switzerland,120606,"Life expectancy at birth, female (years)",85.344,2017
CHE,Switzerland,121106,"Life expectancy at birth, male (years)",81.508,2017
CHE,Switzerland,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),22.304,2017
CHE,Switzerland,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),27.644,2017
CHE,Switzerland,123306,"Expected years of schooling, female (years)",16.1286,2017
CHE,Switzerland,123406,"Expected years of schooling, male (years)",16.2877,2017
CHE,Switzerland,123506,"Estimated gross national income per capita, female (2011 PPP $)",47938.03559,2017
CHE,Switzerland,123606,"Estimated gross national income per capita, male (2011 PPP $)",67489.75097,2017
CHE,Switzerland,132706,Population ages 65 and older (millions),1.562631,2017
CHE,Switzerland,132806,Population under age 5 (millions),0.440445,2017
CHE,Switzerland,133206,Exports and imports (% of GDP),118.904,2017
CHE,Switzerland,135006,Coefficient of human inequality,7.543766667,2017
CHE,Switzerland,136706,GDP per capita (2011 PPP $),57410.16586,2017
CHE,Switzerland,136906,"Human Development Index (HDI), female",0.936626046,2017
CHE,Switzerland,137006,"Human Development Index (HDI), male",0.949248462,2017
CHE,Switzerland,137506,Human Development Index (HDI),0.94399757,2017
CHE,Switzerland,137906,Gender Development Index (GDI),0.986702728,2017
CHE,Switzerland,138806,Inequality-adjusted HDI (IHDI),0.870532568,2017
CHE,Switzerland,140606,"Unemployment, total (% of labour force)",4.8,2017
CHE,Switzerland,141706,Gross national income (GNI) per capita (2011 PPP $),57625.06971,2017
CHE,Switzerland,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",486.0354401,2017
CHE,Switzerland,146206,HDI rank,2,2017
CHE,Switzerland,148206,Labour force participation rate (% ages 15 and older),68.4,2017
CHE,Switzerland,148306,Employment to population ratio (% ages 15 and older),65.2,2017
CHE,Switzerland,150606,Employment in agriculture (% of total employment),3.5,2017
CHE,Switzerland,150706,Employment in services (% of total employment),75.8,2017
CHE,Switzerland,169706,Total unemployment rate (female to male ratio),1.042553191,2017
CHE,Switzerland,169806,Youth unemployment rate (female to male ratio),0.976744186,2017
CHE,Switzerland,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",46.84,2017
CHE,Switzerland,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),98.85665131,2017
CHE,Switzerland,178306,Gross capital formation (% of GDP),23.29060922,2017
CHE,Switzerland,179406,Skilled labour force (% of labour force),85.7,2017
CHE,Switzerland,181606,Red List Index (value),0.98187,2017
CHE,Switzerland,23806,Population with at least some secondary education (% ages 25 and older),97.1,2016
CHE,Switzerland,23906,"Population with at least some secondary education, female (% ages 25 and older)",96.37136,2016
CHE,Switzerland,24006,"Population with at least some secondary education, male (% ages 25 and older)",97.16259,2016
CHE,Switzerland,24106,"Mean years of schooling, female (years)",13.9041,2016
CHE,Switzerland,24206,"Mean years of schooling, male (years)",12.9069,2016
CHE,Switzerland,31706,Share of seats in parliament (% held by women),28.86178862,2016
CHE,Switzerland,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",2.989,2016
CHE,Switzerland,43006,Vulnerable employment (% of total employment),9.1,2016
CHE,Switzerland,43606,"Internet users, total (% of population)",89.13468774,2016
CHE,Switzerland,44206,Total population (millions),8.401739,2016
CHE,Switzerland,45106,Urban population (%),73.7,2016
CHE,Switzerland,46006,Mobile phone subscriptions (per 100 people),133.807,2016
CHE,Switzerland,48706,"Labour force participation rate (% ages 15 and older), female",62.9,2016
CHE,Switzerland,48806,"Labour force participation rate (% ages 15 and older), male",74.4,2016
CHE,Switzerland,49006,Sex ratio at birth (male to female births),1.05,2016
CHE,Switzerland,52606,"Remittances, inflows (% of GDP)",0.373406,2016
CHE,Switzerland,53506,"Foreign direct investment, net inflows (% of GDP)",9.04342,2016
CHE,Switzerland,57206,"Mortality rate, infant (per 1,000 live births)",3.6,2016
CHE,Switzerland,57506,"Mortality rate, under-five (per 1,000 live births)",4.1,2016
CHE,Switzerland,61006,"Homicide rate (per 100,000 people)",0.5364,2016
CHE,Switzerland,63106,Population ages 15–64 (millions),5.62433,2016
CHE,Switzerland,63206,"Gross enrolment ratio, primary (% of primary school-age population)",104.40662,2016
CHE,Switzerland,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",102.28993,2016
CHE,Switzerland,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",57.86611,2016
CHE,Switzerland,64306,"Infants lacking immunization, measles (% of one-year-olds)",6,2016
CHE,Switzerland,64406,"Infants lacking immunization, DPT (% of one-year-olds)",2,2016
CHE,Switzerland,65606,Gross fixed capital formation (% of GDP),24.05843084,2016
CHE,Switzerland,68606,Gender Inequality Index (GII),0.040148544,2016
CHE,Switzerland,69206,Life expectancy at birth (years),83.308,2016
CHE,Switzerland,69706,Expected years of schooling (years),16.20882,2016
CHE,Switzerland,71406,Inequality-adjusted education index,0.875646053,2016
CHE,Switzerland,71506,Inequality-adjusted life expectancy index,0.940004976,2016
CHE,Switzerland,71606,Inequality-adjusted income index,0.799358261,2016
CHE,Switzerland,73506,Overall loss in HDI due to inequality (%),7.785016938,2016
CHE,Switzerland,101606,Inequality in education (%),2.4,2016
CHE,Switzerland,101706,Inequality in income (%),16.75278,2016
CHE,Switzerland,101806,Inequality in life expectancy (%),3.4872,2016
CHE,Switzerland,103006,Mean years of schooling (years),13.408,2016
CHE,Switzerland,103206,Life expectancy index,0.973969231,2016
CHE,Switzerland,103606,Income index,0.960222169,2016
CHE,Switzerland,103706,Education index,0.897178333,2016
CHE,Switzerland,110906,"Unemployment, youth (% ages 15–24)",8.6,2016
CHE,Switzerland,111106,International inbound tourists (thousands),9205,2016
CHE,Switzerland,111306,Private capital flows (% of GDP),6.523114,2016
CHE,Switzerland,120606,"Life expectancy at birth, female (years)",85.213,2016
CHE,Switzerland,121106,"Life expectancy at birth, male (years)",81.3,2016
CHE,Switzerland,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),22.148,2016
CHE,Switzerland,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),27.234,2016
CHE,Switzerland,123306,"Expected years of schooling, female (years)",16.1286,2016
CHE,Switzerland,123406,"Expected years of schooling, male (years)",16.2877,2016
CHE,Switzerland,123506,"Estimated gross national income per capita, female (2011 PPP $)",47854.96092,2016
CHE,Switzerland,123606,"Estimated gross national income per capita, male (2011 PPP $)",67608.13263,2016
CHE,Switzerland,127606,Domestic credit provided by financial sector (% of GDP),179.710041,2016
CHE,Switzerland,132706,Population ages 65 and older (millions),1.531725,2016
CHE,Switzerland,132806,Population under age 5 (millions),0.433657,2016
CHE,Switzerland,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",104.78665,2016
CHE,Switzerland,133206,Exports and imports (% of GDP),120.4,2016
CHE,Switzerland,135006,Coefficient of human inequality,7.54666,2016
CHE,Switzerland,136706,GDP per capita (2011 PPP $),57421.5485,2016
CHE,Switzerland,136906,"Human Development Index (HDI), female",0.935887109,2016
CHE,Switzerland,137006,"Human Development Index (HDI), male",0.948304143,2016
CHE,Switzerland,137506,Human Development Index (HDI),0.943188682,2016
CHE,Switzerland,137906,Gender Development Index (GDI),0.986906063,2016
CHE,Switzerland,138806,Inequality-adjusted HDI (IHDI),0.869761284,2016
CHE,Switzerland,140606,"Unemployment, total (% of labour force)",4.9,2016
CHE,Switzerland,141706,Gross national income (GNI) per capita (2011 PPP $),57636.49496,2016
CHE,Switzerland,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",480.8100341,2016
CHE,Switzerland,146206,HDI rank,2,2016
CHE,Switzerland,147206,International student mobility (% of total tertiary enrolment),13.1998,2016
CHE,Switzerland,147906,Youth not in school or employment (% ages 15-24),7.03,2016
CHE,Switzerland,148206,Labour force participation rate (% ages 15 and older),68.6,2016
CHE,Switzerland,148306,Employment to population ratio (% ages 15 and older),65.2,2016
CHE,Switzerland,150606,Employment in agriculture (% of total employment),3.4,2016
CHE,Switzerland,150706,Employment in services (% of total employment),76.1,2016
CHE,Switzerland,164406,Adjusted net savings (% of GNI),16.42378766,2016
CHE,Switzerland,169706,Total unemployment rate (female to male ratio),1.041666667,2016
CHE,Switzerland,169806,Youth unemployment rate (female to male ratio),0.977272727,2016
CHE,Switzerland,170006,Concentration index (exports) (value),0.28786795,2016
CHE,Switzerland,174506,"Mortality rate attributed to household and ambient air pollution (per 100,000 population)",10.1,2016
CHE,Switzerland,174606,"Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)",0.1,2016
CHE,Switzerland,175006,Female share of employment in senior and middle management (%),34,2016
CHE,Switzerland,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",46.78,2016
CHE,Switzerland,178306,Gross capital formation (% of GDP),23.10973456,2016
CHE,Switzerland,179406,Skilled labour force (% of labour force),85.1,2016
CHE,Switzerland,181706,Rural population with access to electricity (%),100,2016
CHE,Switzerland,182206,"Tuberculosis incidence (per 100,000 people)",7.8,2016
CHE,Switzerland,23806,Population with at least some secondary education (% ages 25 and older),96.69835,2015
CHE,Switzerland,23906,"Population with at least some secondary education, female (% ages 25 and older)",96.06792,2015
CHE,Switzerland,24006,"Population with at least some secondary education, male (% ages 25 and older)",97.3607,2015
CHE,Switzerland,24106,"Mean years of schooling, female (years)",13.9041,2015
CHE,Switzerland,24206,"Mean years of schooling, male (years)",12.9069,2015
CHE,Switzerland,31706,Share of seats in parliament (% held by women),28.86178862,2015
CHE,Switzerland,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",3.246,2015
CHE,Switzerland,43006,Vulnerable employment (% of total employment),9.1,2015
CHE,Switzerland,43606,"Internet users, total (% of population)",87.4790556,2015
CHE,Switzerland,44206,Total population (millions),8.319769,2015
CHE,Switzerland,45106,Urban population (%),73.7,2015
CHE,Switzerland,46006,Mobile phone subscriptions (per 100 people),135.138,2015
CHE,Switzerland,46106,Primary school dropout rate (% of primary school cohort),0.63992,2015
CHE,Switzerland,47906,Median age (years),42.223,2015
CHE,Switzerland,48706,"Labour force participation rate (% ages 15 and older), female",62.4,2015
CHE,Switzerland,48806,"Labour force participation rate (% ages 15 and older), male",74.2,2015
CHE,Switzerland,49006,Sex ratio at birth (male to female births),1.05,2015
CHE,Switzerland,52606,"Remittances, inflows (% of GDP)",0.370531,2015
CHE,Switzerland,53506,"Foreign direct investment, net inflows (% of GDP)",17.0607,2015
CHE,Switzerland,57206,"Mortality rate, infant (per 1,000 live births)",3.6,2015
CHE,Switzerland,57506,"Mortality rate, under-five (per 1,000 live births)",4.1,2015
CHE,Switzerland,61006,"Homicide rate (per 100,000 people)",0.6851,2015
CHE,Switzerland,63106,Population ages 15–64 (millions),5.59244,2015
CHE,Switzerland,63206,"Gross enrolment ratio, primary (% of primary school-age population)",103.94662,2015
CHE,Switzerland,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",101.17847,2015
CHE,Switzerland,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",57.51696,2015
CHE,Switzerland,64306,"Infants lacking immunization, measles (% of one-year-olds)",6,2015
CHE,Switzerland,64406,"Infants lacking immunization, DPT (% of one-year-olds)",3,2015
CHE,Switzerland,65606,Gross fixed capital formation (% of GDP),23.79262769,2015
CHE,Switzerland,68606,Gender Inequality Index (GII),0.043677319,2015
CHE,Switzerland,69206,Life expectancy at birth (years),83.139,2015
CHE,Switzerland,69706,Expected years of schooling (years),16.15071,2015
CHE,Switzerland,71406,Inequality-adjusted education index,0.843099862,2015
CHE,Switzerland,71506,Inequality-adjusted life expectancy index,0.934190073,2015
CHE,Switzerland,71606,Inequality-adjusted income index,0.810412306,2015
CHE,Switzerland,73506,Overall loss in HDI due to inequality (%),8.586941156,2015
CHE,Switzerland,89006,"Maternal mortality ratio (deaths per 100,000 live births)",5,2015
CHE,Switzerland,100806,Forest area (% of total land area),31.73398117,2015
CHE,Switzerland,101606,Inequality in education (%),5.7249,2015
CHE,Switzerland,101706,Inequality in income (%),15.74866,2015
CHE,Switzerland,101806,Inequality in life expectancy (%),3.8275,2015
CHE,Switzerland,103006,Mean years of schooling (years),13.37,2015
CHE,Switzerland,103206,Life expectancy index,0.971369231,2015
CHE,Switzerland,103606,Income index,0.961898417,2015
CHE,Switzerland,103706,Education index,0.8942975,2015
CHE,Switzerland,110806,"Net migration rate (per 1,000 people)",9.838,2015
CHE,Switzerland,110906,"Unemployment, youth (% ages 15–24)",8.8,2015
CHE,Switzerland,111106,International inbound tourists (thousands),9305,2015
CHE,Switzerland,111306,Private capital flows (% of GDP),9.826077,2015
CHE,Switzerland,112506,"Suicide rate, male (per 100,000 people)",15.5,2015
CHE,Switzerland,112606,"Suicide rate, female (per 100,000 people)",6,2015
CHE,Switzerland,120606,"Life expectancy at birth, female (years)",85.082,2015
CHE,Switzerland,121106,"Life expectancy at birth, male (years)",81.084,2015
CHE,Switzerland,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),21.995,2015
CHE,Switzerland,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),26.773,2015
CHE,Switzerland,123306,"Expected years of schooling, female (years)",16.1028,2015
CHE,Switzerland,123406,"Expected years of schooling, male (years)",16.199,2015
CHE,Switzerland,123506,"Estimated gross national income per capita, female (2011 PPP $)",48266.85113,2015
CHE,Switzerland,123606,"Estimated gross national income per capita, male (2011 PPP $)",68500.60364,2015
CHE,Switzerland,127606,Domestic credit provided by financial sector (% of GDP),174.9242916,2015
CHE,Switzerland,132706,Population ages 65 and older (millions),1.497274,2015
CHE,Switzerland,132806,Population under age 5 (millions),0.427271,2015
CHE,Switzerland,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",104.71418,2015
CHE,Switzerland,133206,Exports and imports (% of GDP),112.768,2015
CHE,Switzerland,135006,Coefficient of human inequality,8.433686667,2015
CHE,Switzerland,136706,GDP per capita (2011 PPP $),57264.1574,2015
CHE,Switzerland,136906,"Human Development Index (HDI), female",0.935422476,2015
CHE,Switzerland,137006,"Human Development Index (HDI), male",0.946984979,2015
CHE,Switzerland,137506,Human Development Index (HDI),0.941886393,2015
CHE,Switzerland,137906,Gender Development Index (GDI),0.987790194,2015
CHE,Switzerland,138806,Inequality-adjusted HDI (IHDI),0.861007163,2015
CHE,Switzerland,140606,"Unemployment, total (% of labour force)",4.8,2015
CHE,Switzerland,141706,Gross national income (GNI) per capita (2011 PPP $),58279.64233,2015
CHE,Switzerland,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",474.2844282,2015
