#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
UKR,Ukraine,21806,Refugees by country of origin (thousands),139.327,2017
UKR,Ukraine,23806,Population with at least some secondary education (% ages 25 and older),95.06,2017
UKR,Ukraine,23906,"Population with at least some secondary education, female (% ages 25 and older)",94.5,2017
UKR,Ukraine,24006,"Population with at least some secondary education, male (% ages 25 and older)",95.62,2017
UKR,Ukraine,24106,"Mean years of schooling, female (years)",11.2912,2017
UKR,Ukraine,24206,"Mean years of schooling, male (years)",11.3481,2017
UKR,Ukraine,31706,Share of seats in parliament (% held by women),12.29314421,2017
UKR,Ukraine,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",23.84,2017
UKR,Ukraine,43006,Vulnerable employment (% of total employment),15.6,2017
UKR,Ukraine,44206,Total population (millions),44.222947,2017
UKR,Ukraine,45106,Urban population (%),69.2,2017
UKR,Ukraine,48706,"Labour force participation rate (% ages 15 and older), female",46.9,2017
UKR,Ukraine,48806,"Labour force participation rate (% ages 15 and older), male",63,2017
UKR,Ukraine,49006,Sex ratio at birth (male to female births),1.06,2017
UKR,Ukraine,52606,"Remittances, inflows (% of GDP)",10.8485,2017
UKR,Ukraine,53506,"Foreign direct investment, net inflows (% of GDP)",2.16488,2017
UKR,Ukraine,63106,Population ages 15–64 (millions),30.092,2017
UKR,Ukraine,64306,"Infants lacking immunization, measles (% of one-year-olds)",14,2017
UKR,Ukraine,64406,"Infants lacking immunization, DPT (% of one-year-olds)",35,2017
UKR,Ukraine,65606,Gross fixed capital formation (% of GDP),16.00364743,2017
UKR,Ukraine,68606,Gender Inequality Index (GII),0.284735444,2017
UKR,Ukraine,69206,Life expectancy at birth (years),72.109,2017
UKR,Ukraine,69706,Expected years of schooling (years),14.98815,2017
UKR,Ukraine,71406,Inequality-adjusted education index,0.765747228,2017
UKR,Ukraine,71506,Inequality-adjusted life expectancy index,0.741551154,2017
UKR,Ukraine,71606,Inequality-adjusted income index,0.607736659,2017
UKR,Ukraine,73506,Overall loss in HDI due to inequality (%),6.565210458,2017
UKR,Ukraine,101606,Inequality in education (%),3.59926,2017
UKR,Ukraine,101706,Inequality in income (%),8.524722702,2017
UKR,Ukraine,101806,Inequality in life expectancy (%),7.5,2017
UKR,Ukraine,103006,Mean years of schooling (years),11.34,2017
UKR,Ukraine,103206,Life expectancy index,0.801676923,2017
UKR,Ukraine,103606,Income index,0.66437258,2017
UKR,Ukraine,103706,Education index,0.7943375,2017
UKR,Ukraine,110906,"Unemployment, youth (% ages 15–24)",23.3,2017
UKR,Ukraine,111306,Private capital flows (% of GDP),-3.561169,2017
UKR,Ukraine,120606,"Life expectancy at birth, female (years)",76.919,2017
UKR,Ukraine,121106,"Life expectancy at birth, male (years)",67.113,2017
UKR,Ukraine,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),22.769,2017
UKR,Ukraine,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),24.192,2017
UKR,Ukraine,123306,"Expected years of schooling, female (years)",15.1944,2017
UKR,Ukraine,123406,"Expected years of schooling, male (years)",14.7914,2017
