#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
USA,United States,21806,Refugees by country of origin (thousands),0.311,2017
USA,United States,23806,Population with at least some secondary education (% ages 25 and older),95.33497,2017
USA,United States,23906,"Population with at least some secondary education, female (% ages 25 and older)",95.47838,2017
USA,United States,24006,"Population with at least some secondary education, male (% ages 25 and older)",95.17981,2017
USA,United States,24106,"Mean years of schooling, female (years)",13.4081,2017
USA,United States,24206,"Mean years of schooling, male (years)",13.3496,2017
USA,United States,31706,Share of seats in parliament (% held by women),19.66292135,2017
USA,United States,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",18.789,2017
USA,United States,43006,Vulnerable employment (% of total employment),6.3,2017
USA,United States,44206,Total population (millions),324.459463,2017
USA,United States,45106,Urban population (%),82.1,2017
USA,United States,48706,"Labour force participation rate (% ages 15 and older), female",55.7,2017
USA,United States,48806,"Labour force participation rate (% ages 15 and older), male",68.3,2017
USA,United States,49006,Sex ratio at birth (male to female births),1.05,2017
USA,United States,52606,"Remittances, inflows (% of GDP)",0.034145,2017
USA,United States,53506,"Foreign direct investment, net inflows (% of GDP)",1.79816,2017
USA,United States,63106,Population ages 15–64 (millions),213.084,2017
USA,United States,64306,"Infants lacking immunization, measles (% of one-year-olds)",8,2017
USA,United States,64406,"Infants lacking immunization, DPT (% of one-year-olds)",3,2017
USA,United States,68606,Gender Inequality Index (GII),0.189242816,2017
USA,United States,69206,Life expectancy at birth (years),79.541,2017
USA,United States,69706,Expected years of schooling (years),16.46821,2017
USA,United States,71406,Inequality-adjusted education index,0.853471094,2017
USA,United States,71506,Inequality-adjusted life expectancy index,0.864718523,2017
USA,United States,71606,Inequality-adjusted income index,0.685074119,2017
USA,United States,73506,Overall loss in HDI due to inequality (%),13.77450589,2017
USA,United States,101606,Inequality in education (%),5.532,2017
USA,United States,101706,Inequality in income (%),28.113,2017
USA,United States,101806,Inequality in life expectancy (%),5.6,2017
USA,United States,103006,Mean years of schooling (years),13.37999,2017
USA,United States,103206,Life expectancy index,0.916015385,2017
USA,United States,103606,Income index,0.952987492,2017
USA,United States,103706,Education index,0.903449944,2017
USA,United States,110906,"Unemployment, youth (% ages 15–24)",9.5,2017
USA,United States,111306,Private capital flows (% of GDP),-0.8859239,2017
USA,United States,120606,"Life expectancy at birth, female (years)",81.817,2017
USA,United States,121106,"Life expectancy at birth, male (years)",77.251,2017
USA,United States,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),28.799,2017
USA,United States,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),23.47,2017
USA,United States,123306,"Expected years of schooling, female (years)",17.2351,2017
USA,United States,123406,"Expected years of schooling, male (years)",15.7203,2017
USA,United States,123506,"Estimated gross national income per capita, female (2011 PPP $)",43899.04208,2017
USA,United States,123606,"Estimated gross national income per capita, male (2011 PPP $)",66208.24389,2017
USA,United States,132706,Population ages 65 and older (millions),50.01001,2017
USA,United States,132806,Population under age 5 (millions),19.723906,2017
USA,United States,135006,Coefficient of human inequality,13.08166667,2017
USA,United States,136706,GDP per capita (2011 PPP $),54225.44612,2017
USA,United States,136906,"Human Development Index (HDI), female",0.919102355,2017
USA,United States,137006,"Human Development Index (HDI), male",0.926457302,2017
USA,United States,137506,Human Development Index (HDI),0.923913589,2017
USA,United States,137906,Gender Development Index (GDI),0.992061214,2017
USA,United States,138806,Inequality-adjusted HDI (IHDI),0.796649057,2017
USA,United States,140606,"Unemployment, total (% of labour force)",4.4,2017
USA,United States,141706,Gross national income (GNI) per capita (2011 PPP $),54941.10929,2017
USA,United States,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",17662.26774,2017
USA,United States,146206,HDI rank,13,2017
USA,United States,148206,Labour force participation rate (% ages 15 and older),61.9,2017
USA,United States,148306,Employment to population ratio (% ages 15 and older),59.1,2017
USA,United States,150606,Employment in agriculture (% of total employment),1.7,2017
USA,United States,150706,Employment in services (% of total employment),79.5,2017
USA,United States,169706,Total unemployment rate (female to male ratio),0.977777778,2017
USA,United States,169806,Youth unemployment rate (female to male ratio),0.913461538,2017
USA,United States,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",46.21,2017
USA,United States,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),92.68624878,2017
USA,United States,179406,Skilled labour force (% of labour force),96.3,2017
USA,United States,181606,Red List Index (value),0.83989,2017
USA,United States,23806,Population with at least some secondary education (% ages 25 and older),95.33497,2016
USA,United States,23906,"Population with at least some secondary education, female (% ages 25 and older)",95.60088569,2016
USA,United States,24006,"Population with at least some secondary education, male (% ages 25 and older)",95.17981,2016
USA,United States,24106,"Mean years of schooling, female (years)",13.4081,2016
USA,United States,24206,"Mean years of schooling, male (years)",13.3496,2016
USA,United States,31706,Share of seats in parliament (% held by women),19.54887218,2016
USA,United States,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",18.789,2016
USA,United States,43006,Vulnerable employment (% of total employment),6.2,2016
USA,United States,43606,"Internet users, total (% of population)",76.17673698,2016
USA,United States,44206,Total population (millions),322.179605,2016
USA,United States,45106,Urban population (%),81.9,2016
USA,United States,46006,Mobile phone subscriptions (per 100 people),122.876,2016
USA,United States,48706,"Labour force participation rate (% ages 15 and older), female",56,2016
USA,United States,48806,"Labour force participation rate (% ages 15 and older), male",68.6,2016
USA,United States,49006,Sex ratio at birth (male to female births),1.05,2016
USA,United States,52606,"Remittances, inflows (% of GDP)",0.035153,2016
USA,United States,53506,"Foreign direct investment, net inflows (% of GDP)",2.57411,2016
USA,United States,57206,"Mortality rate, infant (per 1,000 live births)",5.6,2016
USA,United States,57506,"Mortality rate, under-five (per 1,000 live births)",6.5,2016
USA,United States,58006,"HIV prevalence, adult (% ages 15-49)",0.5,2016
USA,United States,61006,"Homicide rate (per 100,000 people)",5.3533,2016
USA,United States,63106,Population ages 15–64 (millions),212.446,2016
USA,United States,64306,"Infants lacking immunization, measles (% of one-year-olds)",8,2016
USA,United States,64406,"Infants lacking immunization, DPT (% of one-year-olds)",3,2016
USA,United States,65606,Gross fixed capital formation (% of GDP),19.50044229,2016
USA,United States,68606,Gender Inequality Index (GII),0.18947265,2016
USA,United States,69206,Life expectancy at birth (years),79.392,2016
USA,United States,69706,Expected years of schooling (years),16.46821,2016
USA,United States,71406,Inequality-adjusted education index,0.853272335,2016
USA,United States,71506,Inequality-adjusted life expectancy index,0.86275469,2016
USA,United States,71606,Inequality-adjusted income index,0.694235219,2016
USA,United States,73506,Overall loss in HDI due to inequality (%),13.32152288,2016
USA,United States,101606,Inequality in education (%),5.554,2016
USA,United States,101706,Inequality in income (%),26.974,2016
USA,United States,101806,Inequality in life expectancy (%),5.5781,2016
USA,United States,103006,Mean years of schooling (years),13.37999,2016
USA,United States,103206,Life expectancy index,0.913723077,2016
USA,United States,103606,Income index,0.950668554,2016
USA,United States,103706,Education index,0.903449944,2016
USA,United States,110906,"Unemployment, youth (% ages 15–24)",10.3,2016
USA,United States,111106,International inbound tourists (thousands),75608,2016
USA,United States,111306,Private capital flows (% of GDP),-1.95744,2016
USA,United States,120606,"Life expectancy at birth, female (years)",81.692,2016
USA,United States,121106,"Life expectancy at birth, male (years)",77.074,2016
USA,United States,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),28.857,2016
USA,United States,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),22.796,2016
USA,United States,123306,"Expected years of schooling, female (years)",17.2351,2016
USA,United States,123406,"Expected years of schooling, male (years)",15.7203,2016
USA,United States,123506,"Estimated gross national income per capita, female (2011 PPP $)",43250.99206,2016
USA,United States,123606,"Estimated gross national income per capita, male (2011 PPP $)",65183.86608,2016
USA,United States,127606,Domestic credit provided by financial sector (% of GDP),241.8912779,2016
USA,United States,132706,Population ages 65 and older (millions),48.42836,2016
USA,United States,132806,Population under age 5 (millions),19.6065,2016
USA,United States,133206,Exports and imports (% of GDP),26.5799,2016
USA,United States,135006,Coefficient of human inequality,12.70203333,2016
USA,United States,136706,GDP per capita (2011 PPP $),53399.35917,2016
USA,United States,136906,"Human Development Index (HDI), female",0.917707346,2016
USA,United States,137006,"Human Development Index (HDI), male",0.924800365,2016
USA,United States,137506,Human Development Index (HDI),0.922392874,2016
USA,United States,137906,Gender Development Index (GDI),0.992330217,2016
USA,United States,138806,Inequality-adjusted HDI (IHDI),0.799516097,2016
USA,United States,140606,"Unemployment, total (% of labour force)",4.9,2016
USA,United States,141706,Gross national income (GNI) per capita (2011 PPP $),54104.11971,2016
USA,United States,143306,"Gross domestic product (GDP), total (2011 PPP $ billions)",17269.66968,2016
USA,United States,146206,HDI rank,12,2016
USA,United States,148206,Labour force participation rate (% ages 15 and older),62.2,2016
USA,United States,148306,Employment to population ratio (% ages 15 and older),59.1,2016
USA,United States,150606,Employment in agriculture (% of total employment),1.7,2016
USA,United States,150706,Employment in services (% of total employment),79.6,2016
USA,United States,164406,Adjusted net savings (% of GNI),6.079472563,2016
USA,United States,169706,Total unemployment rate (female to male ratio),0.979591837,2016
USA,United States,169806,Youth unemployment rate (female to male ratio),0.911504425,2016
USA,United States,170006,Concentration index (exports) (value),0.100424009,2016
USA,United States,174506,"Mortality rate attributed to household and ambient air pollution (per 100,000 population)",13.3,2016
USA,United States,174606,"Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)",0.2,2016
USA,United States,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",46.25,2016
USA,United States,178306,Gross capital formation (% of GDP),19.68878586,2016
USA,United States,179406,Skilled labour force (% of labour force),96.2,2016
USA,United States,181706,Rural population with access to electricity (%),100,2016
USA,United States,182206,"Tuberculosis incidence (per 100,000 people)",3.1,2016
USA,United States,23806,Population with at least some secondary education (% ages 25 and older),95.26348,2015
USA,United States,23906,"Population with at least some secondary education, female (% ages 25 and older)",95.42986,2015
USA,United States,24006,"Population with at least some secondary education, male (% ages 25 and older)",95.08369,2015
USA,United States,24106,"Mean years of schooling, female (years)",13.3085,2015
